标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发布日期,二级效力级别,发文字号,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国刑法(2023修正)第十二条,中华人民共和国刑法(2023修正),中华人民共和国刑法(2023修正)第十二条,第十二条,"　【刑法溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",现行有效,法律,全国人大常委会,2024-03-01,2023-12-29,法律,," - 《中华人民共和国刑法(2023修正)》第十二条##　【刑法溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",44.308174,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=12,aecabfbe6b0843642509a7f1ff865413,aecabfbe6b0843642509a7f1ff865413_12
中华人民共和国刑法(2020修正)第十二条,中华人民共和国刑法(2020修正),中华人民共和国刑法(2020修正)第十二条,第十二条,"【刑法溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,2021-03-01,2020-12-26,法律,中华人民共和国主席令第66号," - 《中华人民共和国刑法(2020修正)》第十二条##【刑法溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.44469,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c35e326807b739eeb07578c0f00edfcb?text=12,c35e326807b739eeb07578c0f00edfcb,c35e326807b739eeb07578c0f00edfcb_12
中华人民共和国刑法(2001第二次修正)第十二条,中华人民共和国刑法(2001第二次修正),中华人民共和国刑法(2001第二次修正)第十二条,第十二条,"【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,2001-12-29,2001-12-29,法律,," - 《中华人民共和国刑法(2001第二次修正)》第十二条##【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.308174,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c252749f2395cfe2a865cd67723151a5?text=12,c252749f2395cfe2a865cd67723151a5,c252749f2395cfe2a865cd67723151a5_12
中华人民共和国刑法(1997修订)第十二条,中华人民共和国刑法(1997修订),中华人民共和国刑法(1997修订)第十二条,第十二条,"　【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,1997-10-01,1997-03-14,法律,中华人民共和国主席令第83号," - 《中华人民共和国刑法(1997修订)》第十二条##　【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.28721,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0dbc99557416281b4764b67690fed3e1?text=12,0dbc99557416281b4764b67690fed3e1,0dbc99557416281b4764b67690fed3e1_12
中华人民共和国刑法(2015修正)第十二条,中华人民共和国刑法(2015修正),中华人民共和国刑法(2015修正)第十二条,第十二条,"【刑法溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,2015-11-01,2015-08-29,法律,," - 《中华人民共和国刑法(2015修正)》第十二条##【刑法溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.284523,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3b9fae69b54227ce1acd871b0845fe1e?text=12,3b9fae69b54227ce1acd871b0845fe1e,3b9fae69b54227ce1acd871b0845fe1e_12
中华人民共和国刑法(2006修正)第十二条,中华人民共和国刑法(2006修正),中华人民共和国刑法(2006修正)第十二条,第十二条,"【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,2006-06-29,2006-06-29,法律,," - 《中华人民共和国刑法(2006修正)》第十二条##【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.282173,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/14cdfd289f2582c05e4ef0d89b9e662e?text=12,14cdfd289f2582c05e4ef0d89b9e662e,14cdfd289f2582c05e4ef0d89b9e662e_12
中华人民共和国刑法(2009第二次修正)第十二条,中华人民共和国刑法(2009第二次修正),中华人民共和国刑法(2009第二次修正)第十二条,第十二条,"【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人大常委会,2009-08-27,2009-08-27,法律,," - 《中华人民共和国刑法(2009第二次修正)》第十二条##【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.279823,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6f85d36dad519620f103f76f9195ccd7?text=12,6f85d36dad519620f103f76f9195ccd7,6f85d36dad519620f103f76f9195ccd7_12
中华人民共和国刑法(2005修正)第十二条,中华人民共和国刑法(2005修正),中华人民共和国刑法(2005修正)第十二条,第十二条,"【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,2005-02-28,2005-02-28,法律,," - 《中华人民共和国刑法(2005修正)》第十二条##【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.255493,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/559c6b523d8d1007db0fe2a7d9454936?text=12,559c6b523d8d1007db0fe2a7d9454936,559c6b523d8d1007db0fe2a7d9454936_12
中华人民共和国刑法(2001第一次修正)第十二条,中华人民共和国刑法(2001第一次修正),中华人民共和国刑法(2001第一次修正)第十二条,第十二条,"【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,2001-08-31,2001-08-31,法律,," - 《中华人民共和国刑法(2001第一次修正)》第十二条##【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.255493,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/02311b1868bbc53cc46923b4c616fedd?text=12,02311b1868bbc53cc46923b4c616fedd,02311b1868bbc53cc46923b4c616fedd_12
中华人民共和国刑法(2009第一次修正)第十二条,中华人民共和国刑法(2009第一次修正),中华人民共和国刑法(2009第一次修正)第十二条,第十二条,"【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",已被修改,法律,全国人民代表大会,2009-02-28,2009-02-28,法律,," - 《中华人民共和国刑法(2009第一次修正)》第十二条##【溯及力】中华人民共和国成立以后本法施行以前的行为，如果当时的法律不认为是犯罪的，适用当时的法律；如果当时的法律认为是犯罪的，依照本法总则第四章第八节的规定应当追诉的，按照当时的法律追究刑事责任，但是如果本法不认为是犯罪或者处刑较轻的，适用本法。 
本法施行以前，依照当时的法律已经作出的生效判决，继续有效。",39.246532,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3fcfe8d53a932ac0438f9a78cbb00089?text=12,3fcfe8d53a932ac0438f9a78cbb00089,3fcfe8d53a932ac0438f9a78cbb00089_12
