标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第三条,最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正),最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第三条,第三条,"　当事人在一审期间未提出诉讼时效抗辩，在二审期间提出的，人民法院不予支持，但其基于新的证据能够证明对方当事人的请求权已过诉讼时效期间的情形除外。 
　　当事人未按照前款规定提出诉讼时效抗辩，以诉讼时效期间届满为由申请再审或者提出再审抗辩的，人民法院不予支持。",现行有效,司法解释,最高人民法院,2021-01-01,法释〔2020〕17号,2020-12-29,高法司法解释," - 《最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)》第三条##　当事人在一审期间未提出诉讼时效抗辩，在二审期间提出的，人民法院不予支持，但其基于新的证据能够证明对方当事人的请求权已过诉讼时效期间的情形除外。 
　　当事人未按照前款规定提出诉讼时效抗辩，以诉讼时效期间届满为由申请再审或者提出再审抗辩的，人民法院不予支持。",51.403915,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/61a9873b704c9e2226f48b1b5779692a?text=3,61a9873b704c9e2226f48b1b5779692a,61a9873b704c9e2226f48b1b5779692a_3
最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第十九条,最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正),最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第十九条,第十九条,"　诉讼时效期间届满，当事人一方向对方当事人作出同意履行义务的意思表示或者自愿履行义务后，又以诉讼时效期间届满为由进行抗辩的，人民法院不予支持。 
　　当事人双方就原债务达成新的协议，债权人主张义务人放弃诉讼时效抗辩权的，人民法院应予支持。 
　　超过诉讼时效期间，贷款人向借款人发出催收到期贷款通知单，债务人在通知单上签字或者盖章，能够认定借款人同意履行诉讼时效期间已经届满的义务的，对于贷款人关于借款人放弃诉讼时效抗辩权的主张，人民法院应予支持。",现行有效,司法解释,最高人民法院,2021-01-01,法释〔2020〕17号,2020-12-29,高法司法解释," - 《最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)》第十九条##　诉讼时效期间届满，当事人一方向对方当事人作出同意履行义务的意思表示或者自愿履行义务后，又以诉讼时效期间届满为由进行抗辩的，人民法院不予支持。 
　　当事人双方就原债务达成新的协议，债权人主张义务人放弃诉讼时效抗辩权的，人民法院应予支持。 
　　超过诉讼时效期间，贷款人向借款人发出催收到期贷款通知单，债务人在通知单上签字或者盖章，能够认定借款人同意履行诉讼时效期间已经届满的义务的，对于贷款人关于借款人放弃诉讼时效抗辩权的主张，人民法院应予支持。",51.32916,19,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/61a9873b704c9e2226f48b1b5779692a?text=19,61a9873b704c9e2226f48b1b5779692a,61a9873b704c9e2226f48b1b5779692a_19
中华人民共和国民法典第一百九十二条,中华人民共和国民法典,中华人民共和国民法典第一百九十二条,第一百九十二条,"　诉讼时效期间届满的，义务人可以提出不履行义务的抗辩。 
　　诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已经自愿履行的，不得请求返还。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一百九十二条##　诉讼时效期间届满的，义务人可以提出不履行义务的抗辩。 
　　诉讼时效期间届满后，义务人同意履行的，不得以诉讼时效期间届满为由抗辩；义务人已经自愿履行的，不得请求返还。",51.16075,192,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=192,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_192
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第五十八条,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第五十八条,第五十八条,当事人互负债务，一方以其诉讼时效期间已经届满的债权通知对方主张抵销，对方提出诉讼时效抗辩的，人民法院对该抗辩应予支持。一方的债权诉讼时效期间已经届满，对方主张抵销的，人民法院应予支持。,现行有效,司法解释,最高人民法院,2023-12-05,法释〔2023〕13号,2023-12-04,高法司法解释, - 《最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释》第五十八条##当事人互负债务，一方以其诉讼时效期间已经届满的债权通知对方主张抵销，对方提出诉讼时效抗辩的，人民法院对该抗辩应予支持。一方的债权诉讼时效期间已经届满，对方主张抵销的，人民法院应予支持。,50.5053,58,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=58,3132ac09bc31117a209bac1420cd14fd,3132ac09bc31117a209bac1420cd14fd_58
中华全国律师协会律师提供房屋租赁合同诉讼和仲裁法律服务操作指引第8条,中华全国律师协会律师提供房屋租赁合同诉讼和仲裁法律服务操作指引,中华全国律师协会律师提供房屋租赁合同诉讼和仲裁法律服务操作指引第8条,第8条,"　诉讼时效的审查
8.1一般规定
《民法通则》第135条规定，向人民法院请求保护民事权利的诉讼时效期间为两年。第136条第（3）项规定，""延付或拒付租金""的情况，诉讼时效为1年。第137条规定，诉讼时效期间从知道或者应当知道权利被侵害时起计算。
故一般的租赁纠纷，其时效为两年；而延付或拒付租金的诉讼时效为1年。
8.2律师提供法律服务的业务
律师在审查诉讼时效时，应注意审查是否超过诉讼时效期间，有无诉讼时效中断、中止的事由。对于在诉讼时效内的案件，应告知当事人及时起诉；对已经超过诉讼时效的案件，应告知当事人采取补救措施或者提出时效抗辩。
8.3律师提供法律服务的重点内容
8.3.1作为原告时，应当注意收集相应的中断时效的资料，比如口头协商的见证人、房租缴纳证明、收据、房屋修理记录、水电费的缴款单等。
8.3.2作为被告时，对已超过诉讼时效的案件，应告知当事人进行时效抗辩。
8.3.3依据最高人民法院研究室《关于对租赁合同债务人因欠付租金而出具的""欠款结算单""不适用普通诉讼时效的复函》的规定：租赁合同债务人因欠付租金而出具的""欠款结算单""只表明未付租金的数额，并未改变其与债权人之间的租赁关系。因此，租赁合同当事人之间就该欠款结算单所发生纠纷的诉讼时效期间适用《民法通则》第136条的规定，即时效期间仍为1年。
8.4律师提供法律服务的风险提示
律师应当告知当事人在时效期间内提起诉讼。对于超过诉讼时效的起诉应告知当事人诉讼风险，并做告知笔录；代理被告的，应提出时效抗辩。",现行有效,行业/团体规范,中华全国律师协会,,,2013-06-01,律协规定," - 《中华全国律师协会律师提供房屋租赁合同诉讼和仲裁法律服务操作指引》第8条##　诉讼时效的审查
8.1一般规定
《民法通则》第135条规定，向人民法院请求保护民事权利的诉讼时效期间为两年。第136条第（3）项规定，""延付或拒付租金""的情况，诉讼时效为1年。第137条规定，诉讼时效期间从知道或者应当知道权利被侵害时起计算。
故一般的租赁纠纷，其时效为两年；而延付或拒付租金的诉讼时效为1年。
8.2律师提供法律服务的业务
律师在审查诉讼时效时，应注意审查是否超过诉讼时效期间，有无诉讼时效中断、中止的事由。对于在诉讼时效内的案件，应告知当事人及时起诉；对已经超过诉讼时效的案件，应告知当事人采取补救措施或者提出时效抗辩。
8.3律师提供法律服务的重点内容
8.3.1作为原告时，应当注意收集相应的中断时效的资料，比如口头协商的见证人、房租缴纳证明、收据、房屋修理记录、水电费的缴款单等。
8.3.2作为被告时，对已超过诉讼时效的案件，应告知当事人进行时效抗辩。
8.3.3依据最高人民法院研究室《关于对租赁合同债务人因欠付租金而出具的""欠款结算单""不适用普通诉讼时效的复函》的规定：租赁合同债务人因欠付租金而出具的""欠款结算单""只表明未付租金的数额，并未改变其与债权人之间的租赁关系。因此，租赁合同当事人之间就该欠款结算单所发生纠纷的诉讼时效期间适用《民法通则》第136条的规定，即时效期间仍为1年。
8.4律师提供法律服务的风险提示
律师应当告知当事人在时效期间内提起诉讼。对于超过诉讼时效的起诉应告知当事人诉讼风险，并做告知笔录；代理被告的，应提出时效抗辩。",50.329563,8,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/298d01e4c6266a5efbcb3354ef7e8572?text=8,298d01e4c6266a5efbcb3354ef7e8572,298d01e4c6266a5efbcb3354ef7e8572_8
最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第十八条,最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正),最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第十八条,第十八条,"　主债务诉讼时效期间届满，保证人享有主债务人的诉讼时效抗辩权。 
　　保证人未主张前述诉讼时效抗辩权，承担保证责任后向主债务人行使追偿权的，人民法院不予支持，但主债务人同意给付的情形除外。",现行有效,司法解释,最高人民法院,2021-01-01,法释〔2020〕17号,2020-12-29,高法司法解释," - 《最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)》第十八条##　主债务诉讼时效期间届满，保证人享有主债务人的诉讼时效抗辩权。 
　　保证人未主张前述诉讼时效抗辩权，承担保证责任后向主债务人行使追偿权的，人民法院不予支持，但主债务人同意给付的情形除外。",50.298386,18,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/61a9873b704c9e2226f48b1b5779692a?text=18,61a9873b704c9e2226f48b1b5779692a,61a9873b704c9e2226f48b1b5779692a_18
最高人民法院关于中国上海抽纱进出口公司与中国太平洋保险公司上海分公司海上货物运输保险合同纠纷请示的复函2、,最高人民法院关于中国上海抽纱进出口公司与中国太平洋保险公司上海分公司海上货物运输保险合同纠纷请示的复函,最高人民法院关于中国上海抽纱进出口公司与中国太平洋保险公司上海分公司海上货物运输保险合同纠纷请示的复函2、,2、,关于在承运人和保险人均有赔偿责任的情况下，保险人取得代位求偿权后，向承运人代位求偿的诉讼时效如何计算的问题。我们认为，保险人取得的代位求偿权是被保险人移转的债权，保险人取代被保险人的法律地位后，对承运人享有的权利范围不得超过被保险人；凡承运人得以对抗被保险人而享有的抗辩权同样可以对抗保险人，该抗辩权包括因诉讼时效超过而拒绝赔付的抗辩权。保险人只能在被保险人有权享有的时效期间提起诉讼，即保险人取代被保险人向承运人代位求偿的诉讼时效亦为1年，应自承运人交付或应当交付货物之日起计算。,现行有效,司法解释,最高人民法院,2001-01-03,[2000]交他字第8号,2001-01-03,司法解释性质文件, - 《最高人民法院关于中国上海抽纱进出口公司与中国太平洋保险公司上海分公司海上货物运输保险合同纠纷请示的复函》2、##关于在承运人和保险人均有赔偿责任的情况下，保险人取得代位求偿权后，向承运人代位求偿的诉讼时效如何计算的问题。我们认为，保险人取得的代位求偿权是被保险人移转的债权，保险人取代被保险人的法律地位后，对承运人享有的权利范围不得超过被保险人；凡承运人得以对抗被保险人而享有的抗辩权同样可以对抗保险人，该抗辩权包括因诉讼时效超过而拒绝赔付的抗辩权。保险人只能在被保险人有权享有的时效期间提起诉讼，即保险人取代被保险人向承运人代位求偿的诉讼时效亦为1年，应自承运人交付或应当交付货物之日起计算。,50.20916,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3b7b5c0f49df04a76d03c2ed1b517eb5?text=2,3b7b5c0f49df04a76d03c2ed1b517eb5,3b7b5c0f49df04a76d03c2ed1b517eb5_2
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正)第二百一十九条,最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正)第二百一十九条,第二百一十九条,　当事人超过诉讼时效期间起诉的，人民法院应予受理。受理后对方当事人提出诉讼时效抗辩，人民法院经审理认为抗辩事由成立的，判决驳回原告的诉讼请求。,现行有效,司法解释,最高人民法院,2022-04-10,法释〔2022〕11号,2022-04-01,高法司法解释, - 《最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正)》第二百一十九条##　当事人超过诉讼时效期间起诉的，人民法院应予受理。受理后对方当事人提出诉讼时效抗辩，人民法院经审理认为抗辩事由成立的，判决驳回原告的诉讼请求。,50.00567,219,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=219,a8be8255398ec3a38327e8f07ecd18a0,a8be8255398ec3a38327e8f07ecd18a0_219
最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第一条,最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正),最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)第一条,第一条,"　当事人可以对债权请求权提出诉讼时效抗辩，但对下列债权请求权提出诉讼时效抗辩的，人民法院不予支持： 
　　（一）支付存款本金及利息请求权； 
　　（二）兑付国债、金融债券以及向不特定对象发行的企业债券本息请求权； 
　　（三）基于投资关系产生的缴付出资请求权； 
　　（四）其他依法不适用诉讼时效规定的债权请求权。",现行有效,司法解释,最高人民法院,2021-01-01,法释〔2020〕17号,2020-12-29,高法司法解释," - 《最高人民法院关于审理民事案件适用诉讼时效制度若干问题的规定(2020修正)》第一条##　当事人可以对债权请求权提出诉讼时效抗辩，但对下列债权请求权提出诉讼时效抗辩的，人民法院不予支持： 
　　（一）支付存款本金及利息请求权； 
　　（二）兑付国债、金融债券以及向不特定对象发行的企业债券本息请求权； 
　　（三）基于投资关系产生的缴付出资请求权； 
　　（四）其他依法不适用诉讼时效规定的债权请求权。",49.63578,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/61a9873b704c9e2226f48b1b5779692a?text=1,61a9873b704c9e2226f48b1b5779692a,61a9873b704c9e2226f48b1b5779692a_1
最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(三)(2020修正)第十九条,最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(三)(2020修正),最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(三)(2020修正)第十九条,第十九条,"　公司股东未履行或者未全面履行出资义务或者抽逃出资，公司或者其他股东请求其向公司全面履行出资义务或者返还出资，被告股东以诉讼时效为由进行抗辩的，人民法院不予支持。 
　　公司债权人的债权未过诉讼时效期间，其依照本规定第十三条第二款、第十四条第二款的规定请求未履行或者未全面履行出资义务或者抽逃出资的股东承担赔偿责任，被告股东以出资义务或者返还出资义务超过诉讼时效期间为由进行抗辩的，人民法院不予支持。",现行有效,司法解释,最高人民法院,2021-01-01,法释〔2020〕18号,2020-12-29,高法司法解释," - 《最高人民法院关于适用《中华人民共和国公司法》若干问题的规定(三)(2020修正)》第十九条##　公司股东未履行或者未全面履行出资义务或者抽逃出资，公司或者其他股东请求其向公司全面履行出资义务或者返还出资，被告股东以诉讼时效为由进行抗辩的，人民法院不予支持。 
　　公司债权人的债权未过诉讼时效期间，其依照本规定第十三条第二款、第十四条第二款的规定请求未履行或者未全面履行出资义务或者抽逃出资的股东承担赔偿责任，被告股东以出资义务或者返还出资义务超过诉讼时效期间为由进行抗辩的，人民法院不予支持。",48.811443,19,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cf6cf35d2ce11ed25911b9f67da2f423?text=19,cf6cf35d2ce11ed25911b9f67da2f423,cf6cf35d2ce11ed25911b9f67da2f423_19
