标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
最高人民法院印发《关于依法妥善审理涉新冠肺炎疫情民事案件若干问题的指导意见(一)》的通知二、,最高人民法院印发《关于依法妥善审理涉新冠肺炎疫情民事案件若干问题的指导意见(一)》的通知,最高人民法院印发《关于依法妥善审理涉新冠肺炎疫情民事案件若干问题的指导意见(一)》的通知二、,二、,依法准确适用不可抗力规则。人民法院审理涉疫情民事案件，要准确适用不可抗力的具体规定，严格把握适用条件。对于受疫情或者疫情防控措施直接影响而产生的民事纠纷，符合不可抗力法定要件的，适用《中华人民共和国民法总则》第一百八十条、《中华人民共和国合同法》第一百一十七条和第一百一十八条等规定妥善处理；其他法律、行政法规另有规定的，依照其规定。当事人主张适用不可抗力部分或者全部免责的，应当就不可抗力直接导致民事义务部分或者全部不能履行的事实承担举证责任。,现行有效,司法解释,最高人民法院,2020-04-16,法发[2020]12号,2020-04-16,两高工作文件, - 《最高人民法院印发《关于依法妥善审理涉新冠肺炎疫情民事案件若干问题的指导意见(一)》的通知》二、##依法准确适用不可抗力规则。人民法院审理涉疫情民事案件，要准确适用不可抗力的具体规定，严格把握适用条件。对于受疫情或者疫情防控措施直接影响而产生的民事纠纷，符合不可抗力法定要件的，适用《中华人民共和国民法总则》第一百八十条、《中华人民共和国合同法》第一百一十七条和第一百一十八条等规定妥善处理；其他法律、行政法规另有规定的，依照其规定。当事人主张适用不可抗力部分或者全部免责的，应当就不可抗力直接导致民事义务部分或者全部不能履行的事实承担举证责任。,35.65094,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4d8ff6e7434f895c5bd5d98b574e8471?text=2,4d8ff6e7434f895c5bd5d98b574e8471,4d8ff6e7434f895c5bd5d98b574e8471_2
中国银行间市场交易商协会公告[2013]15号－－关于发布《银行间债券市场非金融企业债务融资工具承销协议文本(2013年版)》和《银行间债券市场非金融企业债务融资工具承销团协议文本(2013年版)》的公告第十五条,中国银行间市场交易商协会公告[2013]15号－－关于发布《银行间债券市场非金融企业债务融资工具承销协议文本(2013年版)》和《银行间债券市场非金融企业债务融资工具承销团协议文本(2013年版)》的公告,中国银行间市场交易商协会公告[2013]15号－－关于发布《银行间债券市场非金融企业债务融资工具承销协议文本(2013年版)》和《银行间债券市场非金融企业债务融资工具承销团协议文本(2013年版)》的公告第十五条,第十五条,"　不可抗力 
　　15.1 本协议所称的不可抗力是指各方不能预见、不能避免并不能克服的、且对一方或各方履行本协议造成实质性不利影响的客观事件，包括但不限于自然灾害、战争、中国法律发生重大变化等事件。 
　　15.2 上述不可抗力情形的发生并不当然的构成本协议项下的免责事由。当事人迟延履行本协议项下约定的义务后发生不可抗力的，不能免除责任。 
　　15.3宣称发生不可抗力事件的一方应迅速书面通知本协议其他各方，并在其后的15天内提供证明不可抗力事件发生及持续的充分证据。 
　　15.4受不可抗力事件影响的一方可以暂缓履行其在本协议项下的义务，直至该等影响消除之日，但应及时采取措施努力防止该影响造成的损失继续扩大，否则应就扩大的损失对其他各方承担相应的赔偿责任。 
　　15.5如果不可抗力事件影响持续超过60天，且双方尚未通过协商就解决办法达成一致，则任何一方有权向其他方发送书面通知（“终止通知”）以终止本协议对受不可抗力影响的当期债务融资工具发行的适用。",现行有效,行业/团体规范,中国银行间市场交易商协会,2013-09-02,中国银行间市场交易商协会公告[2013]15号,2013-09-02,其他规定," - 《中国银行间市场交易商协会公告[2013]15号－－关于发布《银行间债券市场非金融企业债务融资工具承销协议文本(2013年版)》和《银行间债券市场非金融企业债务融资工具承销团协议文本(2013年版)》的公告》第十五条##　不可抗力 
　　15.1 本协议所称的不可抗力是指各方不能预见、不能避免并不能克服的、且对一方或各方履行本协议造成实质性不利影响的客观事件，包括但不限于自然灾害、战争、中国法律发生重大变化等事件。 
　　15.2 上述不可抗力情形的发生并不当然的构成本协议项下的免责事由。当事人迟延履行本协议项下约定的义务后发生不可抗力的，不能免除责任。 
　　15.3宣称发生不可抗力事件的一方应迅速书面通知本协议其他各方，并在其后的15天内提供证明不可抗力事件发生及持续的充分证据。 
　　15.4受不可抗力事件影响的一方可以暂缓履行其在本协议项下的义务，直至该等影响消除之日，但应及时采取措施努力防止该影响造成的损失继续扩大，否则应就扩大的损失对其他各方承担相应的赔偿责任。 
　　15.5如果不可抗力事件影响持续超过60天，且双方尚未通过协商就解决办法达成一致，则任何一方有权向其他方发送书面通知（“终止通知”）以终止本协议对受不可抗力影响的当期债务融资工具发行的适用。",35.454517,15,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/67543d52eaba713097bbef88532c7da2?text=15,67543d52eaba713097bbef88532c7da2,67543d52eaba713097bbef88532c7da2_15
中华全国律师协会律师为买受人提供商品房买卖合同法律服务操作指引第49条,中华全国律师协会律师为买受人提供商品房买卖合同法律服务操作指引,中华全国律师协会律师为买受人提供商品房买卖合同法律服务操作指引第49条,第49条,"　律师为买受人提供法律服务时的重点内容
49.1买受人可以要求在约定以验收合格或者取得批准使用文件为交付条件的同时，约定其他更为具体的条件，特别是精装修房屋，可增加约定相关部门（如环保部门）检测，室内空气质量达到有关环保标准；小区设施已全部交付使用等。并约定未达到上述条件的任何一条，即使商品房已经通过验收，仍视为未达到交房条件。
49.2对于不可抗力以外的开发商免责事由应从严控制。对于这些特殊原因，买卖双方也应当约定一个告知期限以及举证期限，即应约定开发商在合理的时间内告知买受人，并向买受人提供发生免责事由的证据。
49.3约定买受人解除合同的权利。商品房是特殊商品，若不可抗力事件或开发商的其他免责事由持续时间过长，会影响买受人的生活。如考古发现，有可能会延长工期几个月甚至一两年。因此，买卖双方可以在合同中约定不可抗力事件或开发商的其他免责事由的持续时间达到一定期限时，买受人有权解除合同。
49.4交接程序应符合一般的商业惯例，即经验收合格后再签署房屋交接书。
49.5房屋初始登记的权利人是开发商，因此，买受人要求办理的产权登记应该是房屋所有权转移登记。",现行有效,行业/团体规范,中华全国律师协会,,,2009-08-01,律协规定," - 《中华全国律师协会律师为买受人提供商品房买卖合同法律服务操作指引》第49条##　律师为买受人提供法律服务时的重点内容
49.1买受人可以要求在约定以验收合格或者取得批准使用文件为交付条件的同时，约定其他更为具体的条件，特别是精装修房屋，可增加约定相关部门（如环保部门）检测，室内空气质量达到有关环保标准；小区设施已全部交付使用等。并约定未达到上述条件的任何一条，即使商品房已经通过验收，仍视为未达到交房条件。
49.2对于不可抗力以外的开发商免责事由应从严控制。对于这些特殊原因，买卖双方也应当约定一个告知期限以及举证期限，即应约定开发商在合理的时间内告知买受人，并向买受人提供发生免责事由的证据。
49.3约定买受人解除合同的权利。商品房是特殊商品，若不可抗力事件或开发商的其他免责事由持续时间过长，会影响买受人的生活。如考古发现，有可能会延长工期几个月甚至一两年。因此，买卖双方可以在合同中约定不可抗力事件或开发商的其他免责事由的持续时间达到一定期限时，买受人有权解除合同。
49.4交接程序应符合一般的商业惯例，即经验收合格后再签署房屋交接书。
49.5房屋初始登记的权利人是开发商，因此，买受人要求办理的产权登记应该是房屋所有权转移登记。",34.476902,49,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d40b7f48457fee3d1e734f2f0153398f?text=49,d40b7f48457fee3d1e734f2f0153398f,d40b7f48457fee3d1e734f2f0153398f_49
全国妇女“双学双比”活动领导小组办公室关于做好2011年全国“三八绿色工程”示范基地项目建设的通知第四条,全国妇女“双学双比”活动领导小组办公室关于做好2011年全国“三八绿色工程”示范基地项目建设的通知,全国妇女“双学双比”活动领导小组办公室关于做好2011年全国“三八绿色工程”示范基地项目建设的通知第四条,第四条,"　免责条款 
　　如因不可抗力因素造成损失，经调查证实后，对损失部分双方均不负责。",现行有效,行业/团体规范,全国妇女联合会,2011-11-24,妇双领字[2011]3号,2011-11-24,其他规定," - 《全国妇女“双学双比”活动领导小组办公室关于做好2011年全国“三八绿色工程”示范基地项目建设的通知》第四条##　免责条款 
　　如因不可抗力因素造成损失，经调查证实后，对损失部分双方均不负责。",34.142838,4,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/143a3ba6fff00b9bdf4f511a98b5d993?text=4,143a3ba6fff00b9bdf4f511a98b5d993,143a3ba6fff00b9bdf4f511a98b5d993_4
全国妇女“双学双比”活动领导小组办公室关于做好2010年全国“三八绿色工程”示范基地项目建设的通知第四条,全国妇女“双学双比”活动领导小组办公室关于做好2010年全国“三八绿色工程”示范基地项目建设的通知,全国妇女“双学双比”活动领导小组办公室关于做好2010年全国“三八绿色工程”示范基地项目建设的通知第四条,第四条,"　免责条款 
　　如因不可抗力因素造成损失，经调查证实后，对损失部分双方均不负责。",现行有效,行业/团体规范,全国妇女联合会,2010-11-23,妇双领字[2010]9号,2010-11-23,其他规定," - 《全国妇女“双学双比”活动领导小组办公室关于做好2010年全国“三八绿色工程”示范基地项目建设的通知》第四条##　免责条款 
　　如因不可抗力因素造成损失，经调查证实后，对损失部分双方均不负责。",34.142838,4,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/16c4f2f88c9b708a80bcb5863ed21c87?text=4,16c4f2f88c9b708a80bcb5863ed21c87,16c4f2f88c9b708a80bcb5863ed21c87_4
全国妇女“双学双比”活动领导小组办公室关于做好2012年全国“三八绿色工程”示范基地项目建设的通知第四条,全国妇女“双学双比”活动领导小组办公室关于做好2012年全国“三八绿色工程”示范基地项目建设的通知,全国妇女“双学双比”活动领导小组办公室关于做好2012年全国“三八绿色工程”示范基地项目建设的通知第四条,第四条,"　免责条款 
　　如因不可抗力因素造成损失，经调查证实后，对损失部分双方均不负责。",现行有效,行业/团体规范,全国妇女联合会,2012-11-06,妇双领字[2012]1号,2012-11-06,其他规定," - 《全国妇女“双学双比”活动领导小组办公室关于做好2012年全国“三八绿色工程”示范基地项目建设的通知》第四条##　免责条款 
　　如因不可抗力因素造成损失，经调查证实后，对损失部分双方均不负责。",34.142838,4,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4970a629c0e1277f71ed06e925cfa44c?text=4,4970a629c0e1277f71ed06e925cfa44c,4970a629c0e1277f71ed06e925cfa44c_4
中国证券监督管理委员会关于发布《期货交易所、期货经营机构信息技术管理规范（试行）》的通知第九十五条,中国证券监督管理委员会关于发布《期货交易所、期货经营机构信息技术管理规范（试行）》的通知,中国证券监督管理委员会关于发布《期货交易所、期货经营机构信息技术管理规范（试行）》的通知第九十五条,第九十五条,"　下列情况期货交易所、期货经营机构免责： 
（１）因不可抗力引发的技术事故； 
（２）因软硬件故障导致的技术事故，经技术专家论证，确认信息技术管理符合本规范要求，确属小概率或偶发性事件； 
（３）其它经技术专家认定的免责事故。",现行有效,部门规章,中国证券监督管理委员会,2001-01-01,证监期货字[2000]38号,2000-12-26,部门规范性文件," - 《中国证券监督管理委员会关于发布《期货交易所、期货经营机构信息技术管理规范（试行）》的通知》第九十五条##　下列情况期货交易所、期货经营机构免责： 
（１）因不可抗力引发的技术事故； 
（２）因软硬件故障导致的技术事故，经技术专家论证，确认信息技术管理符合本规范要求，确属小概率或偶发性事件； 
（３）其它经技术专家认定的免责事故。",33.918583,95,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ed650ecf648d7234fc6fa825381ae22f?text=95,ed650ecf648d7234fc6fa825381ae22f,ed650ecf648d7234fc6fa825381ae22f_95
四川省建设厅、省工商局关于印发《四川省商品房买卖合同示范文本释义》的通知第二十五条,四川省建设厅、省工商局关于印发《四川省商品房买卖合同示范文本释义》的通知,四川省建设厅、省工商局关于印发《四川省商品房买卖合同示范文本释义》的通知第二十五条,第二十五条,"　不可抗力 
　　因不可抗力不能按照约定履行本合同的，根据不可抗力的影响，部分或全部免除责任，但因不可抗力不能按照约定履行合同的一方当事人应当及时告知另一方当事人，并自不可抗力事件结束之日起　 _ 日内向另一方当事人提供证明。 
　　【释义】　　本条是关于因不可抗力而导致合同不能履行或部分不能履行问题的约定。所谓不可抗力，是指不能预见、不能避免、不能克服的客观情况，例如自然灾害等。因不可抗力而致使合同不能履行或部分不能履行的，义务人可以免责或部分免责，但义务人应当及时将不可抗力事由告知权利人并提供相应证明。",现行有效,地方规范性文件,"四川省工商行政管理局,四川省建设厅",2006-10-10,川建发[2006]149号,2006-10-10,规范性文件," - 《四川省建设厅、省工商局关于印发《四川省商品房买卖合同示范文本释义》的通知》第二十五条##　不可抗力 
　　因不可抗力不能按照约定履行本合同的，根据不可抗力的影响，部分或全部免除责任，但因不可抗力不能按照约定履行合同的一方当事人应当及时告知另一方当事人，并自不可抗力事件结束之日起　 _ 日内向另一方当事人提供证明。 
　　【释义】　　本条是关于因不可抗力而导致合同不能履行或部分不能履行问题的约定。所谓不可抗力，是指不能预见、不能避免、不能克服的客观情况，例如自然灾害等。因不可抗力而致使合同不能履行或部分不能履行的，义务人可以免责或部分免责，但义务人应当及时将不可抗力事由告知权利人并提供相应证明。",32.876556,25,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5cc685c9766217e885430f76a74a05b1?text=25,5cc685c9766217e885430f76a74a05b1,5cc685c9766217e885430f76a74a05b1_25
中国保险监督管理委员会关于保价业务问题的复函二、,中国保险监督管理委员会关于保价业务问题的复函,中国保险监督管理委员会关于保价业务问题的复函二、,二、,我们认为，承运人不应通过保价的形式承担法定免责的责任，如因不可抗力和托运人、收货人或者旅客的过错造成货物、行李发生损失的赔偿责任。承运人以收费形式承担法定责任以外的责任，属于变相商业保险，违反了有关立法的基本精神。,现行有效,行政机关工作文件,中国保险监督管理委员会(已撤销),1999-03-11,保监法[1999]2号,1999-03-11,其他工作文件, - 《中国保险监督管理委员会关于保价业务问题的复函》二、##我们认为，承运人不应通过保价的形式承担法定免责的责任，如因不可抗力和托运人、收货人或者旅客的过错造成货物、行李发生损失的赔偿责任。承运人以收费形式承担法定责任以外的责任，属于变相商业保险，违反了有关立法的基本精神。,32.850998,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/215338c48d9935f2c49e6081d8cc4155?text=2,215338c48d9935f2c49e6081d8cc4155,215338c48d9935f2c49e6081d8cc4155_2
山东高院民一庭涉疫情建设工程施工合同纠纷案件法官会议纪要一、,山东高院民一庭涉疫情建设工程施工合同纠纷案件法官会议纪要,山东高院民一庭涉疫情建设工程施工合同纠纷案件法官会议纪要一、,一、,"关于不可抗力的认定 
　　新冠疫情属于突发公共卫生事件，符合不可抗力不能预见、不能避免且不能克服的特点。对于为防治新冠疫情而采取行政措施，导致建设工程施工合同不能履行，或者由于疫情的影响致使当事人根本不能履行合同义务的，应当认定为不可抗力。 
　　在建设工程施工合同纠纷案件中，当事人以新冠疫情构成不可抗力并主张免责的，原则上应符合以下四个方面情形：（一）疫情与合同义务的不能履行具有直接因果关系；（二）疫情的影响足以导致合同不能履行；（三）不违反施工合同中对双方当事人具有约束力的约定；（四）符合不可抗力免责的其他情形。因自身原因不能履行合同，当事人主张免责的，不予支持。",现行有效,地方司法文件,山东省高级人民法院,2020-03-03,,2020-03-03,地方司法文件," - 《山东高院民一庭涉疫情建设工程施工合同纠纷案件法官会议纪要》一、##关于不可抗力的认定 
　　新冠疫情属于突发公共卫生事件，符合不可抗力不能预见、不能避免且不能克服的特点。对于为防治新冠疫情而采取行政措施，导致建设工程施工合同不能履行，或者由于疫情的影响致使当事人根本不能履行合同义务的，应当认定为不可抗力。 
　　在建设工程施工合同纠纷案件中，当事人以新冠疫情构成不可抗力并主张免责的，原则上应符合以下四个方面情形：（一）疫情与合同义务的不能履行具有直接因果关系；（二）疫情的影响足以导致合同不能履行；（三）不违反施工合同中对双方当事人具有约束力的约定；（四）符合不可抗力免责的其他情形。因自身原因不能履行合同，当事人主张免责的，不予支持。",32.225967,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d84ccd69d02a3b07bfdcc8e38e4fe417?text=1,d84ccd69d02a3b07bfdcc8e38e4fe417,d84ccd69d02a3b07bfdcc8e38e4fe417_1
