标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发布日期,二级效力级别,发文字号,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国刑法(2023修正)第二十一条,中华人民共和国刑法(2023修正),中华人民共和国刑法(2023修正)第二十一条,第二十一条,"　【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",现行有效,法律,全国人大常委会,2024-03-01,2023-12-29,法律,," - 《中华人民共和国刑法(2023修正)》第二十一条##　【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",50.761284,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=21,aecabfbe6b0843642509a7f1ff865413,aecabfbe6b0843642509a7f1ff865413_21
中华人民共和国刑法(2020修正)第二十一条,中华人民共和国刑法(2020修正),中华人民共和国刑法(2020修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,2021-03-01,2020-12-26,法律,中华人民共和国主席令第66号," - 《中华人民共和国刑法(2020修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.95439,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c35e326807b739eeb07578c0f00edfcb?text=21,c35e326807b739eeb07578c0f00edfcb,c35e326807b739eeb07578c0f00edfcb_21
中华人民共和国刑法(1997修订)第二十一条,中华人民共和国刑法(1997修订),中华人民共和国刑法(1997修订)第二十一条,第二十一条,"　【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,1997-10-01,1997-03-14,法律,中华人民共和国主席令第83号," - 《中华人民共和国刑法(1997修订)》第二十一条##　【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.947296,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0dbc99557416281b4764b67690fed3e1?text=21,0dbc99557416281b4764b67690fed3e1,0dbc99557416281b4764b67690fed3e1_21
中华人民共和国刑法(1999修正)第二十一条,中华人民共和国刑法(1999修正),中华人民共和国刑法(1999修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,1999-12-25,1999-12-25,法律,," - 《中华人民共和国刑法(1999修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.94461,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/985ab2e001494f7d5c71a0728f9cc392?text=21,985ab2e001494f7d5c71a0728f9cc392,985ab2e001494f7d5c71a0728f9cc392_21
中华人民共和国刑法(2011修正)第二十一条,中华人民共和国刑法(2011修正),中华人民共和国刑法(2011修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,2011-05-01,2011-02-25,法律,," - 《中华人民共和国刑法(2011修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.94461,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2b6b3f6e128fc4fa8d3566ba2b07777b?text=21,2b6b3f6e128fc4fa8d3566ba2b07777b,2b6b3f6e128fc4fa8d3566ba2b07777b_21
中华人民共和国刑法(2002修正)第二十一条,中华人民共和国刑法(2002修正),中华人民共和国刑法(2002修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,2002-12-28,2002-12-28,法律,," - 《中华人民共和国刑法(2002修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.930878,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d226b84463a4fe5690d286aa5d82b6d3?text=21,d226b84463a4fe5690d286aa5d82b6d3,d226b84463a4fe5690d286aa5d82b6d3_21
中华人民共和国刑法(2009第二次修正)第二十一条,中华人民共和国刑法(2009第二次修正),中华人民共和国刑法(2009第二次修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人大常委会,2009-08-27,2009-08-27,法律,," - 《中华人民共和国刑法(2009第二次修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.882023,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6f85d36dad519620f103f76f9195ccd7?text=21,6f85d36dad519620f103f76f9195ccd7,6f85d36dad519620f103f76f9195ccd7_21
中华人民共和国刑法(2005修正)第二十一条,中华人民共和国刑法(2005修正),中华人民共和国刑法(2005修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,2005-02-28,2005-02-28,法律,," - 《中华人民共和国刑法(2005修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.872772,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/559c6b523d8d1007db0fe2a7d9454936?text=21,559c6b523d8d1007db0fe2a7d9454936,559c6b523d8d1007db0fe2a7d9454936_21
中华人民共和国刑法(2001第一次修正)第二十一条,中华人民共和国刑法(2001第一次修正),中华人民共和国刑法(2001第一次修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,2001-08-31,2001-08-31,法律,," - 《中华人民共和国刑法(2001第一次修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.872772,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/02311b1868bbc53cc46923b4c616fedd?text=21,02311b1868bbc53cc46923b4c616fedd,02311b1868bbc53cc46923b4c616fedd_21
中华人民共和国刑法(2006修正)第二十一条,中华人民共和国刑法(2006修正),中华人民共和国刑法(2006修正)第二十一条,第二十一条,"【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",已被修改,法律,全国人民代表大会,2006-06-29,2006-06-29,法律,," - 《中华人民共和国刑法(2006修正)》第二十一条##【紧急避险】为了使国家、公共利益、本人或者他人的人身、财产和其他权利免受正在发生的危险，不得已采取的紧急避险行为，造成损害的，不负刑事责任。 
紧急避险超过必要限度造成不应有的损害的，应当负刑事责任，但是应当减轻或者免除处罚。 
第一款中关于避免本人危险的规定，不适用于职务上、业务上负有特定责任的人。",45.848545,21,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/14cdfd289f2582c05e4ef0d89b9e662e?text=21,14cdfd289f2582c05e4ef0d89b9e662e,14cdfd289f2582c05e4ef0d89b9e662e_21
