case_id,jurisdiction,domain,damage_type,initial_claim,final_award,iterations,court_level,year,converged,convergence_gap,notes
BD-CRI-0001,CN,criminal,compensatory,3500.0,50000.0,1,trial,2018,,,
BD-SUP-0003,CN,procedure,compensatory,3174.0,2000.0,1,trial,2006,,,
BD-SUP-0004,CN,procedure,compensatory,,18833374.74,1,trial,2002,,,
BD-SUP-0007,CN,procedure,compensatory,93099.86,50000.0,1,trial,2015,,,
BD-SUP-0008,CN,procedure,compensatory,429700.0,10000.0,1,trial,2009,,,
BD-SUP-0009,CN,procedure,compensatory,660000000.0,63000000.0,1,trial,2007,,,
BD-SUP-0010,CN,procedure,compensatory,,500000.0,1,trial,2019,,,
BD-SUP-0012,CN,procedure,compensatory,,25000000.0,1,trial,2021,,,
BD-SUP-0013,CN,procedure,compensatory,1000000.0,1000000.0,1,trial,2022,,,
BD-SUP-0014,CN,procedure,compensatory,,29300000.0,1,trial,2022,,,
BD-SUP-0015,CN,procedure,compensatory,500000.0,40000000.0,1,trial,2008,,,
BD-SUP-0016,CN,procedure,compensatory,1200000000.0,6800000.0,1,trial,2018,,,
BD-SUP-0017,CN,procedure,compensatory,63000000.0,20000.0,1,trial,2008,,,
BD-SUP-0018,CN,procedure,compensatory,,200000.0,1,trial,2018,,,
BD-SUP-0001,CN,procedure,liquidated_damages,,500000.0,1,trial,2023,,,
BD-SUP-0002,US,procedure,compensatory,1300000.0,40000.0,1,trial,2024,,,
BD-SUP-0003,CN,procedure,compensatory,100000.0,50000.0,1,trial,2023,,,
BD-SUP-0008,CN,procedure,liquidated_damages,22145000.0,129000000.0,1,trial,2021,,,
BD-SUP-0013,CN,procedure,compensatory,5247201.0,17776.28,1,trial,2019,,,
BD-SUP-0014,CN,procedure,liquidated_damages,71906.6,65110000.0,1,trial,2021,,,
BD-SUP-0015,CN,procedure,compensatory,30000.0,30000.0,1,trial,2013,,,
BD-SUP-0016,CN,procedure,compensatory,77000000.0,77000000.0,1,trial,2023,,,
BD-SUP-0017,CN,procedure,compensatory,150000000.0,80000000.0,1,trial,2020,,,
BD-SUP-0025,CN,procedure,compensatory,14000000.0,2000000.0,1,trial,2023,,,
BD-SUP-0031,CN,procedure,compensatory,15000000.0,2000000.0,1,trial,2023,,,
BD-SUP-0034,CN,procedure,compensatory,10000000.0,10000000.0,1,trial,2023,,,
BD-SUP-0035,CN,procedure,compensatory,5000000000.0,5000000000.0,1,trial,2023,,,
BD-ENF-0001,CN,procedure,compensatory,,4900000.0,1,trial,2020,,,
BD-ENF-0008,CN,procedure,compensatory,,29096000.0,1,trial,2024,,,
BD-ENF-0017,CN,procedure,liquidated_damages,,2950000.0,1,trial,2020,,,
BD-JUV-0004,CN,criminal,compensatory,60000.0,60000.0,1,trial,2022,,,
BD-CIV-0010,CN,contract,compensatory,,17677.78,1,trial,2022,,,
BD-CIV-0011,US,contract,compensatory,10000000.0,10000.0,1,trial,2021,,,
BD-CIV-0014,CN,contract,compensatory,10000000.0,145758.2,1,trial,2017,,,
BD-CIV-0019,CN,contract,compensatory,9600.0,21600.0,1,trial,2017,,,
BD-CIV-0020,CN,contract,compensatory,21600.0,141542.0,1,trial,2021,,,
BD-CIV-0021,CN,contract,compensatory,84925.2,616.8,1,trial,2020,,,
BD-CIV-0022,CN,contract,compensatory,,10077.0,1,trial,2011,,,
BD-CIV-0026,CN,contract,compensatory,,76084.0,1,trial,2021,,,
BD-CIV-0027,CN,contract,compensatory,60867.2,152168.0,1,trial,2019,,,
BD-CIV-0028,CN,contract,compensatory,640.0,640.0,1,trial,2021,,,
BD-CIV-0029,CN,contract,compensatory,2100.0,66000.0,1,trial,2020,,,
BD-CIV-0004,CN,contract,compensatory,6000.0,50000.0,1,trial,2013,,,
BD-CIV-0006,CN,contract,liquidated_damages,6200.0,20000.0,1,trial,2020,,,
BD-CIV-0008,CN,contract,compensatory,325680.0,50000.0,1,trial,2016,,,
BD-CIV-0009,CN,contract,compensatory,,3500000.0,1,trial,2020,,,
BD-CIV-0020,CN,contract,compensatory,3000000.0,144319.44,1,trial,2017,,,
BD-CIV-0021,CN,contract,attorney_fees,,1274600.0,1,trial,2011,,,
BD-CIV-0022,CN,contract,compensatory,,282880.75,1,trial,2020,,,
BD-CIV-0026,CN,contract,compensatory,10000000.0,9500000.0,1,trial,2017,,,
BD-CIV-0032,CN,contract,liquidated_damages,100000.0,60000.0,1,trial,2019,,,
BD-CIV-0034,CN,contract,compensatory,,100000.0,1,trial,2022,,,
BD-CIV-0037,CN,contract,compensatory,1000000.0,800000.0,1,trial,2024,,,
BD-CIV-0043,CN,contract,compensatory,180.0,8000.0,1,trial,2017,,,
BD-CIV-0051,US,contract,compensatory,2000.0,300000.0,1,trial,2018,,,
BD-CIV-0052,CN,contract,compensatory,400.0,181100.0,1,trial,2019,,,
BD-CIV-0060,CN,contract,compensatory,184000000.0,310000000.0,1,trial,2024,,,
BD-CIV-0002,CN,contract,liquidated_damages,11000000.0,30000000.0,1,trial,2021,,,
BD-CIV-0003,CN,contract,liquidated_damages,332583387.96,1039323.08,1,trial,2018,,,
BD-CIV-0004,CN,contract,compensatory,908797.21,1500000.0,1,trial,2020,,,
BD-CIV-0005,CN,contract,liquidated_damages,38020.0,12000000.0,1,trial,1997,,,
BD-CIV-0007,CN,contract,liquidated_damages,12000000.0,200000.0,1,trial,2014,,,
BD-CIV-0008,CN,contract,liquidated_damages,6378710.0,60645.0,1,trial,2014,,,
BD-CIV-0009,CN,contract,compensatory,284000000.0,9000000.0,1,trial,2018,,,
BD-CIV-0010,CN,contract,compensatory,355000000.0,3000.0,1,trial,2021,,,
BD-CIV-0011,CN,contract,compensatory,80000.0,7800.0,1,trial,2022,,,
BD-CIV-0012,CN,contract,liquidated_damages,,72200.0,1,trial,2022,,,
BD-CIV-0013,CN,contract,liquidated_damages,2700000.0,13000000.0,1,trial,2021,,,
BD-CIV-0014,CN,contract,liquidated_damages,12545000.0,100000.0,1,trial,2015,,,
BD-CIV-0015,CN,contract,compensatory,6774.39,636.31,1,trial,2014,,,
BD-CIV-0016,CN,contract,punitive,2800000.0,2800000.0,1,trial,2014,,,
BD-CIV-0017,CN,contract,compensatory,70000000.0,217936.5,1,trial,2006,,,
BD-CIV-0018,CN,contract,compensatory,375935.0,400700000.0,1,trial,2006,,,
BD-CIV-0001,CN,contract,compensatory,,250000.0,1,trial,2023,,,
BD-CIV-0003,CN,contract,compensatory,,100000.0,1,trial,2009,,,
BD-CIV-0001,CN,contract,compensatory,1200000000.0,1200000000.0,1,trial,2007,,,
BD-CIV-0003,CN,contract,compensatory,5000000.0,2000000000.0,1,trial,2004,,,
BD-CIV-0005,CN,contract,compensatory,,900000.0,1,trial,2021,,,
BD-CIV-0006,CN,contract,compensatory,690000.0,4900000.0,1,trial,2021,,,
BD-CIV-0014,CN,contract,compensatory,,1100000.0,1,trial,2009,,,
BD-CIV-0020,CN,contract,compensatory,,1535464.95,1,trial,2009,,,
BD-CIV-0022,CN,contract,compensatory,,80000.0,1,trial,2017,,,
BD-CIV-0033,CN,contract,compensatory,200000000.0,150000000.0,1,trial,2018,,,
BD-CIV-0035,CN,contract,compensatory,,75973413.08,1,trial,2016,,,
BD-CIV-0048,CN,contract,attorney_fees,,8071000.0,1,trial,2023,,,
BD-CIV-0049,CN,contract,compensatory,,300000.0,1,trial,2019,,,
BD-CIV-0050,CN,contract,compensatory,,999000.0,1,trial,2021,,,
BD-CIV-0051,US,contract,compensatory,75000000.0,2000000.0,1,trial,2021,,,
BD-CIV-0052,CN,contract,compensatory,100000.0,300000.0,1,trial,2019,,,
BD-CIV-0053,CN,contract,compensatory,,30000.0,1,trial,2021,,,
BD-CIV-0055,CN,contract,compensatory,,200000000.0,1,trial,2020,,,
BD-CIV-0057,CN,contract,compensatory,,61979800.0,1,trial,2019,,,
BD-CIV-0059,CN,contract,compensatory,,6389000000.0,1,trial,2020,,,
BD-CIV-0065,CN,contract,compensatory,48000.0,30000.0,1,trial,2021,,,
BD-CIV-0066,CN,contract,compensatory,,179621212.5,1,trial,2017,,,
BD-CIV-0068,CN,contract,compensatory,128334662.53,590000.0,1,trial,2019,,,
BD-CIV-0002,CN,contract,compensatory,1000000.0,1000000.0,1,trial,2011,,,
BD-CIV-0003,CN,contract,compensatory,7462.44,18833.68,1,trial,2022,,,
BD-CIV-0004,CN,contract,compensatory,1500000.0,520026.4,1,trial,2023,,,
BD-CIV-0005,CN,contract,compensatory,472314.4,905786.0,1,trial,2021,,,
BD-CIV-0006,CN,contract,compensatory,,1000.0,1,trial,2017,,,
BD-CIV-0010,CN,contract,emotional_distress,,414945.07,1,trial,2017,,,
BD-CIV-0022,CN,contract,compensatory,3000000.0,27500000.0,1,trial,2016,,,
BD-CIV-0023,US,contract,compensatory,,27500000.0,1,trial,2019,,,
BD-CIV-0031,CN,contract,compensatory,5300000.0,86963100.0,1,trial,2015,,,
BD-CIV-0047,CN,contract,compensatory,174000000.0,46000000.0,1,trial,2020,,,
BD-FOR-0002,US,contract,compensatory,,55448732.79,1,trial,2022,,,
BD-FOR-0021,US,contract,compensatory,,800000.0,1,trial,2009,,,
BD-FOR-0030,US,contract,compensatory,,1200000.0,1,trial,2015,,,
BD-FOR-0031,US,contract,liquidated_damages,250000.0,100000.0,1,trial,2020,,,
BD-CIV-0002,HK,contract,compensatory,,10850000.0,1,trial,2021,,,
BD-CIV-0004,HK,contract,compensatory,5000000.0,5000000.0,1,trial,2015,,,
BD-CIV-0005,HK,contract,compensatory,5000.0,560.0,1,trial,2020,,,
BD-CIV-0008,HK,contract,compensatory,,500.0,1,trial,2023,,,
BD-CIV-0011,HK,contract,compensatory,,37017000.0,1,trial,2022,,,
BD-ENV-0001,CN,tort,compensatory,,100.0,1,trial,2020,,,
BD-ENV-0006,CN,tort,compensatory,5000.0,150000.0,1,trial,2019,,,
BD-ENV-0012,CN,tort,compensatory,5000000.0,5000000.0,1,trial,2021,,,
BD-ENV-0014,CN,tort,compensatory,230000.0,480000.0,1,trial,2017,,,
BD-ENV-0025,CN,tort,compensatory,,10449000.0,1,trial,2016,,,
BD-IP-0012,CN,ip,compensatory,2000000.0,150000.0,1,trial,2020,,,
BD-IP-0029,CN,ip,compensatory,,60000.0,1,trial,2022,,,
BD-IP-0034,CN,ip,compensatory,,113999999.99999999,1,trial,2020,,,
BD-IP-0036,CN,ip,compensatory,,100000.0,1,trial,2021,,,
BD-IP-0037,CN,ip,compensatory,616340.0,300000.0,1,trial,2021,,,
BD-IP-0038,CN,ip,compensatory,200000.0,126664.7,1,trial,2019,,,
BD-IP-0039,US,ip,compensatory,,120000000.0,1,trial,2018,,,
BD-IP-0040,CN,ip,compensatory,80000000.0,40000000.0,1,trial,2020,,,
BD-IP-0041,CN,ip,compensatory,120000.0,450000.0,1,trial,2020,,,
BD-IP-0043,CN,ip,compensatory,,300000.0,1,trial,2021,,,
BD-IP-0044,CN,ip,compensatory,,616340.0,1,trial,2021,,,
BD-IP-0045,CN,ip,compensatory,,500000.0,1,trial,2020,,,
BD-IP-0046,CN,ip,compensatory,,10000000.0,1,trial,2019,,,
