法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国行政处罚法(2021修订),第五条,"　行政处罚遵循公正、公开的原则。 
设定和实施行政处罚必须以事实为依据，与违法行为的事实、性质、情节以及社会危害程度相当。 
对违法行为给予行政处罚的规定必须公布；未经公布的，不得作为行政处罚的依据。",现行有效,法律,法律,中央,20210715,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0c15f68cf89e1339125e9f41d5d31c67?text=5,0c15f68cf89e1339125e9f41d5d31c67_5,0c15f68cf89e1339125e9f41d5d31c67,"['财税##财政法规', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.191999648,1
交通运输行政执法程序规定(2021修正),第七十二条,"　从事行政处罚决定法制审核的人员主要从下列方面进行合法性审核，并提出书面审核意见： 
（一）行政执法主体是否合法，行政执法人员是否具备执法资格； 
（二）行政执法程序是否合法； 
（三）案件事实是否清楚，证据是否合法充分； 
（四）适用法律、法规、规章是否准确，裁量基准运用是否适当； 
（五）执法是否超越执法部门的法定权限； 
（六）行政执法文书是否完备、规范； 
（七）违法行为是否涉嫌犯罪、需要移送司法机关。",现行有效,部门规章,部门规章,中央,20210715,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f2329dd9e3381d4a24cbf73fa207108b?text=72,f2329dd9e3381d4a24cbf73fa207108b_72,f2329dd9e3381d4a24cbf73fa207108b,[],1.09432433,1
证券期货违法行为行政处罚办法,第四条,　中国证监会及其派出机构实施行政处罚，遵循公开、公平、公正、效率和审慎监管原则，依法、全面、客观地调查、收集有关证据。,现行有效,部门规章,部门规章,中央,20210714,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9ee3de9c7464244c53dbc833af68477c?text=4,9ee3de9c7464244c53dbc833af68477c_4,9ee3de9c7464244c53dbc833af68477c,"['财税##金融证券法规##证券法规', '财税##金融证券法规', '财税##金融证券法规##证券法规##证监会', '财税', '证券行业法规']",1.09379391,1
国家药监局关于印发药品监督管理行政处罚裁量适用规则的通知,第三十六条,　制定行政处罚裁量基准，应当坚持合法性、适当性和可操作性原则。,现行有效,部门规章,部门规范性文件,,20240801,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cf9727f7d150665e792fe0db728ce808?text=36,cf9727f7d150665e792fe0db728ce808_36,cf9727f7d150665e792fe0db728ce808,[],1.0931346800000001,1
住房和城乡建设行政处罚程序规定,第四条,　执法机关实施行政处罚，应当遵循公正、公开的原则，坚持处罚与教育相结合，做到认定事实清楚、证据合法充分、适用依据准确、程序合法、处罚适当。,现行有效,部门规章,部门规章,中央,20220501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5e6615615fbedd8d12a0bb7bf9ae09e5?text=4,5e6615615fbedd8d12a0bb7bf9ae09e5_4,5e6615615fbedd8d12a0bb7bf9ae09e5,[],1.0908526200000002,1
市场监管总局印发《关于规范市场监督管理行政处罚裁量权的指导意见》的通知,第三条,"市场监管部门行使行政处罚裁量权，应当坚持以下原则： 
　　（一）合法原则。依据法定权限，符合法律、法规、规章规定的裁量条件、处罚种类和幅度，遵守法定程序。 
　　（二）过罚相当原则。以事实为依据，处罚的种类和幅度与违法行为的事实、性质、情节、社会危害程度等相当。 
　　（三）公平公正原则。对违法事实、性质、情节、社会危害程度等基本相同的违法行为实施行政处罚时，适用的法律依据、处罚种类和幅度基本一致。 
　　（四）处罚和教育相结合原则。兼顾纠正违法行为和教育当事人，引导当事人自觉守法。 
　　（五）综合裁量原则。综合考虑个案情况，兼顾地区经济社会发展状况、当事人主客观情况等相关因素，实现政治效果、社会效果、法律效果的统一。",现行有效,部门规章,部门规范性文件,,20221008,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/bad2725aa2db1c86b21764711c112df6?text=3,bad2725aa2db1c86b21764711c112df6_3,bad2725aa2db1c86b21764711c112df6,[],1.0864825070000002,1
证券期货违法行为行政处罚办法,第五条,　中国证监会及其派出机构作出的行政处罚决定，应当事实清楚、证据确凿、依据正确、程序合法、处罚适当。,现行有效,部门规章,部门规章,中央,20210714,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9ee3de9c7464244c53dbc833af68477c?text=5,9ee3de9c7464244c53dbc833af68477c_5,9ee3de9c7464244c53dbc833af68477c,"['财税##金融证券法规##证券法规', '财税##金融证券法规', '财税##金融证券法规##证券法规##证监会', '财税', '证券行业法规']",1.08392273,1
市场监督管理行政处罚程序规定(2022修正),第三条,市场监督管理部门实施行政处罚，应当遵循公正、公开的原则，坚持处罚与教育相结合，做到事实清楚、证据确凿、适用依据正确、程序合法、处罚适当。,现行有效,部门规章,部门规章,中央,20221101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/835b55043bdac350ad98ec352463c628?text=3,835b55043bdac350ad98ec352463c628_3,835b55043bdac350ad98ec352463c628,"['财税##其他财经法规', '财税', '财税##其他财经法规##市场监督管理']",1.07867958,1
律师和律师事务所违法行为处罚办法(2010),第三条,　司法行政机关实施行政处罚，应当遵循公正、公开的原则；应当以事实为依据，与违法行为的性质、情节以及社会危害程度相当；应当坚持处罚与教育相结合，教育引导律师、律师事务所依法执业，恪守职业道德和执业纪律。,现行有效,部门规章,部门规章,中央,20100601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fad94deae0932da4f8500d4f276485d4?text=3,fad94deae0932da4f8500d4f276485d4_3,fad94deae0932da4f8500d4f276485d4,"['财税##财政法规', '财税']",1.0776344260000001,1
社会组织登记管理机关行政处罚程序规定(2021),第二条,　登记管理机关实施行政处罚应当遵循公正、公开的原则，坚持处罚与教育相结合，做到事实清楚、证据确凿、适用依据正确、程序合法、处罚适当。,现行有效,部门规章,部门规章,中央,20211015,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4f6141092daf67cb56bb59ae7190ffb3?text=2,4f6141092daf67cb56bb59ae7190ffb3_2,4f6141092daf67cb56bb59ae7190ffb3,[],1.0772460270000002,1
