标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
卫生部关于认真贯彻实施《中华人民共和国行政许可法》的通知三、,卫生部关于认真贯彻实施《中华人民共和国行政许可法》的通知,卫生部关于认真贯彻实施《中华人民共和国行政许可法》的通知三、,三、,"加强领导，确保行政许可法宣传贯彻工作的落实 
　　各级卫生行政部门的领导要高度重视行政许可法的宣传贯彻工作，采取多种形式开展行政许可法的宣传教育，将行政许可法的宣传教育纳入“四五”普法规划，深入宣传行政许可法所确立的行政许可确定权制度、行政许可设定事项法定制度、设定行政许可的说明理由制度、行政许可的定期评价制度、实施行政许可的主体制度、行政许可的期限制度、一次告知制度、听证制度、行政机关对被许可人的监督检查制度和实施行政许可的责任制度等，为正确贯彻实施行政许可法做好充分准备。同时，制定规章清理计划，确保按期完成规章的清理和修订工作。 
　　各地在贯彻实施行政许可法中的有关情况和问题，请及时报我部卫生法制与监督司。",现行有效,部门规章,卫生部(已撤销),2003-12-02,卫法监发[2003]334号,2003-12-02,部门规范性文件," - 《卫生部关于认真贯彻实施《中华人民共和国行政许可法》的通知》三、##加强领导，确保行政许可法宣传贯彻工作的落实 
　　各级卫生行政部门的领导要高度重视行政许可法的宣传贯彻工作，采取多种形式开展行政许可法的宣传教育，将行政许可法的宣传教育纳入“四五”普法规划，深入宣传行政许可法所确立的行政许可确定权制度、行政许可设定事项法定制度、设定行政许可的说明理由制度、行政许可的定期评价制度、实施行政许可的主体制度、行政许可的期限制度、一次告知制度、听证制度、行政机关对被许可人的监督检查制度和实施行政许可的责任制度等，为正确贯彻实施行政许可法做好充分准备。同时，制定规章清理计划，确保按期完成规章的清理和修订工作。 
　　各地在贯彻实施行政许可法中的有关情况和问题，请及时报我部卫生法制与监督司。",25.143898,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/066dd74093004bf97d8ff9cf3f906dcf?text=3,066dd74093004bf97d8ff9cf3f906dcf,066dd74093004bf97d8ff9cf3f906dcf_3
国务院法制办公室对《关于提请解释＜中华人民共和国行政许可法＞有关适用问题的函》的复函七、,国务院法制办公室对《关于提请解释＜中华人民共和国行政许可法＞有关适用问题的函》的复函,国务院法制办公室对《关于提请解释＜中华人民共和国行政许可法＞有关适用问题的函》的复函七、,七、,行政许可法实施前制定的法律、行政法规设定行政许可，有的没有规定行政许可的条件。为了实施有关行政许可，规章对行政许可的条件作出的具体规定，根据《国务院对确需保留的行政审批项目设定行政许可的决定》(国务院第412号令)的有关规定，不属于行政许可法第十六条第四款规定的“增设违反上位法的其他条件”。七月一日行政许可法施行后制定或者修改有关法律、行政法规时，应当按照行政许可法第十八条的要求，对行政许可的条件作出明确规定。,现行有效,行政法规,国务院法制办公室(含国务院法制局)(已撤销),2004-08-02,国法函[2004]293号,2004-08-02,行政法规解释, - 《国务院法制办公室对《关于提请解释＜中华人民共和国行政许可法＞有关适用问题的函》的复函》七、##行政许可法实施前制定的法律、行政法规设定行政许可，有的没有规定行政许可的条件。为了实施有关行政许可，规章对行政许可的条件作出的具体规定，根据《国务院对确需保留的行政审批项目设定行政许可的决定》(国务院第412号令)的有关规定，不属于行政许可法第十六条第四款规定的“增设违反上位法的其他条件”。七月一日行政许可法施行后制定或者修改有关法律、行政法规时，应当按照行政许可法第十八条的要求，对行政许可的条件作出明确规定。,25.07743,7,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/01a3a4c52859d45b8864990749ecc6d0?text=7,01a3a4c52859d45b8864990749ecc6d0,01a3a4c52859d45b8864990749ecc6d0_7
国务院关于贯彻实施《中华人民共和国行政许可法》的通知三、,国务院关于贯彻实施《中华人民共和国行政许可法》的通知,国务院关于贯彻实施《中华人民共和国行政许可法》的通知三、,三、,依法清理行政许可的实施机关，加强队伍建设。根据行政许可法的规定，行政许可原则上只能由行政机关实施，非行政机关的组织未经法律、法规授权，不得行使行政许可权；没有法律、法规或者规章的明确规定，行政机关不得委托其他行政机关实施行政许可；行政机关实施行政许可，应当确定一个机构统一受理行政许可申请、统一送达行政许可决定。各地区、各部门要严格依照行政许可法的规定，抓紧清理现行各类实施行政许可的机构，凡是行政机关内设机构以自己名义实施行政许可的，或者法律、法规以外的其他规范性文件授权组织实施行政许可的，或者没有法律、法规、规章依据行政机关自行委托实施行政许可的，都要予以纠正。对清理后确定保留的行政许可实施机关或者组织的名单，应当向社会公布。各地区、各部门要以贯彻实施行政许可法为契机，把建设高效、廉洁的行政执法队伍作为提高依法行政水平的重要工作来抓，切实抓出成效。要通过采取加强法制教育、职业教育，规范工作程序，完善责任制度等各种有效措施，提高实施行政许可人员的素质，不断增强其工作责任心和依法办事的自觉性。,现行有效,行政法规,国务院,2003-09-28,国发[2003]23号,2003-09-28,国务院规范性文件, - 《国务院关于贯彻实施《中华人民共和国行政许可法》的通知》三、##依法清理行政许可的实施机关，加强队伍建设。根据行政许可法的规定，行政许可原则上只能由行政机关实施，非行政机关的组织未经法律、法规授权，不得行使行政许可权；没有法律、法规或者规章的明确规定，行政机关不得委托其他行政机关实施行政许可；行政机关实施行政许可，应当确定一个机构统一受理行政许可申请、统一送达行政许可决定。各地区、各部门要严格依照行政许可法的规定，抓紧清理现行各类实施行政许可的机构，凡是行政机关内设机构以自己名义实施行政许可的，或者法律、法规以外的其他规范性文件授权组织实施行政许可的，或者没有法律、法规、规章依据行政机关自行委托实施行政许可的，都要予以纠正。对清理后确定保留的行政许可实施机关或者组织的名单，应当向社会公布。各地区、各部门要以贯彻实施行政许可法为契机，把建设高效、廉洁的行政执法队伍作为提高依法行政水平的重要工作来抓，切实抓出成效。要通过采取加强法制教育、职业教育，规范工作程序，完善责任制度等各种有效措施，提高实施行政许可人员的素质，不断增强其工作责任心和依法办事的自觉性。,25.050247,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/daac9a7ec7226e2e94cc453db9b21735?text=3,daac9a7ec7226e2e94cc453db9b21735,daac9a7ec7226e2e94cc453db9b21735_3
审计署关于贯彻实施《中华人民共和国行政许可法》的通知二、,审计署关于贯彻实施《中华人民共和国行政许可法》的通知,审计署关于贯彻实施《中华人民共和国行政许可法》的通知二、,二、,"认真做好行政许可法的学习和培训工作 
　　行政许可，也就是通常所说的行政审批，是行政机关依法对社会、经济事务实行事前管理的一种重要手段。具体而言是指行政机关根据公民、法人或者其他组织提出的申请，经依法审查，准予其从事特定活动、认可其资格资质或者确立其特定主体资格、特定身份的行为。行政许可法对行政许可的基本原则、行政许可的设定、实施行政许可的机关、实施行政许可的程序、行政许可的收费、对许可事项的监督检查和法律责任等作了明确规定。各级审计机关要将行政许可法纳入四五普法依法治理工作计划，做好组织行政许可法的学习和培训工作，针对行政许可法的具体规定，认真学习、准确理解、正确把握。通过对行政许可法的学习和理解，增强执政为民，公正执法的意识。",现行有效,部门规章,审计署,2003-11-18,审法发[2003]53号,2003-11-18,部门规范性文件," - 《审计署关于贯彻实施《中华人民共和国行政许可法》的通知》二、##认真做好行政许可法的学习和培训工作 
　　行政许可，也就是通常所说的行政审批，是行政机关依法对社会、经济事务实行事前管理的一种重要手段。具体而言是指行政机关根据公民、法人或者其他组织提出的申请，经依法审查，准予其从事特定活动、认可其资格资质或者确立其特定主体资格、特定身份的行为。行政许可法对行政许可的基本原则、行政许可的设定、实施行政许可的机关、实施行政许可的程序、行政许可的收费、对许可事项的监督检查和法律责任等作了明确规定。各级审计机关要将行政许可法纳入四五普法依法治理工作计划，做好组织行政许可法的学习和培训工作，针对行政许可法的具体规定，认真学习、准确理解、正确把握。通过对行政许可法的学习和理解，增强执政为民，公正执法的意识。",25.044573,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6ea7134ab35321cd30def707b24474a3?text=2,6ea7134ab35321cd30def707b24474a3,6ea7134ab35321cd30def707b24474a3_2
国家税务总局关于做好贯彻实施《中华人民共和国行政许可法》有关工作的通知三、,国家税务总局关于做好贯彻实施《中华人民共和国行政许可法》有关工作的通知,国家税务总局关于做好贯彻实施《中华人民共和国行政许可法》有关工作的通知三、,三、,"认真抓好税务行政许可文件和主体的清理工作 
　　《行政许可法》对有权设定行政许可的主体和法律文件、实施行政许可的程序和制度等作出了明确规定，如：除法律、行政法规、地方性法规可以设定行政许可，省、自治区、直辖市人民政府规章可以设定临时性行政许可外，其他规范性文件一律不得设定行政许可。规章可以在上位法设定的行政许可事项范围内，对实施该行政许可作出具体规定，但不得增设行政许可；对行政许可条件作出的具体规定，不得增设违反上位法的其他条件。 
　　目前，总局正在按照《行政许可法》的要求对有关文件进行清理，根据清理结果，对由税务机关实施的行政许可采取相应措施。为做好这项工作，各地也应抓紧文件清理，省及省以下税务机关自行制定的与《行政许可法》要求不一致的有关文件应一律停止执行，并做好后续的管理工作。各地应抓紧汇总本地各级税务机关实施的行政许可，并于2003年12月31日之前将清理情况和汇总结果统计表（表附后）报送总局（政策法规司）。此外，总局还将择时召开座谈会、到部分省市调研，听取基层税务机关对实施《行政许可法》的意见，各地也应及时将贯彻实施《行政许可法》过程中发现的问题向总局（政策法规司）报告。 
　　另外，根据《行政许可法》的规定，只有行政机关和法律、法规授权的具有管理公共事务职能的组织能够依法实施行政许可；行政机关在其法定职权范围内，依照法律、法规、规章的规定，可以委托其他行政机关实施行政许可。因此，各地在清理文件时，应严格按照《行政许可法》的规定，对实施税务行政许可的主体进行同步清理。 
　　全部清理工作完成后，总局将采取适当方式对设定税务行政许可的文件，税务行政许可的事项、依据、条件、数量、程序、期限以及需要提交的全部材料目录和申请书示范文本，以及有权实施税务行政许可的主体向社会公布。自《行政许可法》实施之日起，几是未经公布的机关或者组织，一律不得实施行政许可。",现行有效,部门规章,国家税务总局,2003-12-01,国税发[2003]143号,2003-12-01,部门规范性文件," - 《国家税务总局关于做好贯彻实施《中华人民共和国行政许可法》有关工作的通知》三、##认真抓好税务行政许可文件和主体的清理工作 
　　《行政许可法》对有权设定行政许可的主体和法律文件、实施行政许可的程序和制度等作出了明确规定，如：除法律、行政法规、地方性法规可以设定行政许可，省、自治区、直辖市人民政府规章可以设定临时性行政许可外，其他规范性文件一律不得设定行政许可。规章可以在上位法设定的行政许可事项范围内，对实施该行政许可作出具体规定，但不得增设行政许可；对行政许可条件作出的具体规定，不得增设违反上位法的其他条件。 
　　目前，总局正在按照《行政许可法》的要求对有关文件进行清理，根据清理结果，对由税务机关实施的行政许可采取相应措施。为做好这项工作，各地也应抓紧文件清理，省及省以下税务机关自行制定的与《行政许可法》要求不一致的有关文件应一律停止执行，并做好后续的管理工作。各地应抓紧汇总本地各级税务机关实施的行政许可，并于2003年12月31日之前将清理情况和汇总结果统计表（表附后）报送总局（政策法规司）。此外，总局还将择时召开座谈会、到部分省市调研，听取基层税务机关对实施《行政许可法》的意见，各地也应及时将贯彻实施《行政许可法》过程中发现的问题向总局（政策法规司）报告。 
　　另外，根据《行政许可法》的规定，只有行政机关和法律、法规授权的具有管理公共事务职能的组织能够依法实施行政许可；行政机关在其法定职权范围内，依照法律、法规、规章的规定，可以委托其他行政机关实施行政许可。因此，各地在清理文件时，应严格按照《行政许可法》的规定，对实施税务行政许可的主体进行同步清理。 
　　全部清理工作完成后，总局将采取适当方式对设定税务行政许可的文件，税务行政许可的事项、依据、条件、数量、程序、期限以及需要提交的全部材料目录和申请书示范文本，以及有权实施税务行政许可的主体向社会公布。自《行政许可法》实施之日起，几是未经公布的机关或者组织，一律不得实施行政许可。",25.044258,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/877ecf117c7a4c138bacccd7f66123f4?text=3,877ecf117c7a4c138bacccd7f66123f4,877ecf117c7a4c138bacccd7f66123f4_3
国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知五、,国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知,国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知五、,五、,"加强对行政许可的监督工作。行政许可法强化了对行政机关实施行政许可的监督制度，并对行政机关及其工作人员实施行政许可、监督检查及其责任作了明确规定。国家局将建立有关行政许可的规范性文件、重大行政许可决定备案制度以及公民、法人和其他组织对违法和不当的行政许可决定的申诉、检举制度和行政许可统计制度等，以加大对各级烟草专卖局行政许可监督的力度，及时发现、纠正违法实施行政许可的行为。各省级烟草专卖局也应当及时采取措施，建立相关规章制度，对行政许可的实施进行有效监督。 
　　上级烟草专卖局要切实加强对下级烟草专卖局实施行政许可的监督检查。要把是否依法设定行政许可、是否依法受理行政许可申请、是否依法审查并作出行政许可决定、是否依法收取费用、是否依法履行监督职责等情况作为重点内容进行检查，发现违法实施行政许可的，要坚决予以纠正；应当追究法律责任的，要依法追究有关责任人员的法律责任。国家烟草专卖局确定政策法规司具体组织、承担对各级烟草专卖局实施行政许可的监督检查工作。各级烟草专卖局也要确定工作机构或者人员，具体组织、承担对本级烟草专卖局和下级烟草专卖局实施行政许可的监督检查工作。",现行有效,部门规章,国家烟草专卖局,2003-12-12,国烟法[2003]745号,2003-12-12,部门规范性文件," - 《国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知》五、##加强对行政许可的监督工作。行政许可法强化了对行政机关实施行政许可的监督制度，并对行政机关及其工作人员实施行政许可、监督检查及其责任作了明确规定。国家局将建立有关行政许可的规范性文件、重大行政许可决定备案制度以及公民、法人和其他组织对违法和不当的行政许可决定的申诉、检举制度和行政许可统计制度等，以加大对各级烟草专卖局行政许可监督的力度，及时发现、纠正违法实施行政许可的行为。各省级烟草专卖局也应当及时采取措施，建立相关规章制度，对行政许可的实施进行有效监督。 
　　上级烟草专卖局要切实加强对下级烟草专卖局实施行政许可的监督检查。要把是否依法设定行政许可、是否依法受理行政许可申请、是否依法审查并作出行政许可决定、是否依法收取费用、是否依法履行监督职责等情况作为重点内容进行检查，发现违法实施行政许可的，要坚决予以纠正；应当追究法律责任的，要依法追究有关责任人员的法律责任。国家烟草专卖局确定政策法规司具体组织、承担对各级烟草专卖局实施行政许可的监督检查工作。各级烟草专卖局也要确定工作机构或者人员，具体组织、承担对本级烟草专卖局和下级烟草专卖局实施行政许可的监督检查工作。",25.028978,5,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c05f8f1b641c788a83baae97d3323cfb?text=5,c05f8f1b641c788a83baae97d3323cfb,c05f8f1b641c788a83baae97d3323cfb_5
国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知三、,国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知,国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知三、,三、,依法清理行政许可的实施机关，加强队伍建设。根据行政许可法的规定，行政许可原则上只能由行政机关实施，非行政机关的组织未经法律、法规授权，不得行使行政许可权；没有法律、法规或者规章的明确规定，行政机关不得委托其他行政机关实施行政许可；行政机关实施行政许可，应当确定一个机构统一受理行政许可申请、统一送达行政许可决定。各级烟草专卖局要严格依照行政许可法的规定，抓紧清理现行各类实施行政许可的机构，凡是烟草专卖局内设机构以自己名义实施行政许可的，或者未按照规定授权或者委托实施行政许可的，都要予以纠正。各级烟草专卖局要以贯彻实施行政许可法为契机，把建设高效、廉洁的行政执法队伍作为提高依法行政水平的重要工作来抓，切实抓出成效。要通过采取加强法制教育、职业教育，规范工作程序，完善责任制度等各种有效措施，提高实施行政许可人员的素质，不断增强其工作责任心和依法办事的自觉性。,现行有效,部门规章,国家烟草专卖局,2003-12-12,国烟法[2003]745号,2003-12-12,部门规范性文件, - 《国家烟草专卖局关于贯彻实施《中华人民共和国行政许可法》的通知》三、##依法清理行政许可的实施机关，加强队伍建设。根据行政许可法的规定，行政许可原则上只能由行政机关实施，非行政机关的组织未经法律、法规授权，不得行使行政许可权；没有法律、法规或者规章的明确规定，行政机关不得委托其他行政机关实施行政许可；行政机关实施行政许可，应当确定一个机构统一受理行政许可申请、统一送达行政许可决定。各级烟草专卖局要严格依照行政许可法的规定，抓紧清理现行各类实施行政许可的机构，凡是烟草专卖局内设机构以自己名义实施行政许可的，或者未按照规定授权或者委托实施行政许可的，都要予以纠正。各级烟草专卖局要以贯彻实施行政许可法为契机，把建设高效、廉洁的行政执法队伍作为提高依法行政水平的重要工作来抓，切实抓出成效。要通过采取加强法制教育、职业教育，规范工作程序，完善责任制度等各种有效措施，提高实施行政许可人员的素质，不断增强其工作责任心和依法办事的自觉性。,25.024534,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c05f8f1b641c788a83baae97d3323cfb?text=3,c05f8f1b641c788a83baae97d3323cfb,c05f8f1b641c788a83baae97d3323cfb_3
国务院关于贯彻实施《中华人民共和国行政许可法》的通知五、,国务院关于贯彻实施《中华人民共和国行政许可法》的通知,国务院关于贯彻实施《中华人民共和国行政许可法》的通知五、,五、,"加强对行政许可的监督工作。行政许可法强化了对行政机关实施行政许可的监督制度，并对行政机关及其工作人员实施行政许可、监督检查及其责任作了明确规定。各地区、各部门要采取有效措施，将这些规定落到实处。要建立健全有关行政许可的规范性文件、重大行政许可决定的备案制度以及公民、法人和其他组织对违法和不当的行政许可决定的申诉、检举制度和行政许可统计制度等，及时发现、纠正违法实施行政许可的行为。 
　　县级以上地方人民政府要切实加强对实施行政许可的监督检查。要把是否依法设定行政许可、是否依法受理行政许可申请、是否依法审查并作出行政许可决定、是否依法收取费用、是否依法履行监督职责等情况作为重点内容进行检查，发现违法实施行政许可的，要坚决予以纠正；应当追究法律责任的，要依法追究有关责任人员的法律责任。县级以上地方人民政府及其部门要确定机构，具体组织、承担对行政机关实施行政许可的监督检查工作。",现行有效,行政法规,国务院,2003-09-28,国发[2003]23号,2003-09-28,国务院规范性文件," - 《国务院关于贯彻实施《中华人民共和国行政许可法》的通知》五、##加强对行政许可的监督工作。行政许可法强化了对行政机关实施行政许可的监督制度，并对行政机关及其工作人员实施行政许可、监督检查及其责任作了明确规定。各地区、各部门要采取有效措施，将这些规定落到实处。要建立健全有关行政许可的规范性文件、重大行政许可决定的备案制度以及公民、法人和其他组织对违法和不当的行政许可决定的申诉、检举制度和行政许可统计制度等，及时发现、纠正违法实施行政许可的行为。 
　　县级以上地方人民政府要切实加强对实施行政许可的监督检查。要把是否依法设定行政许可、是否依法受理行政许可申请、是否依法审查并作出行政许可决定、是否依法收取费用、是否依法履行监督职责等情况作为重点内容进行检查，发现违法实施行政许可的，要坚决予以纠正；应当追究法律责任的，要依法追究有关责任人员的法律责任。县级以上地方人民政府及其部门要确定机构，具体组织、承担对行政机关实施行政许可的监督检查工作。",25.01926,5,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/daac9a7ec7226e2e94cc453db9b21735?text=5,daac9a7ec7226e2e94cc453db9b21735,daac9a7ec7226e2e94cc453db9b21735_5
国家工商行政管理总局关于贯彻实施《中华人民共和国行政许可法》的通知二、,国家工商行政管理总局关于贯彻实施《中华人民共和国行政许可法》的通知,国家工商行政管理总局关于贯彻实施《中华人民共和国行政许可法》的通知二、,二、,"抓紧进行有关行政许可规定的清理工作 
　　根据行政许可法的规定，许多现行有关行政许可的法规、规章都要作相应修改或者予以废止，除国务院决定之外的其他规范性文件设定的行政许可都将失去效力。为了保证行政许可法的顺利实施，对有关行政许可的规定必须全面清理。各省级工商行政管理机关要从维护国家法制统一、政令畅通的高度，按照行政许可法的要求和国务院及地方党委、政府的部署，结合工作实际，抓紧对现行有关行政许可的规定进行全面清理。清理的内容包括与行政许可法规定不一致的行政许可事项、行政许可条件、程序、期限的规定等。对与行政许可法规定不一致的，要及时予以修改或者废止。清理结果应当向社会公布。",现行有效,部门规章,国家工商行政管理总局(已撤销),2004-01-19,工商法[2004]第11号,2004-01-19,部门规范性文件," - 《国家工商行政管理总局关于贯彻实施《中华人民共和国行政许可法》的通知》二、##抓紧进行有关行政许可规定的清理工作 
　　根据行政许可法的规定，许多现行有关行政许可的法规、规章都要作相应修改或者予以废止，除国务院决定之外的其他规范性文件设定的行政许可都将失去效力。为了保证行政许可法的顺利实施，对有关行政许可的规定必须全面清理。各省级工商行政管理机关要从维护国家法制统一、政令畅通的高度，按照行政许可法的要求和国务院及地方党委、政府的部署，结合工作实际，抓紧对现行有关行政许可的规定进行全面清理。清理的内容包括与行政许可法规定不一致的行政许可事项、行政许可条件、程序、期限的规定等。对与行政许可法规定不一致的，要及时予以修改或者废止。清理结果应当向社会公布。",25.016077,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/406f55a3e1d37f74571dfc93765989d9?text=2,406f55a3e1d37f74571dfc93765989d9,406f55a3e1d37f74571dfc93765989d9_2
民政部关于做好《中华人民共和国行政许可法》贯彻实施工作的意见六、,民政部关于做好《中华人民共和国行政许可法》贯彻实施工作的意见,民政部关于做好《中华人民共和国行政许可法》贯彻实施工作的意见六、,六、,加强对行政许可的监督检查。要加强对民政部门内部自上而下的执法检查，把是否依法设定行政许可、是否依法受理行政许可申请、是否依法审查并作出行政许可决定、是否依法收取费用、是否依法履行监督职责等情况作为重点内容进行检查，发现违法实施行政许可的，要坚决予以纠正；应当追究法律责任的，要依法追究有关责任人员的法律责任。要通过建立健全行政许可的规范性文件、重大行政许可决定的备案制度，公民、法人和其他组织对违法和不当的行政许可决定的申述、检举制度，行政许可统计制度等，及时发现、纠正违法实施行政许可的行为。,现行有效,行政机关工作文件,民政部,2003-11-19,,2003-11-19,其他工作文件, - 《民政部关于做好《中华人民共和国行政许可法》贯彻实施工作的意见》六、##加强对行政许可的监督检查。要加强对民政部门内部自上而下的执法检查，把是否依法设定行政许可、是否依法受理行政许可申请、是否依法审查并作出行政许可决定、是否依法收取费用、是否依法履行监督职责等情况作为重点内容进行检查，发现违法实施行政许可的，要坚决予以纠正；应当追究法律责任的，要依法追究有关责任人员的法律责任。要通过建立健全行政许可的规范性文件、重大行政许可决定的备案制度，公民、法人和其他组织对违法和不当的行政许可决定的申述、检举制度，行政许可统计制度等，及时发现、纠正违法实施行政许可的行为。,25.011473,6,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7160890c1d280e0fc54939299ba45804?text=6,7160890c1d280e0fc54939299ba45804,7160890c1d280e0fc54939299ba45804_6
