标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知五、,公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知,公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知五、,五、,清理和制定行政处罚法律文书。　公安行政处罚的法律文书，除法律另有规定的外，都应当按照行政处罚法规定的行政处罚决定书的内容统一制定。法律、行政法规和公安部规章规定的公安行政处罚，由公安部制定全国统一实行的行政处罚法律文书；地方性法规和规章规定的公安行政处罚，由同级公安机关制定法律文书。在行政处罚法实施后启用新的行政处罚决定书。,现行有效,部门规章,公安部,1996-05-28,公安[1996]8号,1996-05-28,部门规范性文件, - 《公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知》五、##清理和制定行政处罚法律文书。　公安行政处罚的法律文书，除法律另有规定的外，都应当按照行政处罚法规定的行政处罚决定书的内容统一制定。法律、行政法规和公安部规章规定的公安行政处罚，由公安部制定全国统一实行的行政处罚法律文书；地方性法规和规章规定的公安行政处罚，由同级公安机关制定法律文书。在行政处罚法实施后启用新的行政处罚决定书。,26.484604,5,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/37bcf9e577d64ede0b16596c9bce181c?text=5,37bcf9e577d64ede0b16596c9bce181c,37bcf9e577d64ede0b16596c9bce181c_5
邮电部关于贯彻实施《中华人民共和国行政处罚法》的通知三、,邮电部关于贯彻实施《中华人民共和国行政处罚法》的通知,邮电部关于贯彻实施《中华人民共和国行政处罚法》的通知三、,三、,严格按照《行政处罚法》的规定和部颁《通信行政处罚程序暂行规定》实施通信行政处罚。《行政处罚法》有规定的，按照《行政处罚法》的规定执行，《行政处罚法》没有规定的，按照通信行政处罚程序暂行规定执行。,现行有效,部门规章,信息产业部(含邮电部)(已撤销),1996-09-05,,1996-09-05,部门规范性文件, - 《邮电部关于贯彻实施《中华人民共和国行政处罚法》的通知》三、##严格按照《行政处罚法》的规定和部颁《通信行政处罚程序暂行规定》实施通信行政处罚。《行政处罚法》有规定的，按照《行政处罚法》的规定执行，《行政处罚法》没有规定的，按照通信行政处罚程序暂行规定执行。,26.469427,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a2231e69e1965672d4160e21c3f62a19?text=3,a2231e69e1965672d4160e21c3f62a19,a2231e69e1965672d4160e21c3f62a19_3
水利部关于进一步贯彻实施《中华人民共和国行政处罚法》的通知二、,水利部关于进一步贯彻实施《中华人民共和国行政处罚法》的通知,水利部关于进一步贯彻实施《中华人民共和国行政处罚法》的通知二、,二、,"依法规范水行政处罚的设定 
　　严格按照法定权限设定、审核、评估和清理行政处罚事项，夯实制度基础。一是依法设定水行政处罚。各级水行政主管部门和流域管理机构起草法律、法规、规章草案时，对违反行政管理秩序的公民、法人或者其他组织，以减损权益或者增加义务的方式实施惩戒的，要依法设定行政处罚，不得以其他行政管理措施的名义变相设定，规避行政处罚设定的要求。对上位法设定的行政处罚作出具体规定的，不得通过增减违反行政管理秩序的行为和行政处罚种类、在法定幅度之外调整罚款上下限等方式层层加码或者“立法放水”。拟补充设定行政处罚的，要通过听证会、论证会等形式广泛听取意见、认真研究论证。二是开展行政处罚相关规定的评估和清理。省级水行政主管部门要按照“谁制定、谁清理”原则，以是否有行政处罚设定权、是否超越法定权限，是否超越行政处罚的法定种类和幅度、是否有不合理罚款事项等为重点，组织开展行政处罚规定的评估、清理工作，确保与行政处罚法相一致，并增强行政处罚的针对性、适用性和可操作性。三是严格规范性文件合法性审核。行政规范性文件合法性审核时应重点审核涉及行政处罚的内容。各级水行政主管部门和流域管理机构制发的行政规范性文件不得设定行政处罚，违法规定行政处罚的，相关规定无效，不得作为行政处罚依据。",现行有效,党内法规,水利部,2022-03-10,水政法〔2022〕112号,2022-03-10,," - 《水利部关于进一步贯彻实施《中华人民共和国行政处罚法》的通知》二、##依法规范水行政处罚的设定 
　　严格按照法定权限设定、审核、评估和清理行政处罚事项，夯实制度基础。一是依法设定水行政处罚。各级水行政主管部门和流域管理机构起草法律、法规、规章草案时，对违反行政管理秩序的公民、法人或者其他组织，以减损权益或者增加义务的方式实施惩戒的，要依法设定行政处罚，不得以其他行政管理措施的名义变相设定，规避行政处罚设定的要求。对上位法设定的行政处罚作出具体规定的，不得通过增减违反行政管理秩序的行为和行政处罚种类、在法定幅度之外调整罚款上下限等方式层层加码或者“立法放水”。拟补充设定行政处罚的，要通过听证会、论证会等形式广泛听取意见、认真研究论证。二是开展行政处罚相关规定的评估和清理。省级水行政主管部门要按照“谁制定、谁清理”原则，以是否有行政处罚设定权、是否超越法定权限，是否超越行政处罚的法定种类和幅度、是否有不合理罚款事项等为重点，组织开展行政处罚规定的评估、清理工作，确保与行政处罚法相一致，并增强行政处罚的针对性、适用性和可操作性。三是严格规范性文件合法性审核。行政规范性文件合法性审核时应重点审核涉及行政处罚的内容。各级水行政主管部门和流域管理机构制发的行政规范性文件不得设定行政处罚，违法规定行政处罚的，相关规定无效，不得作为行政处罚依据。",26.466042,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/487fca4948651846909f9a25db3558fe?text=2,487fca4948651846909f9a25db3558fe,487fca4948651846909f9a25db3558fe_2
公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知二、,公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知,公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知二、,二、,"抓紧清理公安规章，做好立、改、废工作。　公安部门将按照行政处罚法中关于行政处罚设定权的规定，清理公安部规章和规范性文件中设定的行政处罚。地方各级公安机关要积极主动地配合地方人大和政府做好涉及公安行政管理的地方性法规和政策规章的清理工作。对没有行政处罚设定权的机关设定的公安行政处罚，以及内部规范性文件设定的公安行政处罚，在行政处罚法生效后要一律停止执行；对公开发布的规章设定的公安行政处罚，在处罚种类、幅度上超出行政处罚规定的，要按照行政处罚法的要求进行修改。对需要制定法规或者规章的，依法上升为法规或者规章。 
　　修订规章的工作要在１９９７年１２月３１日前完成。在这之前，现行规章已规定的公安行政处罚仍然有效。但是，行政处罚法施行后新起草的地方公安法规、规章必须执行行政处罚法的规定。",现行有效,部门规章,公安部,1996-05-28,公安[1996]8号,1996-05-28,部门规范性文件," - 《公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知》二、##抓紧清理公安规章，做好立、改、废工作。　公安部门将按照行政处罚法中关于行政处罚设定权的规定，清理公安部规章和规范性文件中设定的行政处罚。地方各级公安机关要积极主动地配合地方人大和政府做好涉及公安行政管理的地方性法规和政策规章的清理工作。对没有行政处罚设定权的机关设定的公安行政处罚，以及内部规范性文件设定的公安行政处罚，在行政处罚法生效后要一律停止执行；对公开发布的规章设定的公安行政处罚，在处罚种类、幅度上超出行政处罚规定的，要按照行政处罚法的要求进行修改。对需要制定法规或者规章的，依法上升为法规或者规章。 
　　修订规章的工作要在１９９７年１２月３１日前完成。在这之前，现行规章已规定的公安行政处罚仍然有效。但是，行政处罚法施行后新起草的地方公安法规、规章必须执行行政处罚法的规定。",26.389114,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/37bcf9e577d64ede0b16596c9bce181c?text=2,37bcf9e577d64ede0b16596c9bce181c,37bcf9e577d64ede0b16596c9bce181c_2
对外贸易经济合作部关于认真贯彻执行《中华人民共和国行政处罚法》的通知一、,对外贸易经济合作部关于认真贯彻执行《中华人民共和国行政处罚法》的通知,对外贸易经济合作部关于认真贯彻执行《中华人民共和国行政处罚法》的通知一、,一、,"要认真学习《行政处罚法》，充分认识实施《行政处罚法》的重要意义 
　　《行政处罚法》是规范行政机关管理行为的一部重要法律，它所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、相对集中行政处罚权制度、听证制度、罚款决定与罚款收缴相分离制度、政府对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，对深化体制改革、转变政府管理职能、加强法制建设等都具有重要意义。因此，各省、自治区、直辖市及计划单列市外经贸委（厅、局）及我部机关各司局的行政机关工作人员，特别是领导干部，要充分认识实施《行政处罚法》的重要意义，严格执行《国务院关于贯彻实施〈中华人民共和国行政处罚法〉的通知》［国发（１９９６）１３号］，积极认真地组织《行政处罚法》的学习和宣传，按《行政处罚法》的要求规范行政执法行为，加强行政执法监督。",现行有效,部门规章,对外贸易与经济合作部(含原对外经济贸易部)(已变更),1996-05-13,[1996]外经贸法发第324号,1996-05-13,部门规范性文件," - 《对外贸易经济合作部关于认真贯彻执行《中华人民共和国行政处罚法》的通知》一、##要认真学习《行政处罚法》，充分认识实施《行政处罚法》的重要意义 
　　《行政处罚法》是规范行政机关管理行为的一部重要法律，它所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、相对集中行政处罚权制度、听证制度、罚款决定与罚款收缴相分离制度、政府对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，对深化体制改革、转变政府管理职能、加强法制建设等都具有重要意义。因此，各省、自治区、直辖市及计划单列市外经贸委（厅、局）及我部机关各司局的行政机关工作人员，特别是领导干部，要充分认识实施《行政处罚法》的重要意义，严格执行《国务院关于贯彻实施〈中华人民共和国行政处罚法〉的通知》［国发（１９９６）１３号］，积极认真地组织《行政处罚法》的学习和宣传，按《行政处罚法》的要求规范行政执法行为，加强行政执法监督。",26.357626,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1452fe3e52824604ceac4e436000eb4c?text=1,1452fe3e52824604ceac4e436000eb4c,1452fe3e52824604ceac4e436000eb4c_1
民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知二、,民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知,民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知二、,二、,抓紧做好规章和规范性文件的清理和修订工作。现行许多规章都要依照行政处罚法的规定予以修改或者废止，许多规范性文件设定的行政处罚将要失去效力。行政处罚法规定，行政处罚只能由法律、法规或者规章设定，其他规范性文件不得设定行政处罚；规章只能设定两种：一是警告，二是一定数量的罚款；对违法行为给予行政处罚的规定必须公布，未经公布的，不得作为行政处罚的依据。因此，各地民政部门要按照当地政府的统一部署，抓紧清理规章，对确实需要制定地方法规的，要及时总结经验，依法上升为地方法规；对规章中个别行政处罚条款超过行政处罚法规定而行政管理又需要的，应当报经省、自治区、直辖市人大常委会批准。其他规范性文件设定的行政处罚，自行政处罚法施行之日起，一律无效。,现行有效,部门规章,民政部,1996-05-28,民办发[1996]13号,1996-05-28,部门规范性文件, - 《民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知》二、##抓紧做好规章和规范性文件的清理和修订工作。现行许多规章都要依照行政处罚法的规定予以修改或者废止，许多规范性文件设定的行政处罚将要失去效力。行政处罚法规定，行政处罚只能由法律、法规或者规章设定，其他规范性文件不得设定行政处罚；规章只能设定两种：一是警告，二是一定数量的罚款；对违法行为给予行政处罚的规定必须公布，未经公布的，不得作为行政处罚的依据。因此，各地民政部门要按照当地政府的统一部署，抓紧清理规章，对确实需要制定地方法规的，要及时总结经验，依法上升为地方法规；对规章中个别行政处罚条款超过行政处罚法规定而行政管理又需要的，应当报经省、自治区、直辖市人大常委会批准。其他规范性文件设定的行政处罚，自行政处罚法施行之日起，一律无效。,26.342968,2,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/02d58038a6c080f04309ac382b1abd84?text=2,02d58038a6c080f04309ac382b1abd84,02d58038a6c080f04309ac382b1abd84_2
劳动部关于贯彻实施《中华人民共和国行政处罚法》的通知一、,劳动部关于贯彻实施《中华人民共和国行政处罚法》的通知,劳动部关于贯彻实施《中华人民共和国行政处罚法》的通知一、,一、,"认真学习、深刻领会《行政处罚法》的基本内容，充分认识实施《行政处罚法》对劳动行政部门依法行政的重要作用。 
　　《行政处罚法》是全面规范行政处罚行为的一部重要法律，它所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、听证制度、罚款决定与罚款收缴相分离制度、对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，将对劳动行政部门转变政府职能和劳动行政执法及监督制度产生重大影响。同时，也对劳动行政部门及其执法人员依法行政提出了更高的要求。各级劳动行政部门及其执法人员，特别是领导干部，要认真学习《行政处罚法》，结合劳动工作的实际，全面理解和掌握《行政处罚法》的基本内容，充分认识实施《行政处罚法》的重要意义。各级劳动行政部门在１９９６年１０月以前，要通过集中组织学习和举办培训班等形式，对劳动行政执法人员和从事劳动法制工作的人员普遍轮训一遍，使其能够在工作中正确适用《行政处罚法》。",现行有效,部门规章,劳动和社会保障部(含劳动部)(已撤销),1996-07-01,劳部发[1996]213号,1996-07-01,部门规范性文件," - 《劳动部关于贯彻实施《中华人民共和国行政处罚法》的通知》一、##认真学习、深刻领会《行政处罚法》的基本内容，充分认识实施《行政处罚法》对劳动行政部门依法行政的重要作用。 
　　《行政处罚法》是全面规范行政处罚行为的一部重要法律，它所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、听证制度、罚款决定与罚款收缴相分离制度、对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，将对劳动行政部门转变政府职能和劳动行政执法及监督制度产生重大影响。同时，也对劳动行政部门及其执法人员依法行政提出了更高的要求。各级劳动行政部门及其执法人员，特别是领导干部，要认真学习《行政处罚法》，结合劳动工作的实际，全面理解和掌握《行政处罚法》的基本内容，充分认识实施《行政处罚法》的重要意义。各级劳动行政部门在１９９６年１０月以前，要通过集中组织学习和举办培训班等形式，对劳动行政执法人员和从事劳动法制工作的人员普遍轮训一遍，使其能够在工作中正确适用《行政处罚法》。",26.339523,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ef5715a11551fcc002ff38cd4e1a06be?text=1,ef5715a11551fcc002ff38cd4e1a06be,ef5715a11551fcc002ff38cd4e1a06be_1
民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知一、,民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知,民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知一、,一、,认真学习行政处罚法，做好培训和宣传工作。行政处罚法是一部重要的法律，与行政机关的关系重大，其所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、相对集中行政处罚权制度、听证制度、罚款决定与罚款收缴相分离制度、政府对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，对改革政府机构、转变政府职能和加强政府法制建设都将产生深远影响。它既为民政行政机关提供了准确、可行的执法依据，又为社会各界监督制约处罚行为提供了法律保障。行政处罚法的实施，对于维护公共利益和社会秩序，保障公民合法权益，维护人民群众的基本生活权益，消除在行政处罚过程中乱处罚的现象，树立行政执法机关的权威性，具有重要的作用。各地应本着学用结合的原则，抓紧组织各级民政工作人员进行学习和培训，认真领会和掌握行政处罚法所确立的各项行政处罚制度，同时采取生动有效形式，宣传行政处罚法，使民政部门及其工作人员在行政执法过程中，提高行政执法的自觉性，严格遵守行政处罚法的有关规定，确保民政系统法制建设发展的良好环境。,现行有效,部门规章,民政部,1996-05-28,民办发[1996]13号,1996-05-28,部门规范性文件, - 《民政部关于认真学习和贯彻实施《中华人民共和国行政处罚法》的通知》一、##认真学习行政处罚法，做好培训和宣传工作。行政处罚法是一部重要的法律，与行政机关的关系重大，其所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、相对集中行政处罚权制度、听证制度、罚款决定与罚款收缴相分离制度、政府对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，对改革政府机构、转变政府职能和加强政府法制建设都将产生深远影响。它既为民政行政机关提供了准确、可行的执法依据，又为社会各界监督制约处罚行为提供了法律保障。行政处罚法的实施，对于维护公共利益和社会秩序，保障公民合法权益，维护人民群众的基本生活权益，消除在行政处罚过程中乱处罚的现象，树立行政执法机关的权威性，具有重要的作用。各地应本着学用结合的原则，抓紧组织各级民政工作人员进行学习和培训，认真领会和掌握行政处罚法所确立的各项行政处罚制度，同时采取生动有效形式，宣传行政处罚法，使民政部门及其工作人员在行政执法过程中，提高行政执法的自觉性，严格遵守行政处罚法的有关规定，确保民政系统法制建设发展的良好环境。,26.333496,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/02d58038a6c080f04309ac382b1abd84?text=1,02d58038a6c080f04309ac382b1abd84,02d58038a6c080f04309ac382b1abd84_1
公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知三、,公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知,公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知三、,三、,"严格执行行政处罚主体的规定，不得违法委托公安行政处罚权和越权实施行政处罚。　根据行政处罚法规定，公安行政处罚只能由公安机关实施，除法律、法规规定委托其他组织实施行政处罚的外，一律不得将公安机关的行政处罚权委托其他组织行使，当前个别地方委托治安联防队等群众性组织实施公安执法权的，要立即停止。公安机关除法律、法规授权外，不能超越职权行使其他部门的行政处罚权；对没有法律、法规规定，其他部门要求公安机关行使其行政处罚权的，在行政处罚法实施后，必须经过国务院或者国务院授权的省、自治区、直辖市人民政府决定。各级公安机关和全体人民警察，一律不得违法进行非警务活动。 
　　在公安机关内部，各警种、各部门之间也不能越权办案、越权处罚。各业务部门在承办具体案件时，除法律、法规规定外，应当以所在地公安机关的名义作出行政处罚决定，不得以公安机关内部某部门名义作出行政处罚决定。",现行有效,部门规章,公安部,1996-05-28,公安[1996]8号,1996-05-28,部门规范性文件," - 《公安部关于贯彻实施《中华人民共和国行政处罚法》有关问题的通知》三、##严格执行行政处罚主体的规定，不得违法委托公安行政处罚权和越权实施行政处罚。　根据行政处罚法规定，公安行政处罚只能由公安机关实施，除法律、法规规定委托其他组织实施行政处罚的外，一律不得将公安机关的行政处罚权委托其他组织行使，当前个别地方委托治安联防队等群众性组织实施公安执法权的，要立即停止。公安机关除法律、法规授权外，不能超越职权行使其他部门的行政处罚权；对没有法律、法规规定，其他部门要求公安机关行使其行政处罚权的，在行政处罚法实施后，必须经过国务院或者国务院授权的省、自治区、直辖市人民政府决定。各级公安机关和全体人民警察，一律不得违法进行非警务活动。 
　　在公安机关内部，各警种、各部门之间也不能越权办案、越权处罚。各业务部门在承办具体案件时，除法律、法规规定外，应当以所在地公安机关的名义作出行政处罚决定，不得以公安机关内部某部门名义作出行政处罚决定。",26.333263,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/37bcf9e577d64ede0b16596c9bce181c?text=3,37bcf9e577d64ede0b16596c9bce181c,37bcf9e577d64ede0b16596c9bce181c_3
国务院关于贯彻实施《中华人民共和国行政处罚法》的通知一、,国务院关于贯彻实施《中华人民共和国行政处罚法》的通知,国务院关于贯彻实施《中华人民共和国行政处罚法》的通知一、,一、,"认真学习行政处罚法，充分认识实施行政处罚法对行政机关产生的影响。　 
　　行政处罚法是规范政府行为的一部重要法律，与行政机关的关系重大，其所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、相对集中行政处罚权制度、听证制度、罚款决定与罚款收缴相分离制度、政府对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，对改革政府机构、转变政府职能和加强政府法制建设都将产生深远影响。各级行政机关工作人员、特别是领导干部，都要以积极的态度认真学习行政处罚法，充分认识实施行政处罚法的重要意义。各地方、各部门要本着学用结合的原则，抓紧对行政执法人员的培训，使行政执法人员掌握行政处罚法的规定。政府法制工作机构要在本级政府或者本部门的统一领导下，具体组织本地方、本部门的培训工作。同时，各地方、各部门要利用宣传舆论工具，采取生动有效的形式，向人民群众宣传行政处罚法，形成学法、知法、守法和人民群众依法维护自己合法权益的舆论和环境。",现行有效,行政法规,国务院,1996-04-15,国发[1996]13号,1996-04-15,国务院规范性文件," - 《国务院关于贯彻实施《中华人民共和国行政处罚法》的通知》一、##认真学习行政处罚法，充分认识实施行政处罚法对行政机关产生的影响。　 
　　行政处罚法是规范政府行为的一部重要法律，与行政机关的关系重大，其所确立的行政处罚设定权制度、实施行政处罚的主体资格制度、相对集中行政处罚权制度、听证制度、罚款决定与罚款收缴相分离制度、政府对行政处罚的监督制度等，是对现行行政处罚制度的重大改革，对改革政府机构、转变政府职能和加强政府法制建设都将产生深远影响。各级行政机关工作人员、特别是领导干部，都要以积极的态度认真学习行政处罚法，充分认识实施行政处罚法的重要意义。各地方、各部门要本着学用结合的原则，抓紧对行政执法人员的培训，使行政执法人员掌握行政处罚法的规定。政府法制工作机构要在本级政府或者本部门的统一领导下，具体组织本地方、本部门的培训工作。同时，各地方、各部门要利用宣传舆论工具，采取生动有效的形式，向人民群众宣传行政处罚法，形成学法、知法、守法和人民群众依法维护自己合法权益的舆论和环境。",26.333263,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/eefee9a8d038e6912cba45df41f58419?text=1,eefee9a8d038e6912cba45df41f58419,eefee9a8d038e6912cba45df41f58419_1
