法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国香港特别行政区维护国家安全法,第六十三条,"　办理本法规定的危害国家安全犯罪案件的有关执法、司法机关及其人员或者办理其他危害国家安全犯罪案件的香港特别行政区执法、司法机关及其人员，应当对办案过程中知悉的国家秘密、商业秘密和个人隐私予以保密。 
担任辩护人或者诉讼代理人的律师应当保守在执业活动中知悉的国家秘密、商业秘密和个人隐私。 
配合办案的有关机构、组织和个人应当对案件有关情况予以保密。",现行有效,法律,法律,中央,20200630,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/784a3f2f4cc4b378e4fe2441b93bbecc?text=63,784a3f2f4cc4b378e4fe2441b93bbecc_63,784a3f2f4cc4b378e4fe2441b93bbecc,[],0.99456036,1
律师办理反垄断调查业务操作指引,第七条,"　保密要求
律师参与反垄断调查业务，在严格保守执业活动中所知悉的国家秘密、商业秘密以及个人隐私的同时，应根据案件的实际情况，在案件的策划阶段、提起阶段以及调查的进行阶段均应注意对案件进展过程予以保密，以避免相关信息的泄露对案件处理产生不利影响。
反垄断执法机关及其工作人员对执法过程中知悉的商业秘密负有保密义务，律师在向反垄断执法机关进行资料披露过程中，应对涉密资料进行充分提示和标示。",现行有效,行业/团体规范,律协规定,团体,0,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8ea2ba294116c13460a1f878395b4592?text=7,8ea2ba294116c13460a1f878395b4592_7,8ea2ba294116c13460a1f878395b4592,[],0.9396923,1
中华全国律师协会关于印发加入修正案内容的《律师执业行为规范（试行）》的通知,第九条,"律师应当保守在执业活动中知悉的国家秘密、商业秘密，不得泄露当事人的隐私。
律师对在执业活动中知悉的委托人和其他人不愿泄露的情况和信息，应当予以保密。但是，委托人或者其他人准备或者正在实施的危害国家安全、公共安全以及其他严重危害他人人身、财产安全的犯罪事实和信息除外。",现行有效,行业/团体规范,律协规定,团体,20181213,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/56a73bcccd05b93547d067c42b632246?text=9,56a73bcccd05b93547d067c42b632246_9,56a73bcccd05b93547d067c42b632246,[],0.93663365,1
生态环境执法人员行为规范,第十九条,遵守保密规定，不得泄露国家秘密、工作秘密，不得泄露因履行职责掌握的商业秘密，不得泄露举报人、投诉人的个人信息等。,现行有效,部门规章,部门规范性文件,,20240103,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1e2c42e61c31e9937cf591530bc93c54?text=19,1e2c42e61c31e9937cf591530bc93c54_19,1e2c42e61c31e9937cf591530bc93c54,[],0.88484649,1
律师和律师事务所违法行为处罚办法(2010),第二十二条,　律师违反保密义务规定，故意或者过失泄露在执业中知悉的国家秘密的，属于《律师法》第四十九条第九项规定的“泄露国家秘密的”违法行为。,现行有效,部门规章,部门规章,中央,20100601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fad94deae0932da4f8500d4f276485d4?text=22,fad94deae0932da4f8500d4f276485d4_22,fad94deae0932da4f8500d4f276485d4,"['财税##财政法规', '财税']",0.8819587700000001,1
律师职业道德和执业纪律规范（2001修正）,第八条,　律师应当严守国家机密，保守委托人的商业秘密及委托人的隐私。,现行有效,行业/团体规范,律协规定,团体,20011126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/daa324e2d69df136ba0a7833badf82ef?text=8,daa324e2d69df136ba0a7833badf82ef_8,daa324e2d69df136ba0a7833badf82ef,[],0.88038635,1
中华全国律师协会关于律师办理黑恶势力犯罪案件辩护代理工作若干意见,第二条,不得对本人或者其他律师正在办理的案件进行歪曲、有误导性的宣传和评论，恶意炒作案件；不得以串联组团、联署签名、发表公开信、组织网上聚集、声援等方式或者借个案研讨之名，制造舆论压力，攻击、诋毁司法机关和司法制度；不得煽动、教唆和组织当事人或者其他人员到司法机关或者其他国家机关静坐、举牌、打横幅、喊口号、声援、围观等，扰乱公共秩序、危害公共安全。严格遵守保密义务，不得泄露在执业中知悉的国家秘密、委托人和其他当事人的商业秘密和个人隐私以及委托人不愿泄露的其他情况和信息。不得违反规定披露、散布不公开审理案件的信息、材料，或者本人、其他律师在办案过程中获悉的有关案件重要信息、证据材料。要遵守监管场所规定，不得违规会见在押犯罪嫌疑人、被告人。要遵守法庭秩序，尊重法官、检察官和其他办案人员等，遇有与控方或主审法官发生重大意见分歧情形，应当按庭审规则与司法机关和司法人员进行沟通协调，或者通过正常途径反映问题、提出意见。,现行有效,行业/团体规范,律协规定,团体,20180306,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ecd57fb25a47b550bb49845d2c594b63?text=2,ecd57fb25a47b550bb49845d2c594b63_2,ecd57fb25a47b550bb49845d2c594b63,[],0.86083776,1
中华全国律师协会关于印发《律师办理刑事案件规范》的通知,第二百五十六条,　律师对在执业活动中知悉的委托人和其他人不愿泄露的有关情况和信息，应当予以保密。,现行有效,行业/团体规范,律协规定,团体,20170827,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4c80ca58efda26dfb5fa977a800d174c?text=256,4c80ca58efda26dfb5fa977a800d174c_256,4c80ca58efda26dfb5fa977a800d174c,[],0.844409,1
律师从事证券法律业务规范(试行),第十三条,　除法律法规明确规定，证券监管机构或司法机关依法要求，或委托人同意之外，律师及其辅助人员对于在从事证券法律业务中知悉的商业秘密应当保密，并不得利用其为自己或他人谋取利益。,现行有效,行业/团体规范,律协规定,团体,20030422,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f87358f9c1b7db9df0182d72017f187a?text=13,f87358f9c1b7db9df0182d72017f187a_13,f87358f9c1b7db9df0182d72017f187a,[],0.831006,1
最高人民法院、最高人民检察院、公安部等关于印发《法律援助值班律师工作办法》的通知,第二十九条,　值班律师提供法律帮助时，应当遵守相关法律法规、执业纪律和职业道德，依法保守国家秘密、商业秘密和个人隐私，不得向他人泄露工作中掌握的案件情况，不得向受援人收取财物或者谋取不正当利益。,现行有效,司法解释,司法解释性质文件,中央,20200820,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a783537fb4d340eba9f9a3842d8afc23?text=29,a783537fb4d340eba9f9a3842d8afc23_29,a783537fb4d340eba9f9a3842d8afc23,[],0.8231394,1
