标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国民法典第八百七十二条,中华人民共和国民法典,中华人民共和国民法典第八百七十二条,第八百七十二条,"　许可人未按照约定许可技术的，应当返还部分或者全部使用费，并应当承担违约责任；实施专利或者使用技术秘密超越约定的范围的，违反约定擅自许可第三人实施该项专利或者使用该项技术秘密的，应当停止违约行为，承担违约责任；违反约定的保密义务的，应当承担违约责任。 
　　让与人承担违约责任，参照适用前款规定。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第八百七十二条##　许可人未按照约定许可技术的，应当返还部分或者全部使用费，并应当承担违约责任；实施专利或者使用技术秘密超越约定的范围的，违反约定擅自许可第三人实施该项专利或者使用该项技术秘密的，应当停止违约行为，承担违约责任；违反约定的保密义务的，应当承担违约责任。 
　　让与人承担违约责任，参照适用前款规定。",28.910652,872,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=872,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_872
中华人民共和国民法典第八百七十三条,中华人民共和国民法典,中华人民共和国民法典第八百七十三条,第八百七十三条,"　被许可人未按照约定支付使用费的，应当补交使用费并按照约定支付违约金；不补交使用费或者支付违约金的，应当停止实施专利或者使用技术秘密，交还技术资料，承担违约责任；实施专利或者使用技术秘密超越约定的范围的，未经许可人同意擅自许可第三人实施该专利或者使用该技术秘密的，应当停止违约行为，承担违约责任；违反约定的保密义务的，应当承担违约责任。 
　　受让人承担违约责任，参照适用前款规定。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第八百七十三条##　被许可人未按照约定支付使用费的，应当补交使用费并按照约定支付违约金；不补交使用费或者支付违约金的，应当停止实施专利或者使用技术秘密，交还技术资料，承担违约责任；实施专利或者使用技术秘密超越约定的范围的，未经许可人同意擅自许可第三人实施该专利或者使用该技术秘密的，应当停止违约行为，承担违约责任；违反约定的保密义务的，应当承担违约责任。 
　　受让人承担违约责任，参照适用前款规定。",28.601795,873,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=873,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_873
中华人民共和国民法典第五百八十二条,中华人民共和国民法典,中华人民共和国民法典第五百八十二条,第五百八十二条,　履行不符合约定的，应当按照当事人的约定承担违约责任。对违约责任没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，受损害方根据标的的性质以及损失的大小，可以合理选择请求对方承担修理、重作、更换、退货、减少价款或者报酬等违约责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第五百八十二条##　履行不符合约定的，应当按照当事人的约定承担违约责任。对违约责任没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，受损害方根据标的的性质以及损失的大小，可以合理选择请求对方承担修理、重作、更换、退货、减少价款或者报酬等违约责任。,28.430212,582,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=582,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_582
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第五十二条,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第五十二条,第五十二条,"当事人就解除合同协商一致时未对合同解除后的违约责任、结算和清理等问题作出处理，一方主张合同已经解除的，人民法院应予支持。但是，当事人另有约定的除外。
有下列情形之一的，除当事人一方另有意思表示外，人民法院可以认定合同解除：
（一）当事人一方主张行使法律规定或者合同约定的解除权，经审理认为不符合解除权行使条件但是对方同意解除；
（二）双方当事人均不符合解除权行使的条件但是均主张解除合同。
前两款情形下的违约责任、结算和清理等问题，人民法院应当依据民法典第五百六十六条、第五百六十七条和有关违约责任的规定处理。",现行有效,司法解释,最高人民法院,2023-12-05,法释〔2023〕13号,2023-12-04,高法司法解释," - 《最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释》第五十二条##当事人就解除合同协商一致时未对合同解除后的违约责任、结算和清理等问题作出处理，一方主张合同已经解除的，人民法院应予支持。但是，当事人另有约定的除外。
有下列情形之一的，除当事人一方另有意思表示外，人民法院可以认定合同解除：
（一）当事人一方主张行使法律规定或者合同约定的解除权，经审理认为不符合解除权行使条件但是对方同意解除；
（二）双方当事人均不符合解除权行使的条件但是均主张解除合同。
前两款情形下的违约责任、结算和清理等问题，人民法院应当依据民法典第五百六十六条、第五百六十七条和有关违约责任的规定处理。",28.014765,52,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=52,3132ac09bc31117a209bac1420cd14fd,3132ac09bc31117a209bac1420cd14fd_52
中华人民共和国民法典第五百二十二条,中华人民共和国民法典,中华人民共和国民法典第五百二十二条,第五百二十二条,"　当事人约定由债务人向第三人履行债务，债务人未向第三人履行债务或者履行债务不符合约定的，应当向债权人承担违约责任。 
　　法律规定或者当事人约定第三人可以直接请求债务人向其履行债务，第三人未在合理期限内明确拒绝，债务人未向第三人履行债务或者履行债务不符合约定的，第三人可以请求债务人承担违约责任；债务人对债权人的抗辩，可以向第三人主张。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第五百二十二条##　当事人约定由债务人向第三人履行债务，债务人未向第三人履行债务或者履行债务不符合约定的，应当向债权人承担违约责任。 
　　法律规定或者当事人约定第三人可以直接请求债务人向其履行债务，第三人未在合理期限内明确拒绝，债务人未向第三人履行债务或者履行债务不符合约定的，第三人可以请求债务人承担违约责任；债务人对债权人的抗辩，可以向第三人主张。",27.562462,522,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=522,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_522
中华人民共和国民法典第六百一十一条,中华人民共和国民法典,中华人民共和国民法典第六百一十一条,第六百一十一条,　标的物毁损、灭失的风险由买受人承担的，不影响因出卖人履行义务不符合约定，买受人请求其承担违约责任的权利。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第六百一十一条##　标的物毁损、灭失的风险由买受人承担的，不影响因出卖人履行义务不符合约定，买受人请求其承担违约责任的权利。,26.368996,611,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=611,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_611
中华人民共和国民法典第六百一十七条,中华人民共和国民法典,中华人民共和国民法典第六百一十七条,第六百一十七条,　出卖人交付的标的物不符合质量要求的，买受人可以依据本法第五百八十二条至第五百八十四条的规定请求承担违约责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第六百一十七条##　出卖人交付的标的物不符合质量要求的，买受人可以依据本法第五百八十二条至第五百八十四条的规定请求承担违约责任。,26.368996,617,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=617,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_617
中华人民共和国民法典第八百五十四条,中华人民共和国民法典,中华人民共和国民法典第八百五十四条,第八百五十四条,　委托开发合同的当事人违反约定造成研究开发工作停滞、延误或者失败的，应当承担违约责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第八百五十四条##　委托开发合同的当事人违反约定造成研究开发工作停滞、延误或者失败的，应当承担违约责任。,26.368996,854,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=854,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_854
中华人民共和国民法典第九百九十六条,中华人民共和国民法典,中华人民共和国民法典第九百九十六条,第九百九十六条,　因当事人一方的违约行为，损害对方人格权并造成严重精神损害，受损害方选择请求其承担违约责任的，不影响受损害方请求精神损害赔偿。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第九百九十六条##　因当事人一方的违约行为，损害对方人格权并造成严重精神损害，受损害方选择请求其承担违约责任的，不影响受损害方请求精神损害赔偿。,26.368996,996,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=996,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_996
中华人民共和国民法典第一百八十六条,中华人民共和国民法典,中华人民共和国民法典第一百八十六条,第一百八十六条,　因当事人一方的违约行为，损害对方人身权益、财产权益的，受损害方有权选择请求其承担违约责任或者侵权责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一百八十六条##　因当事人一方的违约行为，损害对方人身权益、财产权益的，受损害方有权选择请求其承担违约责任或者侵权责任。,26.368996,186,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=186,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_186
