标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国民法典第四百九十二条,中华人民共和国民法典,中华人民共和国民法典第四百九十二条,第四百九十二条,"　承诺生效的地点为合同成立的地点。 
　　采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第四百九十二条##　承诺生效的地点为合同成立的地点。 
　　采用数据电文形式订立合同的，收件人的主营业地为合同成立的地点；没有主营业地的，其住所地为合同成立的地点。当事人另有约定的，按照其约定。",23.750492,492,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=492,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_492
中华人民共和国民法典第九百六十三条,中华人民共和国民法典,中华人民共和国民法典第九百六十三条,第九百六十三条,"　中介人促成合同成立的，委托人应当按照约定支付报酬。对中介人的报酬没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，根据中介人的劳务合理确定。因中介人提供订立合同的媒介服务而促成合同成立的，由该合同的当事人平均负担中介人的报酬。 
　　中介人促成合同成立的，中介活动的费用，由中介人负担。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第九百六十三条##　中介人促成合同成立的，委托人应当按照约定支付报酬。对中介人的报酬没有约定或者约定不明确，依据本法第五百一十条的规定仍不能确定的，根据中介人的劳务合理确定。因中介人提供订立合同的媒介服务而促成合同成立的，由该合同的当事人平均负担中介人的报酬。 
　　中介人促成合同成立的，中介活动的费用，由中介人负担。",23.61155,963,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=963,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_963
中华人民共和国民法典第四百九十条,中华人民共和国民法典,中华人民共和国民法典第四百九十条,第四百九十条,"　当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。 
　　法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第四百九十条##　当事人采用合同书形式订立合同的，自当事人均签名、盖章或者按指印时合同成立。在签名、盖章或者按指印之前，当事人一方已经履行主要义务，对方接受时，该合同成立。 
　　法律、行政法规规定或者当事人约定合同应当采用书面形式订立，当事人未采用书面形式但是一方已经履行主要义务，对方接受时，该合同成立。",23.61155,490,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=490,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_490
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第六条,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第六条,第六条,"当事人以认购书、订购书、预订书等形式约定在将来一定期限内订立合同，或者为担保在将来一定期限内订立合同交付了定金，能够确定将来所要订立合同的主体、标的等内容的，人民法院应当认定预约合同成立。
当事人通过签订意向书或者备忘录等方式，仅表达交易的意向，未约定在将来一定期限内订立合同，或者虽然有约定但是难以确定将来所要订立合同的主体、标的等内容，一方主张预约合同成立的，人民法院不予支持。
当事人订立的认购书、订购书、预订书等已就合同标的、数量、价款或者报酬等主要内容达成合意，符合本解释第三条第一款规定的合同成立条件，未明确约定在将来一定期限内另行订立合同，或者虽然有约定但是当事人一方已实施履行行为且对方接受的，人民法院应当认定本约合同成立。",现行有效,司法解释,最高人民法院,2023-12-05,法释〔2023〕13号,2023-12-04,高法司法解释," - 《最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释》第六条##当事人以认购书、订购书、预订书等形式约定在将来一定期限内订立合同，或者为担保在将来一定期限内订立合同交付了定金，能够确定将来所要订立合同的主体、标的等内容的，人民法院应当认定预约合同成立。
当事人通过签订意向书或者备忘录等方式，仅表达交易的意向，未约定在将来一定期限内订立合同，或者虽然有约定但是难以确定将来所要订立合同的主体、标的等内容，一方主张预约合同成立的，人民法院不予支持。
当事人订立的认购书、订购书、预订书等已就合同标的、数量、价款或者报酬等主要内容达成合意，符合本解释第三条第一款规定的合同成立条件，未明确约定在将来一定期限内另行订立合同，或者虽然有约定但是当事人一方已实施履行行为且对方接受的，人民法院应当认定本约合同成立。",23.556908,6,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=6,3132ac09bc31117a209bac1420cd14fd,3132ac09bc31117a209bac1420cd14fd_6
中华人民共和国民法典第四百九十一条,中华人民共和国民法典,中华人民共和国民法典第四百九十一条,第四百九十一条,"　当事人采用信件、数据电文等形式订立合同要求签订确认书的，签订确认书时合同成立。 
　　当事人一方通过互联网等信息网络发布的商品或者服务信息符合要约条件的，对方选择该商品或者服务并提交订单成功时合同成立，但是当事人另有约定的除外。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第四百九十一条##　当事人采用信件、数据电文等形式订立合同要求签订确认书的，签订确认书时合同成立。 
　　当事人一方通过互联网等信息网络发布的商品或者服务信息符合要约条件的，对方选择该商品或者服务并提交订单成功时合同成立，但是当事人另有约定的除外。",23.238686,491,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=491,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_491
最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第四条,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释,最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释第四条,第四条,"采取招标方式订立合同，当事人请求确认合同自中标通知书到达中标人时成立的，人民法院应予支持。合同成立后，当事人拒绝签订书面合同的，人民法院应当依据招标文件、投标文件和中标通知书等确定合同内容。
采取现场拍卖、网络拍卖等公开竞价方式订立合同，当事人请求确认合同自拍卖师落槌、电子交易系统确认成交时成立的，人民法院应予支持。合同成立后，当事人拒绝签订成交确认书的，人民法院应当依据拍卖公告、竞买人的报价等确定合同内容。
产权交易所等机构主持拍卖、挂牌交易，其公布的拍卖公告、交易规则等文件公开确定了合同成立需要具备的条件，当事人请求确认合同自该条件具备时成立的，人民法院应予支持。",现行有效,司法解释,最高人民法院,2023-12-05,法释〔2023〕13号,2023-12-04,高法司法解释," - 《最高人民法院关于适用《中华人民共和国民法典》合同编通则若干问题的解释》第四条##采取招标方式订立合同，当事人请求确认合同自中标通知书到达中标人时成立的，人民法院应予支持。合同成立后，当事人拒绝签订书面合同的，人民法院应当依据招标文件、投标文件和中标通知书等确定合同内容。
采取现场拍卖、网络拍卖等公开竞价方式订立合同，当事人请求确认合同自拍卖师落槌、电子交易系统确认成交时成立的，人民法院应予支持。合同成立后，当事人拒绝签订成交确认书的，人民法院应当依据拍卖公告、竞买人的报价等确定合同内容。
产权交易所等机构主持拍卖、挂牌交易，其公布的拍卖公告、交易规则等文件公开确定了合同成立需要具备的条件，当事人请求确认合同自该条件具备时成立的，人民法院应予支持。",23.163168,4,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3132ac09bc31117a209bac1420cd14fd?text=4,3132ac09bc31117a209bac1420cd14fd,3132ac09bc31117a209bac1420cd14fd_4
中华人民共和国民法典第四百八十三条,中华人民共和国民法典,中华人民共和国民法典第四百八十三条,第四百八十三条,　承诺生效时合同成立，但是法律另有规定或者当事人另有约定的除外。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第四百八十三条##　承诺生效时合同成立，但是法律另有规定或者当事人另有约定的除外。,22.427727,483,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=483,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_483
中华人民共和国民法典第九百六十四条,中华人民共和国民法典,中华人民共和国民法典第九百六十四条,第九百六十四条,　中介人未促成合同成立的，不得请求支付报酬；但是，可以按照约定请求委托人支付从事中介活动支出的必要费用。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第九百六十四条##　中介人未促成合同成立的，不得请求支付报酬；但是，可以按照约定请求委托人支付从事中介活动支出的必要费用。,22.289883,964,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=964,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_964
中华人民共和国民法典第四百九十三条,中华人民共和国民法典,中华人民共和国民法典第四百九十三条,第四百九十三条,　当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第四百九十三条##　当事人采用合同书形式订立合同的，最后签名、盖章或者按指印的地点为合同成立的地点，但是当事人另有约定的除外。,22.289883,493,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=493,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_493
中华人民共和国民法典第六百零六条,中华人民共和国民法典,中华人民共和国民法典第六百零六条,第六百零六条,　出卖人出卖交由承运人运输的在途标的物，除当事人另有约定外，毁损、灭失的风险自合同成立时起由买受人承担。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第六百零六条##　出卖人出卖交由承运人运输的在途标的物，除当事人另有约定外，毁损、灭失的风险自合同成立时起由买受人承担。,22.289883,606,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=606,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_606
