标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021)第一百三十条,最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021)第一百三十条,第一百三十条,"　开庭审理前，人民法院可以召开庭前会议，就非法证据排除等问题了解情况，听取意见。 
在庭前会议中，人民检察院可以通过出示有关证据材料等方式，对证据收集的合法性加以说明。必要时，可以通知调查人员、侦查人员或者其他人员参加庭前会议，说明情况。",现行有效,司法解释,最高人民法院,2021-03-01,法释〔2021〕1号,2021-01-26,高法司法解释," - 《最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021)》第一百三十条##　开庭审理前，人民法院可以召开庭前会议，就非法证据排除等问题了解情况，听取意见。 
在庭前会议中，人民检察院可以通过出示有关证据材料等方式，对证据收集的合法性加以说明。必要时，可以通知调查人员、侦查人员或者其他人员参加庭前会议，说明情况。",30.070515,130,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=130,27f2a1c90daf9dce939acd155a8e1966,27f2a1c90daf9dce939acd155a8e1966_130
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021)第二百三十条,最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021)第二百三十条,第二百三十条,"　庭前会议由审判长主持，合议庭其他审判员也可以主持庭前会议。 
召开庭前会议应当通知公诉人、辩护人到场。 
庭前会议准备就非法证据排除了解情况、听取意见，或者准备询问控辩双方对证据材料的意见的，应当通知被告人到场。有多名被告人的案件，可以根据情况确定参加庭前会议的被告人。",现行有效,司法解释,最高人民法院,2021-03-01,法释〔2021〕1号,2021-01-26,高法司法解释," - 《最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021)》第二百三十条##　庭前会议由审判长主持，合议庭其他审判员也可以主持庭前会议。 
召开庭前会议应当通知公诉人、辩护人到场。 
庭前会议准备就非法证据排除了解情况、听取意见，或者准备询问控辩双方对证据材料的意见的，应当通知被告人到场。有多名被告人的案件，可以根据情况确定参加庭前会议的被告人。",30.070515,230,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=230,27f2a1c90daf9dce939acd155a8e1966,27f2a1c90daf9dce939acd155a8e1966_230
中华人民共和国刑事诉讼法(2018修正)第一百八十七条,中华人民共和国刑事诉讼法(2018修正),中华人民共和国刑事诉讼法(2018修正)第一百八十七条,第一百八十七条,"人民法院决定开庭审判后，应当确定合议庭的组成人员，将人民检察院的起诉书副本至迟在开庭十日以前送达被告人及其辩护人。 
在开庭以前，审判人员可以召集公诉人、当事人和辩护人、诉讼代理人，对回避、出庭证人名单、非法证据排除等与审判相关的问题，了解情况，听取意见。 
人民法院确定开庭日期后，应当将开庭的时间、地点通知人民检察院，传唤当事人，通知辩护人、诉讼代理人、证人、鉴定人和翻译人员，传票和通知书至迟在开庭三日以前送达。公开审判的案件，应当在开庭三日以前先期公布案由、被告人姓名、开庭时间和地点。 
上述活动情形应当写入笔录，由审判人员和书记员签名。",现行有效,法律,全国人大常委会,2018-10-26,中华人民共和国主席令第10号,2018-10-26,法律," - 《中华人民共和国刑事诉讼法(2018修正)》第一百八十七条##人民法院决定开庭审判后，应当确定合议庭的组成人员，将人民检察院的起诉书副本至迟在开庭十日以前送达被告人及其辩护人。 
在开庭以前，审判人员可以召集公诉人、当事人和辩护人、诉讼代理人，对回避、出庭证人名单、非法证据排除等与审判相关的问题，了解情况，听取意见。 
人民法院确定开庭日期后，应当将开庭的时间、地点通知人民检察院，传唤当事人，通知辩护人、诉讼代理人、证人、鉴定人和翻译人员，传票和通知书至迟在开庭三日以前送达。公开审判的案件，应当在开庭三日以前先期公布案由、被告人姓名、开庭时间和地点。 
上述活动情形应当写入笔录，由审判人员和书记员签名。",28.548218,187,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5187759def3ba263633f6ba6c37a91a3?text=187,5187759def3ba263633f6ba6c37a91a3,5187759def3ba263633f6ba6c37a91a3_187
全国人民代表大会关于修改《中华人民共和国刑事诉讼法》的决定(2012)六十八、,全国人民代表大会关于修改《中华人民共和国刑事诉讼法》的决定(2012),全国人民代表大会关于修改《中华人民共和国刑事诉讼法》的决定(2012)六十八、,六十八、,"将第一百五十一条改为第一百八十二条，修改为：“人民法院决定开庭审判后，应当确定合议庭的组成人员，将人民检察院的起诉书副本至迟在开庭十日以前送达被告人及其辩护人。 
　　“在开庭以前，审判人员可以召集公诉人、当事人和辩护人、诉讼代理人，对回避、出庭证人名单、非法证据排除等与审判相关的问题，了解情况，听取意见。 
　　“人民法院确定开庭日期后，应当将开庭的时间、地点通知人民检察院，传唤当事人，通知辩护人、诉讼代理人、证人、鉴定人和翻译人员，传票和通知书至迟在开庭三日以前送达。公开审判的案件，应当在开庭三日以前先期公布案由、被告人姓名、开庭时间和地点。 
　　“上述活动情形应当写入笔录，由审判人员和书记员签名。”",现行有效,法律,全国人民代表大会,2013-01-01,中华人民共和国主席令第55号,2012-03-14,修改、废止的决定," - 《全国人民代表大会关于修改《中华人民共和国刑事诉讼法》的决定(2012)》六十八、##将第一百五十一条改为第一百八十二条，修改为：“人民法院决定开庭审判后，应当确定合议庭的组成人员，将人民检察院的起诉书副本至迟在开庭十日以前送达被告人及其辩护人。 
　　“在开庭以前，审判人员可以召集公诉人、当事人和辩护人、诉讼代理人，对回避、出庭证人名单、非法证据排除等与审判相关的问题，了解情况，听取意见。 
　　“人民法院确定开庭日期后，应当将开庭的时间、地点通知人民检察院，传唤当事人，通知辩护人、诉讼代理人、证人、鉴定人和翻译人员，传票和通知书至迟在开庭三日以前送达。公开审判的案件，应当在开庭三日以前先期公布案由、被告人姓名、开庭时间和地点。 
　　“上述活动情形应当写入笔录，由审判人员和书记员签名。”",28.47966,68,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6b99d7ad7d9cb0351fc6fdd83f3cfc3c?text=68,6b99d7ad7d9cb0351fc6fdd83f3cfc3c,6b99d7ad7d9cb0351fc6fdd83f3cfc3c_68
江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要三、,江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要,江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要三、,三、,"非法证据排除 
　　12、非法证据排除规则，是从制度上遏制刑讯逼供和以其他非法方法收集证据，维护司法公正和刑事诉讼参与人合法权利的一项重要司法规则。全省各级司法机关应当高度重视，通过规范采取强制措施、实施讯问同步录音录像、加强监所管理等措施，在刑事诉讼的各个环节强化对非法证据规则的运用，切实提高刑事案件办理质量。 
　　13、正确理解和认定刑事诉讼法第五十四条规定的“刑讯逼供等非法方法”，对采用刑讯逼供等非法方法收集的被告人供述和采用暴力、威胁等非法方法收集的证人证言、被害人陈述，应当依法予以排除，不得作为逮捕、起诉和判决的根据；对收集物证、书证是否“可能严重影响司法公正”，应当考虑收集证据的方式方法是否严重违反法律、是否能够保证证据真实客观、是否严重损害当事人权益等因素，综合予以判定。 
　　14、办案机关应当及时履行权利告知义务，依法充分保障犯罪嫌疑人、被告人及其辩护人在侦查、起诉和审判等各个环节申请排除非法证据的权利，正确引导当事人围绕非法证据排除提供证据线索以及举证、质证；在刑事诉讼各个阶段均应当充分运用非法证据排除的规则与程序；树立以庭审为中心的意识，通过完善和落实庭前会议、同步录音录像的庭审审查或庭外核实、证人出庭、侦查人员出庭等制度，提高非法证据排除工作的成效；对排除非法证据的过程和结果进行详细的记载和说明，并及时反映在笔录、调查报告及其他诉讼文书中。 
　　15、对职务犯罪案件，可能判处无期徒刑、死刑的案件，致人重伤、死亡的严重危害公共安全犯罪、严重侵犯公民人身权利犯罪的案件，以及黑社会性质组织犯罪、严重毒品犯罪等重大犯罪案件，办案机关应当严格依照刑事诉讼法及相关办案规定，对讯问过程进行全程不间断的录音或者录像。 
　　16、辩护律师申请排除非法证据，并提出涉嫌非法取证的人员、时间、地点、方式、内容等相关线索或者材料的，可以在审查起诉阶段或者庭前会议阶段，在检察机关或者法院的主持下查看与非法证据排除相关的音像资料，但不得复制、刻录，相关机关应当予以安排并提供必要的场所和条件。辩护律师在侦查阶段发现非法取证线索的，可以向侦查机关或者检察机关提出，侦查机关或者检察机关应当作出相应解释或者说明。",现行有效,地方司法文件,"江苏省司法厅,江苏省国家安全厅,江苏省高级人民法院,江苏省人民检察院,江苏省公安厅",2014-02-18,苏高法[2014]24号,2014-02-18,地方司法文件," - 《江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要》三、##非法证据排除 
　　12、非法证据排除规则，是从制度上遏制刑讯逼供和以其他非法方法收集证据，维护司法公正和刑事诉讼参与人合法权利的一项重要司法规则。全省各级司法机关应当高度重视，通过规范采取强制措施、实施讯问同步录音录像、加强监所管理等措施，在刑事诉讼的各个环节强化对非法证据规则的运用，切实提高刑事案件办理质量。 
　　13、正确理解和认定刑事诉讼法第五十四条规定的“刑讯逼供等非法方法”，对采用刑讯逼供等非法方法收集的被告人供述和采用暴力、威胁等非法方法收集的证人证言、被害人陈述，应当依法予以排除，不得作为逮捕、起诉和判决的根据；对收集物证、书证是否“可能严重影响司法公正”，应当考虑收集证据的方式方法是否严重违反法律、是否能够保证证据真实客观、是否严重损害当事人权益等因素，综合予以判定。 
　　14、办案机关应当及时履行权利告知义务，依法充分保障犯罪嫌疑人、被告人及其辩护人在侦查、起诉和审判等各个环节申请排除非法证据的权利，正确引导当事人围绕非法证据排除提供证据线索以及举证、质证；在刑事诉讼各个阶段均应当充分运用非法证据排除的规则与程序；树立以庭审为中心的意识，通过完善和落实庭前会议、同步录音录像的庭审审查或庭外核实、证人出庭、侦查人员出庭等制度，提高非法证据排除工作的成效；对排除非法证据的过程和结果进行详细的记载和说明，并及时反映在笔录、调查报告及其他诉讼文书中。 
　　15、对职务犯罪案件，可能判处无期徒刑、死刑的案件，致人重伤、死亡的严重危害公共安全犯罪、严重侵犯公民人身权利犯罪的案件，以及黑社会性质组织犯罪、严重毒品犯罪等重大犯罪案件，办案机关应当严格依照刑事诉讼法及相关办案规定，对讯问过程进行全程不间断的录音或者录像。 
　　16、辩护律师申请排除非法证据，并提出涉嫌非法取证的人员、时间、地点、方式、内容等相关线索或者材料的，可以在审查起诉阶段或者庭前会议阶段，在检察机关或者法院的主持下查看与非法证据排除相关的音像资料，但不得复制、刻录，相关机关应当予以安排并提供必要的场所和条件。辩护律师在侦查阶段发现非法取证线索的，可以向侦查机关或者检察机关提出，侦查机关或者检察机关应当作出相应解释或者说明。",28.20867,3,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e2cd87c5858b89792893b836a5668012?text=3,e2cd87c5858b89792893b836a5668012,e2cd87c5858b89792893b836a5668012_3
北京市高级人民法院关于报送对贯彻实施《中华人民共和国刑事诉讼法》工作情况报告审议意见研究处理情况的报告(书面)一、,北京市高级人民法院关于报送对贯彻实施《中华人民共和国刑事诉讼法》工作情况报告审议意见研究处理情况的报告(书面),北京市高级人民法院关于报送对贯彻实施《中华人民共和国刑事诉讼法》工作情况报告审议意见研究处理情况的报告(书面)一、,一、,"严格执行程序规定和证据制度，切实维护司法公正 
　　全市法院严格执行修改后刑诉法及中央政法委《关于切实防止冤假错案的规定》、最高法院《关于建立健全防范刑事冤假错案工作机制的意见》，在审判工作中切实遵循法律程序规定和证据制度，坚守防止冤假错案底线，确保刑事案件审判质量。 
　　一是坚持无罪推定和疑罪从无。从法定程序、证明责任、证明标准三个方面具体落实无罪推定和疑罪从无的理念。坚持依法定程序举证、质证、认证，做到重客观证据、不轻信口供，重证据分析、不主观臆断，重调查研究、不轻信经验，重证明标准、不心存侥幸。指控的证据不足以证明有罪的，依法宣告无罪；是否构成犯罪的证据存疑的，不作留有余地的降格处理。2013年以来，全市法院共对39名被告人（公诉案件被告人20人）宣告无罪。其中涉嫌故意杀人的被告人3人，体现出对过去“定放两难”的重大案件，不降低标准、勉强定罪，坚持无罪推定，切实做到疑罪从无。 
　　二是坚决落实非法证据排除制度。全市法院认真总结非法证据排除的实践经验，严格执行修改后刑诉法、司法解释、关于非法证据排除的相关规定，加大对证据合法性审查的力度。对被告人及其辩护人提出的排除非法证据申请，只要能够提供线索和材料，法院都认真审查并依法及时启动调查程序。对经法庭调查，能够确定或不能排除存在非法取证可能的证据坚决予以排除。修改后刑诉法实施以来，全市法院共有114件刑事案件的被告人、辩护人提出非法证据排除申请。其中。启动庭前会议调查的37件，启动庭审调查程序的27件；通过庭前会议排除非法证据的3件，通过庭审调查程序排除非法证据的14件；因排除非法证据而改变罪名认定的4件，减少犯罪事实认定的1件，检察机关撤诉的4件。为进一步推动非法证据排除制度的落实，市高级法院组织一中院、海淀法院、门头沟法院成立调研组，深入研究细化非法证据排除的具体标准和操作程序，继续完善《关于办理刑事案件排除非法证据有关问题的指导意见》。中央确定“严格实行非法证据排除规则”改革项目后，市高级法院被最高法院指定为全国范围内试点的六家成员单位之一，《指导意见》的相关内容被“两高三部”正在起草的《关于严格执行非法证据排除规则若干问题的规定》吸收采纳。 
　　三是建立健全证据制度的配套工作机制。市高级法院对近五年来宣告无罪及纠正的冤错案件进行了认真梳理分析。针对取证程序不规范、证据补查补正不及时等突出问题，加强与公安、检察机关的沟通协调，推动建立完善多项落实证据制度的配套工作机制。建立了重大刑事案件瑕疵证据快速补查补正机制，推动侦查机关将证据补查补正工作纳入考核，确保案件证据问题得到最快最及时的解决。建立了刑事案件证据问题的通报、反馈机制，对于取证过程中存在的倾向性、普遍性问题，人民法院在案件审结后通报侦诉机关，侦诉机关及时反馈改进情况。建立了解决证据问题的沟通联络机制，先后协调解决公安机关鉴定人员出庭、法庭对技侦证据的调查核实、人体损伤鉴定标准调整等困扰审判的证据问题。 
　　四是严格执行审限规定，防止超期羁押。全市法院认真落实《中央政法委关于依法清理久押不决案件的指导意见》和《全国法院清理久押不决案件工作推进方案》，继续开展久押不决刑事案件清理工作。依托久押不决案件通报机制、风险案件监控机制、“四定一督”清理机制等长效工作机制，将最高法院挂账的案件于今年6月底全部清理完毕。针对修改后刑诉法实施后延审报批程序上存在的问题，市高级法院制定了《关于规范刑事案件报请、批准延审程序的意见》，下发了《关于严格执行刑事案件延审报批程序的通知》，严格了延长审限的报批程序和审批条件，强化了下级法院审限内结案的意识，报请上级法院批准延长审期的案件数量有较大幅度减少。截止今年6月，高、中两级法院共批准下级法院报请延长审限案件322件，仅占中级、基层法院审理案件总数的098%，法定审限内结案率大幅提高，“边清边积”现象得到根本扭转。",现行有效,地方司法文件,北京市高级人民法院,2015-05-12,,2015-05-12,地方司法文件," - 《北京市高级人民法院关于报送对贯彻实施《中华人民共和国刑事诉讼法》工作情况报告审议意见研究处理情况的报告(书面)》一、##严格执行程序规定和证据制度，切实维护司法公正 
　　全市法院严格执行修改后刑诉法及中央政法委《关于切实防止冤假错案的规定》、最高法院《关于建立健全防范刑事冤假错案工作机制的意见》，在审判工作中切实遵循法律程序规定和证据制度，坚守防止冤假错案底线，确保刑事案件审判质量。 
　　一是坚持无罪推定和疑罪从无。从法定程序、证明责任、证明标准三个方面具体落实无罪推定和疑罪从无的理念。坚持依法定程序举证、质证、认证，做到重客观证据、不轻信口供，重证据分析、不主观臆断，重调查研究、不轻信经验，重证明标准、不心存侥幸。指控的证据不足以证明有罪的，依法宣告无罪；是否构成犯罪的证据存疑的，不作留有余地的降格处理。2013年以来，全市法院共对39名被告人（公诉案件被告人20人）宣告无罪。其中涉嫌故意杀人的被告人3人，体现出对过去“定放两难”的重大案件，不降低标准、勉强定罪，坚持无罪推定，切实做到疑罪从无。 
　　二是坚决落实非法证据排除制度。全市法院认真总结非法证据排除的实践经验，严格执行修改后刑诉法、司法解释、关于非法证据排除的相关规定，加大对证据合法性审查的力度。对被告人及其辩护人提出的排除非法证据申请，只要能够提供线索和材料，法院都认真审查并依法及时启动调查程序。对经法庭调查，能够确定或不能排除存在非法取证可能的证据坚决予以排除。修改后刑诉法实施以来，全市法院共有114件刑事案件的被告人、辩护人提出非法证据排除申请。其中。启动庭前会议调查的37件，启动庭审调查程序的27件；通过庭前会议排除非法证据的3件，通过庭审调查程序排除非法证据的14件；因排除非法证据而改变罪名认定的4件，减少犯罪事实认定的1件，检察机关撤诉的4件。为进一步推动非法证据排除制度的落实，市高级法院组织一中院、海淀法院、门头沟法院成立调研组，深入研究细化非法证据排除的具体标准和操作程序，继续完善《关于办理刑事案件排除非法证据有关问题的指导意见》。中央确定“严格实行非法证据排除规则”改革项目后，市高级法院被最高法院指定为全国范围内试点的六家成员单位之一，《指导意见》的相关内容被“两高三部”正在起草的《关于严格执行非法证据排除规则若干问题的规定》吸收采纳。 
　　三是建立健全证据制度的配套工作机制。市高级法院对近五年来宣告无罪及纠正的冤错案件进行了认真梳理分析。针对取证程序不规范、证据补查补正不及时等突出问题，加强与公安、检察机关的沟通协调，推动建立完善多项落实证据制度的配套工作机制。建立了重大刑事案件瑕疵证据快速补查补正机制，推动侦查机关将证据补查补正工作纳入考核，确保案件证据问题得到最快最及时的解决。建立了刑事案件证据问题的通报、反馈机制，对于取证过程中存在的倾向性、普遍性问题，人民法院在案件审结后通报侦诉机关，侦诉机关及时反馈改进情况。建立了解决证据问题的沟通联络机制，先后协调解决公安机关鉴定人员出庭、法庭对技侦证据的调查核实、人体损伤鉴定标准调整等困扰审判的证据问题。 
　　四是严格执行审限规定，防止超期羁押。全市法院认真落实《中央政法委关于依法清理久押不决案件的指导意见》和《全国法院清理久押不决案件工作推进方案》，继续开展久押不决刑事案件清理工作。依托久押不决案件通报机制、风险案件监控机制、“四定一督”清理机制等长效工作机制，将最高法院挂账的案件于今年6月底全部清理完毕。针对修改后刑诉法实施后延审报批程序上存在的问题，市高级法院制定了《关于规范刑事案件报请、批准延审程序的意见》，下发了《关于严格执行刑事案件延审报批程序的通知》，严格了延长审限的报批程序和审批条件，强化了下级法院审限内结案的意识，报请上级法院批准延长审期的案件数量有较大幅度减少。截止今年6月，高、中两级法院共批准下级法院报请延长审限案件322件，仅占中级、基层法院审理案件总数的098%，法定审限内结案率大幅提高，“边清边积”现象得到根本扭转。",27.462946,1,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/70a48d8de7b4206bb97ab23eefe1ebec?text=1,70a48d8de7b4206bb97ab23eefe1ebec,70a48d8de7b4206bb97ab23eefe1ebec_1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释第九十九条,最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释,最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释第九十九条,第九十九条,　开庭审理前，当事人及其辩护人、诉讼代理人申请排除非法证据，人民法院经审查，对证据收集的合法性有疑问的，应当依照刑事诉讼法第一百八十二条第二款的规定召开庭前会议，就非法证据排除等问题了解情况，听取意见。人民检察院可以通过出示有关证据材料等方式，对证据收集的合法性加以说明。,失效,司法解释,最高人民法院,2013-01-01,法释[2012]21号,2012-12-20,高法司法解释, - 《最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释》第九十九条##　开庭审理前，当事人及其辩护人、诉讼代理人申请排除非法证据，人民法院经审查，对证据收集的合法性有疑问的，应当依照刑事诉讼法第一百八十二条第二款的规定召开庭前会议，就非法证据排除等问题了解情况，听取意见。人民检察院可以通过出示有关证据材料等方式，对证据收集的合法性加以说明。,25.291441,99,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/260ad43bbb099278609ad2d92b2a76f0?text=99,260ad43bbb099278609ad2d92b2a76f0,260ad43bbb099278609ad2d92b2a76f0_99
中华人民共和国刑事诉讼法(2012修正)第五十四条,中华人民共和国刑事诉讼法(2012修正),中华人民共和国刑事诉讼法(2012修正)第五十四条,第五十四条,"　【非法证据排除规则】采用刑讯逼供等非法方法收集的犯罪嫌疑人、被告人供述和采用暴力、威胁等非法方法收集的证人证言、被害人陈述，应当予以排除。收集物证、书证不符合法定程序，可能严重影响司法公正的，应当予以补正或者作出合理解释；不能补正或者作出合理解释的，对该证据应当予以排除。 
在侦查、审查起诉、审判时发现有应当排除的证据的，应当依法予以排除，不得作为起诉意见、起诉决定和判决的依据。",已被修改,法律,全国人民代表大会,2013-01-01,中华人民共和国主席令第55号,2012-03-14,法律," - 《中华人民共和国刑事诉讼法(2012修正)》第五十四条##　【非法证据排除规则】采用刑讯逼供等非法方法收集的犯罪嫌疑人、被告人供述和采用暴力、威胁等非法方法收集的证人证言、被害人陈述，应当予以排除。收集物证、书证不符合法定程序，可能严重影响司法公正的，应当予以补正或者作出合理解释；不能补正或者作出合理解释的，对该证据应当予以排除。 
在侦查、审查起诉、审判时发现有应当排除的证据的，应当依法予以排除，不得作为起诉意见、起诉决定和判决的依据。",24.295122,54,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/54ad58f62d9c3116429462dfe383dbd3?text=54,54ad58f62d9c3116429462dfe383dbd3,54ad58f62d9c3116429462dfe383dbd3_54
中华人民共和国刑事诉讼法(2012修正)第一百八十二条,中华人民共和国刑事诉讼法(2012修正),中华人民共和国刑事诉讼法(2012修正)第一百八十二条,第一百八十二条,"　【开庭前的准备】人民法院决定开庭审判后，应当确定合议庭的组成人员，将人民检察院的起诉书副本至迟在开庭十日以前送达被告人及其辩护人。 
在开庭以前，审判人员可以召集公诉人、当事人和辩护人、诉讼代理人，对回避、出庭证人名单、非法证据排除等与审判相关的问题，了解情况，听取意见。 
人民法院确定开庭日期后，应当将开庭的时间、地点通知人民检察院，传唤当事人，通知辩护人、诉讼代理人、证人、鉴定人和翻译人员，传票和通知书至迟在开庭三日以前送达。公开审判的案件，应当在开庭三日以前先期公布案由、被告人姓名、开庭时间和地点。 
上述活动情形应当写入笔录，由审判人员和书记员签名。",已被修改,法律,全国人民代表大会,2013-01-01,中华人民共和国主席令第55号,2012-03-14,法律," - 《中华人民共和国刑事诉讼法(2012修正)》第一百八十二条##　【开庭前的准备】人民法院决定开庭审判后，应当确定合议庭的组成人员，将人民检察院的起诉书副本至迟在开庭十日以前送达被告人及其辩护人。 
在开庭以前，审判人员可以召集公诉人、当事人和辩护人、诉讼代理人，对回避、出庭证人名单、非法证据排除等与审判相关的问题，了解情况，听取意见。 
人民法院确定开庭日期后，应当将开庭的时间、地点通知人民检察院，传唤当事人，通知辩护人、诉讼代理人、证人、鉴定人和翻译人员，传票和通知书至迟在开庭三日以前送达。公开审判的案件，应当在开庭三日以前先期公布案由、被告人姓名、开庭时间和地点。 
上述活动情形应当写入笔录，由审判人员和书记员签名。",23.586107,182,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/54ad58f62d9c3116429462dfe383dbd3?text=182,54ad58f62d9c3116429462dfe383dbd3,54ad58f62d9c3116429462dfe383dbd3_182
江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要六、,江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要,江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要六、,六、,"庭前会议 
　　32、庭前会议可由人民法院自行决定召开，人民检察院建议或者当事人、辩护人、诉讼代理人申请召开庭前会议的，人民法院一般应当召开。 
　　建议或申请召开庭前会议应及时提出，并说明理由和要求。人民法院应当及时召开庭前会议，并将会议时间提前告知检察人员、当事人和辩护人、诉讼代理人。 
　　人民法院应当根据庭前会议的具体情况，在开庭前预留足够的时间，保证庭前会议有关问题及时妥善解决。 
　　33、庭前会议由审判人员召集，检察人员、当事人、辩护人、诉讼代理人参加。被告人一般应当参加庭前会议，但会议内容涉及国家安全秘密或者侦查秘密时，可以要求被告人暂时离场。 
　　34、庭前会议的召开程序如下： 
　　（一）在审判人员的主持下，就回避、出庭证人名单、非法证据排除、证据交换及展示、庭审方式及重点等与审判相关的问题依次听取公诉人、当事人和辩护人、诉讼代理人的意见。 
　　（二）公诉人、当事人和辩护人、诉讼代理人可以口头提出意见并说明理由，也可以向审判人员提交书面意见。 
　　（三）针对有关各方提出的意见和理由，由公诉人、当事人或辩护人、诉讼代理人说明情况。 
　　35、对庭前会议参加各方达成一致意见的相关问题，法庭在开庭时经征求各方意见仍无异议的，应当就相关事项作出决定。 
　　庭审过程中，公诉人、当事人和辩护人、诉讼代理人对庭前会议上已达成一致意见的事项提出异议的，法庭可以要求提出异议的一方说明理由或提出新的证据和线索。 
　　对庭前会议上参加各方未达成一致意见的问题，法庭应当依法审理并作出相关决定。",现行有效,地方司法文件,"江苏省司法厅,江苏省国家安全厅,江苏省高级人民法院,江苏省人民检察院,江苏省公安厅",2014-02-18,苏高法[2014]24号,2014-02-18,地方司法文件," - 《江苏省高级人民法院、江苏省人民检察院、江苏省公安厅等关于贯彻执行《中华人民共和国刑事诉讼法》若干问题的座谈纪要》六、##庭前会议 
　　32、庭前会议可由人民法院自行决定召开，人民检察院建议或者当事人、辩护人、诉讼代理人申请召开庭前会议的，人民法院一般应当召开。 
　　建议或申请召开庭前会议应及时提出，并说明理由和要求。人民法院应当及时召开庭前会议，并将会议时间提前告知检察人员、当事人和辩护人、诉讼代理人。 
　　人民法院应当根据庭前会议的具体情况，在开庭前预留足够的时间，保证庭前会议有关问题及时妥善解决。 
　　33、庭前会议由审判人员召集，检察人员、当事人、辩护人、诉讼代理人参加。被告人一般应当参加庭前会议，但会议内容涉及国家安全秘密或者侦查秘密时，可以要求被告人暂时离场。 
　　34、庭前会议的召开程序如下： 
　　（一）在审判人员的主持下，就回避、出庭证人名单、非法证据排除、证据交换及展示、庭审方式及重点等与审判相关的问题依次听取公诉人、当事人和辩护人、诉讼代理人的意见。 
　　（二）公诉人、当事人和辩护人、诉讼代理人可以口头提出意见并说明理由，也可以向审判人员提交书面意见。 
　　（三）针对有关各方提出的意见和理由，由公诉人、当事人或辩护人、诉讼代理人说明情况。 
　　35、对庭前会议参加各方达成一致意见的相关问题，法庭在开庭时经征求各方意见仍无异议的，应当就相关事项作出决定。 
　　庭审过程中，公诉人、当事人和辩护人、诉讼代理人对庭前会议上已达成一致意见的事项提出异议的，法庭可以要求提出异议的一方说明理由或提出新的证据和线索。 
　　对庭前会议上参加各方未达成一致意见的问题，法庭应当依法审理并作出相关决定。",21.143864,6,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e2cd87c5858b89792893b836a5668012?text=6,e2cd87c5858b89792893b836a5668012,e2cd87c5858b89792893b836a5668012_6
