法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高检发布检察技术支持刑事检察技术性证据审查典型案例,,案发后，李某甲主动向侦查人员反映手机损坏，侦查人员用技术手段恢复其手机，发现里面内容已删除。检察技术人员恢复了被删除数据，发现李某甲在案发前两日及当日均拨打过一名火化车司机电话。该司机证实李某甲曾当面称“家中有人快去世，需预约火化车辆”，案发当天又两次拨打其电话称“人已去世，下午用车”。时间节点与被害人死亡进程高度吻合，证实李某甲主观上明知被害人处于生命垂危的状态。　　（三）对于音视频证据降噪和清晰化处理，还原“阻止施救”案件事实。侦查过程中，侦查人员获得数段于案发前一天傍晚李某丙到李某甲家探望的监控视频。但因监控探头不能拍摄到屋内情况，且声音极为模糊，故一直未被作为重要证据。检察技术人员对音视频进行清晰化和降噪处理，复原了大部分对话内容。证实李某甲因怀疑李某乙非亲生，拒绝李某丙探望，称“李某乙已两月未进食、无法行走，就要饿死李某乙”。当李某丙提出接走李某乙时，李某甲称“一拳打死李某乙”。该证据还原了李某甲阻止施救行为并希望或放任被害人死亡的主观故意。　　【典型意义】,现行有效,司法解释,指导案例,,20250901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6fa8d10a3a8bfd4307d9472f0e39525a,,6fa8d10a3a8bfd4307d9472f0e39525a,[],0.9341771399999999,2
最高人民检察院公布5件检察机关办理涉窨井盖刑事犯罪典型案例,,"窨井盖系特殊物品，对这类物品的回收有特别规定，本案两名被告人明知所回收物品为盗窃所得而予以收购、销售，其行为触犯刑法第三百一十二条的规定，构成掩饰、隐瞒犯罪所得罪。　　三、姜某某过失致人死亡案
　　基本案情：2017年5月，河北省隆化县居民、被告人姜某某因要抽走下水道污水而打开其家门口外的窨井盖，未设警示标志且未找人看管即返回家中。后其邻居刘某发现自家孩子房某某（2周岁）不见了，经多方查找在姜某某打开的窨井内发现了房某某，被打捞上来后，房某某经抢救无效死亡，经鉴定系溺死。姜某某认罪悔罪，并积极赔偿，取得了被害人家属的谅解。2018年1月，姜某某犯过失致人死亡罪，被判处有期徒刑三年，缓刑四年。　　案件警示：擅自移动窨井盖，应当预见可能发生人员伤亡的后果，因疏忽大意而未能预见，造成他人重伤、死亡的，属于过失犯罪。本案中，姜某某主观上没有致人伤亡的故意，但其擅自移开家门口的井盖，应当预见可能产生危害后果而没有预见，造成儿童坠井溺死，其行为构成过失致人死亡罪，应当依照刑法第二百三十三条过失致人死亡罪处罚。　　四、周某某盗窃案",现行有效,司法解释,指导案例,,20200422,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/79953074c66b3bc593896949dc14d835,,79953074c66b3bc593896949dc14d835,[],0.8762324399999999,2
中华人民共和国刑法(2023修正),第十七条之一,　【刑事责任年龄】已满七十五周岁的人故意犯罪的，可以从轻或者减轻处罚；过失犯罪的，应当从轻或者减轻处罚。,现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=17,aecabfbe6b0843642509a7f1ff865413_17.1,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",0.8660918400000001,1
中华人民共和国刑法(2023修正),第十五条,"　【过失犯罪】应当预见自己的行为可能发生危害社会的结果，因为疏忽大意而没有预见，或者已经预见而轻信能够避免，以致发生这种结果的，是过失犯罪。
过失犯罪，法律有规定的才负刑事责任。",现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=15,aecabfbe6b0843642509a7f1ff865413_15,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",0.8519099279999999,1
最高人民检察院发布5起涉窨井盖犯罪典型案例,,"　　该案发生后，当地检察机关及时派员提前介入，对案发现场进行实地勘察，及时向侦查机关发出提供证据材料通知书，要求侦查机关对案发路段不同时段非机动车、行人流量进行调查取证，指导侦查人员在案发主要地点进行侦查实验，查证案发主要路段人员往来密集，被告人的行为足以危害不特定多数人员的生命财产安全。检察机关根据查证情况，根据两高一部《 关于办理涉窨井盖相关刑事案件的指导意见 》的规定，依法将本案由侦查机关移送审查起诉的盗窃罪，改变定性为以危险方法危害公共安全罪，从严惩处涉窨井盖危害公共安全类犯罪。盗窃公共场所尤其是人流、车流密集场所的窨井盖，其侵犯的法益本质上是公共安全，而不仅仅是公共财物所有权，不能简单地以盗窃罪进行认定。检察机关还通过对被告人释法析理，使其深刻认识到行为的社会危害性，自愿认罪认罚，签署具结书，充分发挥认罪认罚从宽制度在提高办案质量和诉讼效率，促进社会和谐方面的制度优势。　　四、 湖北杨某、镇某辉过失以危险方法危害公共安全案
　　【关键词】
　　擅自打开窨井盖 过失以危险方法危害公共安全罪 改变案件定性
　　【要旨】",现行有效,司法解释,指导案例,,20201228,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/71ab9180651a837ce03dd600cc1d042c,,71ab9180651a837ce03dd600cc1d042c,[],0.813352848,2
最高人民法院发布7起涉正当防卫典型案例,,"具体而言，杨建伟对防卫行为明显超过必要限度造成重大损害主观上持故意，但对于造成死亡结果系过失，故对其防卫过当行为应当以故意伤害致人死亡作出评价。　　第四，妥当把握防卫过当的刑罚裁量。根据刑法第二十条第二款的规定，防卫过当应当负刑事责任，但是应当减轻或者免除处罚。要综合考虑案件情况，特别是不法侵害人的过错，以确保刑罚裁量的准确和公正。本案中，杨建伟的防卫行为过当，构成故意伤害罪，对其减轻处罚，应当在三年以上十年以下有期徒刑的幅度内裁量刑罚。杨建伟明知他人报案，仍在案发现场等待，到案后能够如实供述主要犯罪事实，成立自首。综合考虑本案的犯罪事实、性质、情节和危害后果，以故意伤害罪判处杨建伟有期徒刑四年，符合社会公平正义观念，实现了法律效果与社会效果的有机统一。　　五、刘金胜故意伤害案
　　--滥用防卫权行为的认定
　　基本案情
　　被告人刘金胜与黄某甲非婚生育四名子女。2016年10月1日晚9时许，被告人刘金胜与黄某甲因家庭、情感问题发生争吵，刘金胜打了黄某甲两耳光。黄某甲来到其兄长黄某乙的水果店，告知黄某乙其被刘金胜打了两耳光，让黄某乙出面调处其与刘金胜分手、孩子抚养等问题。",现行有效,司法解释,指导案例,,20200903,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/50b7dd47c0cc06dcb1e5fc29559b698c,,50b7dd47c0cc06dcb1e5fc29559b698c,[],0.792601128,2
最高人民法院通报本院贵州省工作组“关于平坝县人民法院处理平坝农场劳改犯人所谓‘加刑’案件情况的报告”,,乙、日常表现方面：因生活或其他问题不满，讲怪话、发牢骚、讽刺谩骂，说反动话，与干部顶嘴，吃饭扔掉了几颗谷子，说了句“吃不饱”（前一段粮食定量供应时吃不饱确是事实）等，但也都是比较轻微的行为。丙、轻微犯罪、违法行为：偷些吃的或零星的生活用品；消极怠工或偶而反抗不出工；没有造成伤害的打架等。丁、已经构成犯罪的：这方面的为数不多。如逃跑或组织逃跑；有一定程度损失的故意破坏；公开带动抗拒劳动，屡教不改；行凶等。以上四类除最后一类可以判刑外，其余三类都不能构成犯罪，而是批评教育或行政处分的问题，但法院在处理这类案件时，却往往认为是犯罪而予以判刑。　　（2）不区别故意与过失，把过失都认为是故意，因而把不少尚未构成犯罪的过失行为都认为是故意破坏。如因疏忽，生产了一些不合规格的产品，锄掉了几株庄稼，损坏了一些工具，统统被认为是“故意”破坏。这类例子是很多的。　　（3）很多事实未经过查对，特别是忽略了从有利于被告人方面进行了解，以至有些案件认定事实缺乏足够的根据就草率判刑。,现行有效,司法解释,司法解释性质文件,中央,19560924,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8730ce1c4e2d73f72f62a749c5ddce89,,8730ce1c4e2d73f72f62a749c5ddce89,[],0.775484352,2
最高人民检察院关于印发《伤害类案件技术性证据实质审查典型案例》的通知,,"案发后，检察机关督促当地派出所对周某某的行政处罚进一步释法说理，同时主动沟通村委会协调化解两家矛盾，引导周某某通过合法途径解决纠纷，凝聚多方合力，推动双方化解矛盾。　　【典型意义】
　　（一）注重对伤情鉴定意见鉴定依据和论证过程的实质审查。在办理伤害类案件过程中，不仅要注重对鉴定资质、程序、检材、鉴定方法和过程进行审查，还要注重对伤情鉴定依据和论证过程的实质审查。对技术性证据存在合理怀疑的，注重发挥专业技术人员作用进行精准分析研判。　　（二）对存在问题的鉴定意见启动重新鉴定。检察机关认为鉴定意见依据不充分，论证分析不够全面、客观，鉴定结论确有问题的，通过依法要求公安机关重新鉴定，确保鉴定意见的科学性、准确性。　　案例三
　　孔某某故意杀人案
　　--通过对视听资料、鉴定意见等技术性证据的实质审查，还原零口供案件事实，认定主观故意
　　【关键词】
　　零口供命案　视听资料　技术性证据实质审查　检察技术人员出庭
　　【基本案情】
　　被告人孔某某，男，1992年3月出生，个体经营户。　　被害人蒋某某，女，殁年29岁。",现行有效,司法解释,指导案例,,20250818,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9ad535c9fbfa589097d384271532c3c3,,9ad535c9fbfa589097d384271532c3c3,[],0.7188896399999999,2
最高人民检察院关于渎职侵权犯罪案件立案标准的规定,第一条,"　　8、严重损害国家声誉，或者造成恶劣社会影响的；
　　9、其他致使公共财产、国家和人民利益遭受重大损失的情形。　　国家机关工作人员滥用职权，符合刑法第九章所规定的特殊渎职罪构成要件的，按照该特殊规定追究刑事责任；主体不符合刑法第九章所规定的特殊渎职罪的主体要件，但滥用职权涉嫌前款第1项至第9项规定情形之一的，按照刑法第397条的规定以滥用职权罪追究刑事责任。　　（二）玩忽职守案（第三百九十七条）
　　玩忽职守罪是指国家机关工作人员严重不负责任，不履行或者不认真履行职责，致使公共财产、国家和人民利益遭受重大损失的行为。　　涉嫌下列情形之一的，应予立案：
　　1、造成死亡1人以上，或者重伤3人以上，或者重伤2人、轻伤4人以上，或者重伤1人、轻伤7人以上，或者轻伤10人以上的；
　　2、导致20人以上严重中毒的；
　　3、造成个人财产直接经济损失15万元以上，或者直接经济损失不满15万元，但间接经济损失75万元以上的；
　　4、造成公共财产或者法人、其他组织财产直接经济损失30万元以上，或者直接经济损失不满30万元，但间接经济损失150万元以上的；",现行有效,司法解释,高检司法解释,中央,20060726,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/632f1b8caf422969af2bf2d936a32d1c?text=1,632f1b8caf422969af2bf2d936a32d1c_1,632f1b8caf422969af2bf2d936a32d1c,[],0.65172672,1
最高人民法院、最高人民检察院关于办理妨害文物管理等刑事案件适用法律若干问题的解释,第五条,　过失损毁国家保护的珍贵文物或者被确定为全国重点文物保护单位、省级文物保护单位的文物，具有本解释第三条第二款第一项至第三项规定情形之一的，应当认定为刑法第三百二十四条第三款规定的“造成严重后果”。,现行有效,司法解释,联合发布司法解释,中央,20160101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/209bb958325fb82562c7822e6330958a?text=5,209bb958325fb82562c7822e6330958a_5,209bb958325fb82562c7822e6330958a,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.637852476,1
