法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
数据出境安全评估办法,第八条,"数据出境安全评估重点评估数据出境活动可能对国家安全、公共利益、个人或者组织合法权益带来的风险，主要包括以下事项：
　　（一）数据出境的目的、范围、方式等的合法性、正当性、必要性；
　　（二）境外接收方所在国家或者地区的数据安全保护政策法规和网络安全环境对出境数据安全的影响；境外接收方的数据保护水平是否达到中华人民共和国法律、行政法规的规定和强制性国家标准的要求；
　　（三）出境数据的规模、范围、种类、敏感程度，出境中和出境后遭到篡改、破坏、泄露、丢失、转移或者被非法获取、非法利用等的风险；
　　（四）数据安全和个人信息权益是否能够得到充分有效保障；
　　（五）数据处理者与境外接收方拟订立的法律文件中是否充分约定了数据安全保护责任义务；
　　（六）遵守中国法律、行政法规、部门规章情况；
　　（七）国家网信部门认为需要评估的其他事项。",现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=8,6795a5ff05348c895918473ffa90c2d3_8,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.0944981740000002,1
国务院办公厅关于以高水平开放推动服务贸易高质量发展的意见,第三条,支持在国家数据跨境传输安全管理制度框架下，建立高效便利安全的数据跨境流动机制，高效开展重要数据和个人信息出境安全评估，优化服务贸易数字化发展环境。,现行有效,行政法规,国务院规范性文件,中央,20240828,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/42c7bb17e5dc528eb732fba36b49c056?text=3,42c7bb17e5dc528eb732fba36b49c056_3,42c7bb17e5dc528eb732fba36b49c056,"['财税##其他财经法规', '财税##其他财经法规##国务院', '财税']",1.088726474,1
数据出境安全评估办法,第五条,"数据处理者在申报数据出境安全评估前，应当开展数据出境风险自评估，重点评估以下事项：
　　（一）数据出境和境外接收方处理数据的目的、范围、方式等的合法性、正当性、必要性；
　　（二）出境数据的规模、范围、种类、敏感程度，数据出境可能对国家安全、公共利益、个人或者组织合法权益带来的风险；
　　（三）境外接收方承诺承担的责任义务，以及履行责任义务的管理和技术措施、能力等能否保障出境数据的安全；
　　（四）数据出境中和出境后遭到篡改、破坏、泄露、丢失、转移或者被非法获取、非法利用等的风险，个人信息权益维护的渠道是否通畅等；
　　（五）与境外接收方拟订立的数据出境相关合同或者其他具有法律效力的文件等（以下统称法律文件）是否充分约定了数据安全保护责任义务；
　　（六）其他可能影响数据出境安全的事项。",现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=5,6795a5ff05348c895918473ffa90c2d3_5,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.086272374,1
促进和规范数据跨境流动规定,第七条,"数据处理者向境外提供数据，符合下列条件之一的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估：
　　（一）关键信息基础设施运营者向境外提供个人信息或者重要数据；
　　（二）关键信息基础设施运营者以外的数据处理者向境外提供重要数据，或者自当年1月1日起累计向境外提供100万人以上个人信息（不含敏感个人信息）或者1万人以上敏感个人信息。
　　属于本规定第三条、第四条、第五条、第六条规定情形的，从其规定。",现行有效,部门规章,部门规章,中央,20240322,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fc667f6b0c55619237ed6e6c252e7972?text=7,fc667f6b0c55619237ed6e6c252e7972_7,fc667f6b0c55619237ed6e6c252e7972,[],1.0836733600000001,1
数据出境安全评估办法,第三条,数据出境安全评估坚持事前评估和持续监督相结合、风险自评估与安全评估相结合，防范数据出境安全风险，保障数据依法有序自由流动。,现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=3,6795a5ff05348c895918473ffa90c2d3_3,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.080516415,1
网络数据安全管理条例,第三十七条,　网络数据处理者在中华人民共和国境内运营中收集和产生的重要数据确需向境外提供的，应当通过国家网信部门组织的数据出境安全评估。网络数据处理者按照国家有关规定识别、申报重要数据，但未被相关地区、部门告知或者公开发布为重要数据的，不需要将其作为重要数据申报数据出境安全评估。,现行有效,行政法规,行政法规,中央,20250101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/059cb96f5f6222af3007ca879925d23e?text=37,059cb96f5f6222af3007ca879925d23e_37,059cb96f5f6222af3007ca879925d23e,[],1.07904401,1
数据出境安全评估办法,第四条,"数据处理者向境外提供数据，有下列情形之一的，应当通过所在地省级网信部门向国家网信部门申报数据出境安全评估：
　　（一）数据处理者向境外提供重要数据；
　　（二）关键信息基础设施运营者和处理100万人以上个人信息的数据处理者向境外提供个人信息；
　　（三）自上年1月1日起累计向境外提供10万人个人信息或者1万人敏感个人信息的数据处理者向境外提供个人信息；
　　（四）国家网信部门规定的其他需要申报数据出境安全评估的情形。",现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=4,6795a5ff05348c895918473ffa90c2d3_4,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.078720324,1
网络数据安全管理条例,第三十八条,　通过数据出境安全评估后，网络数据处理者向境外提供个人信息和重要数据的，不得超出评估时明确的数据出境目的、方式、范围和种类、规模等。,现行有效,行政法规,行政法规,中央,20250101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/059cb96f5f6222af3007ca879925d23e?text=38,059cb96f5f6222af3007ca879925d23e_38,059cb96f5f6222af3007ca879925d23e,[],1.0611946950000002,1
促进和规范数据跨境流动规定,第一条,为了保障数据安全，保护个人信息权益，促进数据依法有序自由流动，根据《中华人民共和国网络安全法》、《中华人民共和国数据安全法》、《中华人民共和国个人信息保护法》等法律法规，对于数据出境安全评估、个人信息出境标准合同、个人信息保护认证等数据出境制度的施行，制定本规定。,现行有效,部门规章,部门规章,中央,20240322,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fc667f6b0c55619237ed6e6c252e7972?text=1,fc667f6b0c55619237ed6e6c252e7972_1,fc667f6b0c55619237ed6e6c252e7972,[],1.061048164,1
数据出境安全评估办法,第十四条,"通过数据出境安全评估的结果有效期为2年，自评估结果出具之日起计算。在有效期内出现以下情形之一的，数据处理者应当重新申报评估：
　　（一）向境外提供数据的目的、方式、范围、种类和境外接收方处理数据的用途、方式发生变化影响出境数据安全的，或者延长个人信息和重要数据境外保存期限的；
　　（二）境外接收方所在国家或者地区数据安全保护政策法规和网络安全环境发生变化以及发生其他不可抗力情形、数据处理者或者境外接收方实际控制权发生变化、数据处理者与境外接收方法律文件变更等影响出境数据安全的；
　　（三）出现影响出境数据安全的其他情形。
　　有效期届满，需要继续开展数据出境活动的，数据处理者应当在有效期届满60个工作日前重新申报评估。",现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=14,6795a5ff05348c895918473ffa90c2d3_14,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.047831543,1
