标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国个人信息保护法第六十一条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第六十一条,第六十一条,"　履行个人信息保护职责的部门履行下列个人信息保护职责： 
（一）开展个人信息保护宣传教育，指导、监督个人信息处理者开展个人信息保护工作； 
（二）接受、处理与个人信息保护有关的投诉、举报； 
（三）组织对应用程序等个人信息保护情况进行测评，并公布测评结果； 
（四）调查、处理违法个人信息处理活动； 
（五）法律、行政法规规定的其他职责。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第六十一条##　履行个人信息保护职责的部门履行下列个人信息保护职责： 
（一）开展个人信息保护宣传教育，指导、监督个人信息处理者开展个人信息保护工作； 
（二）接受、处理与个人信息保护有关的投诉、举报； 
（三）组织对应用程序等个人信息保护情况进行测评，并公布测评结果； 
（四）调查、处理违法个人信息处理活动； 
（五）法律、行政法规规定的其他职责。",31.043642,61,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=61,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_61
中华人民共和国个人信息保护法第六十二条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第六十二条,第六十二条,"　国家网信部门统筹协调有关部门依据本法推进下列个人信息保护工作： 
（一）制定个人信息保护具体规则、标准； 
（二）针对小型个人信息处理者、处理敏感个人信息以及人脸识别、人工智能等新技术、新应用，制定专门的个人信息保护规则、标准； 
（三）支持研究开发和推广应用安全、方便的电子身份认证技术，推进网络身份认证公共服务建设； 
（四）推进个人信息保护社会化服务体系建设，支持有关机构开展个人信息保护评估、认证服务； 
（五）完善个人信息保护投诉、举报工作机制。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第六十二条##　国家网信部门统筹协调有关部门依据本法推进下列个人信息保护工作： 
（一）制定个人信息保护具体规则、标准； 
（二）针对小型个人信息处理者、处理敏感个人信息以及人脸识别、人工智能等新技术、新应用，制定专门的个人信息保护规则、标准； 
（三）支持研究开发和推广应用安全、方便的电子身份认证技术，推进网络身份认证公共服务建设； 
（四）推进个人信息保护社会化服务体系建设，支持有关机构开展个人信息保护评估、认证服务； 
（五）完善个人信息保护投诉、举报工作机制。",31.043642,62,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=62,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_62
中华人民共和国个人信息保护法第五十二条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第五十二条,第五十二条,"　处理个人信息达到国家网信部门规定数量的个人信息处理者应当指定个人信息保护负责人，负责对个人信息处理活动以及采取的保护措施等进行监督。 
个人信息处理者应当公开个人信息保护负责人的联系方式，并将个人信息保护负责人的姓名、联系方式等报送履行个人信息保护职责的部门。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第五十二条##　处理个人信息达到国家网信部门规定数量的个人信息处理者应当指定个人信息保护负责人，负责对个人信息处理活动以及采取的保护措施等进行监督。 
个人信息处理者应当公开个人信息保护负责人的联系方式，并将个人信息保护负责人的姓名、联系方式等报送履行个人信息保护职责的部门。",30.712963,52,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=52,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_52
中华人民共和国个人信息保护法第六十条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第六十条,第六十条,"　国家网信部门负责统筹协调个人信息保护工作和相关监督管理工作。国务院有关部门依照本法和有关法律、行政法规的规定，在各自职责范围内负责个人信息保护和监督管理工作。 
县级以上地方人民政府有关部门的个人信息保护和监督管理职责，按照国家有关规定确定。 
前两款规定的部门统称为履行个人信息保护职责的部门。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第六十条##　国家网信部门负责统筹协调个人信息保护工作和相关监督管理工作。国务院有关部门依照本法和有关法律、行政法规的规定，在各自职责范围内负责个人信息保护和监督管理工作。 
县级以上地方人民政府有关部门的个人信息保护和监督管理职责，按照国家有关规定确定。 
前两款规定的部门统称为履行个人信息保护职责的部门。",30.712963,60,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=60,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_60
中华人民共和国个人信息保护法第十一条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第十一条,第十一条,　国家建立健全个人信息保护制度，预防和惩治侵害个人信息权益的行为，加强个人信息保护宣传教育，推动形成政府、企业、相关社会组织、公众共同参与个人信息保护的良好环境。,现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律, - 《中华人民共和国个人信息保护法》第十一条##　国家建立健全个人信息保护制度，预防和惩治侵害个人信息权益的行为，加强个人信息保护宣传教育，推动形成政府、企业、相关社会组织、公众共同参与个人信息保护的良好环境。,30.568424,11,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=11,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_11
中华人民共和国个人信息保护法第十二条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第十二条,第十二条,　国家积极参与个人信息保护国际规则的制定，促进个人信息保护方面的国际交流与合作，推动与其他国家、地区、国际组织之间的个人信息保护规则、标准等互认。,现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律, - 《中华人民共和国个人信息保护法》第十二条##　国家积极参与个人信息保护国际规则的制定，促进个人信息保护方面的国际交流与合作，推动与其他国家、地区、国际组织之间的个人信息保护规则、标准等互认。,30.568424,12,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=12,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_12
中华人民共和国个人信息保护法第六十八条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第六十八条,第六十八条,"　国家机关不履行本法规定的个人信息保护义务的，由其上级机关或者履行个人信息保护职责的部门责令改正；对直接负责的主管人员和其他直接责任人员依法给予处分。 
履行个人信息保护职责的部门的工作人员玩忽职守、滥用职权、徇私舞弊，尚不构成犯罪的，依法给予处分。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第六十八条##　国家机关不履行本法规定的个人信息保护义务的，由其上级机关或者履行个人信息保护职责的部门责令改正；对直接负责的主管人员和其他直接责任人员依法给予处分。 
履行个人信息保护职责的部门的工作人员玩忽职守、滥用职权、徇私舞弊，尚不构成犯罪的，依法给予处分。",30.16861,68,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=68,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_68
中华人民共和国个人信息保护法第五十八条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第五十八条,第五十八条,"　提供重要互联网平台服务、用户数量巨大、业务类型复杂的个人信息处理者，应当履行下列义务： 
（一）按照国家规定建立健全个人信息保护合规制度体系，成立主要由外部成员组成的独立机构对个人信息保护情况进行监督； 
（二）遵循公开、公平、公正的原则，制定平台规则，明确平台内产品或者服务提供者处理个人信息的规范和保护个人信息的义务； 
（三）对严重违反法律、行政法规处理个人信息的平台内的产品或者服务提供者，停止提供服务； 
（四）定期发布个人信息保护社会责任报告，接受社会监督。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第五十八条##　提供重要互联网平台服务、用户数量巨大、业务类型复杂的个人信息处理者，应当履行下列义务： 
（一）按照国家规定建立健全个人信息保护合规制度体系，成立主要由外部成员组成的独立机构对个人信息保护情况进行监督； 
（二）遵循公开、公平、公正的原则，制定平台规则，明确平台内产品或者服务提供者处理个人信息的规范和保护个人信息的义务； 
（三）对严重违反法律、行政法规处理个人信息的平台内的产品或者服务提供者，停止提供服务； 
（四）定期发布个人信息保护社会责任报告，接受社会监督。",29.734053,58,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=58,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_58
中华人民共和国个人信息保护法第六十三条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第六十三条,第六十三条,"　履行个人信息保护职责的部门履行个人信息保护职责，可以采取下列措施： 
（一）询问有关当事人，调查与个人信息处理活动有关的情况； 
（二）查阅、复制当事人与个人信息处理活动有关的合同、记录、账簿以及其他有关资料； 
（三）实施现场检查，对涉嫌违法的个人信息处理活动进行调查； 
（四）检查与个人信息处理活动有关的设备、物品；对有证据证明是用于违法个人信息处理活动的设备、物品，向本部门主要负责人书面报告并经批准，可以查封或者扣押。 
履行个人信息保护职责的部门依法履行职责，当事人应当予以协助、配合，不得拒绝、阻挠。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第六十三条##　履行个人信息保护职责的部门履行个人信息保护职责，可以采取下列措施： 
（一）询问有关当事人，调查与个人信息处理活动有关的情况； 
（二）查阅、复制当事人与个人信息处理活动有关的合同、记录、账簿以及其他有关资料； 
（三）实施现场检查，对涉嫌违法的个人信息处理活动进行调查； 
（四）检查与个人信息处理活动有关的设备、物品；对有证据证明是用于违法个人信息处理活动的设备、物品，向本部门主要负责人书面报告并经批准，可以查封或者扣押。 
履行个人信息保护职责的部门依法履行职责，当事人应当予以协助、配合，不得拒绝、阻挠。",29.734053,63,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=63,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_63
中华人民共和国个人信息保护法第六十六条,中华人民共和国个人信息保护法,中华人民共和国个人信息保护法第六十六条,第六十六条,"　违反本法规定处理个人信息，或者处理个人信息未履行本法规定的个人信息保护义务的，由履行个人信息保护职责的部门责令改正，给予警告，没收违法所得，对违法处理个人信息的应用程序，责令暂停或者终止提供服务；拒不改正的，并处一百万元以下罚款；对直接负责的主管人员和其他直接责任人员处一万元以上十万元以下罚款。 
有前款规定的违法行为，情节严重的，由省级以上履行个人信息保护职责的部门责令改正，没收违法所得，并处五千万元以下或者上一年度营业额百分之五以下罚款，并可以责令暂停相关业务或者停业整顿、通报有关主管部门吊销相关业务许可或者吊销营业执照；对直接负责的主管人员和其他直接责任人员处十万元以上一百万元以下罚款，并可以决定禁止其在一定期限内担任相关企业的董事、监事、高级管理人员和个人信息保护负责人。",现行有效,法律,全国人大常委会,2021-11-01,中华人民共和国主席令第91号,2021-08-20,法律," - 《中华人民共和国个人信息保护法》第六十六条##　违反本法规定处理个人信息，或者处理个人信息未履行本法规定的个人信息保护义务的，由履行个人信息保护职责的部门责令改正，给予警告，没收违法所得，对违法处理个人信息的应用程序，责令暂停或者终止提供服务；拒不改正的，并处一百万元以下罚款；对直接负责的主管人员和其他直接责任人员处一万元以上十万元以下罚款。 
有前款规定的违法行为，情节严重的，由省级以上履行个人信息保护职责的部门责令改正，没收违法所得，并处五千万元以下或者上一年度营业额百分之五以下罚款，并可以责令暂停相关业务或者停业整顿、通报有关主管部门吊销相关业务许可或者吊销营业执照；对直接负责的主管人员和其他直接责任人员处十万元以上一百万元以下罚款，并可以决定禁止其在一定期限内担任相关企业的董事、监事、高级管理人员和个人信息保护负责人。",29.651892,66,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=66,b6539377aaaa0f3661e48fbbcf343dc4,b6539377aaaa0f3661e48fbbcf343dc4_66
