法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于办理人身安全保护令案件适用法律若干问题的规定,第五条,"　当事人及其代理人对因客观原因不能自行收集的证据，申请人民法院调查收集，符合《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第九十四条第一款规定情形的，人民法院应当调查收集。 
　　人民法院经审查，认为办理案件需要的证据符合《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第九十六条规定的，应当调查收集。",现行有效,司法解释,高法司法解释,中央,20220801,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9bf3ee0cccd1242464a6e71162dc6bca?text=5,9bf3ee0cccd1242464a6e71162dc6bca_5,9bf3ee0cccd1242464a6e71162dc6bca,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1917154399999998,1
最高人民法院关于民事诉讼证据的若干规定(2019修正),第二十条,"　当事人及其诉讼代理人申请人民法院调查收集证据，应当在举证期限届满前提交书面申请。 
　　申请书应当载明被调查人的姓名或者单位名称、住所地等基本情况、所要调查收集的证据名称或者内容、需要由人民法院调查收集证据的原因及其要证明的事实以及明确的线索。",现行有效,司法解释,高法司法解释,中央,20200501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/21d0c4b7c7833b78c7217600f2be8693?text=20,21d0c4b7c7833b78c7217600f2be8693_20,21d0c4b7c7833b78c7217600f2be8693,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.19069328,1
最高人民法院关于行政诉讼证据若干问题的规定,第二十四条,"　当事人申请人民法院调取证据的，应当在举证期限内提交调取证据申请书。 
　　调取证据申请书应当写明下列内容： 
　　（一）证据持有人的姓名或者名称、住址等基本情况； 
　　（二）拟调取证据的内容； 
　　（三）申请调取证据的原因及其要证明的案件事实。",现行有效,司法解释,高法司法解释,中央,20021001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cec5dfff41c2a23b429b09bd95aa445e?text=24,cec5dfff41c2a23b429b09bd95aa445e_24,cec5dfff41c2a23b429b09bd95aa445e,[],1.18807632,1
最高人民法院关于行政诉讼证据若干问题的规定,第二十五条,"　人民法院对当事人调取证据的申请，经审查符合调取证据条件的，应当及时决定调取；不符合调取证据条件的，应当向当事人或者其诉讼代理人送达通知书，说明不准许调取的理由。当事人及其诉讼代理人可以在收到通知书之日起三日内向受理申请的人民法院书面申请复议一次。 
　　人民法院应当在收到复议申请之日起五日内作出答复。人民法院根据当事人申请，经调取未能取得相应证据的，应当告知申请人并说明原因。",现行有效,司法解释,高法司法解释,中央,20021001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cec5dfff41c2a23b429b09bd95aa445e?text=25,cec5dfff41c2a23b429b09bd95aa445e_25,cec5dfff41c2a23b429b09bd95aa445e,[],1.1875099919999998,1
最高人民法院关于生态环境侵权民事诉讼证据的若干规定,第十条,"对于可能损害国家利益、社会公共利益的事实，双方当事人未主张或者无争议，人民法院认为可能影响裁判结果的，可以责令当事人提供有关证据。
　　前款规定的证据，当事人申请人民法院调查收集，符合《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第九十四条规定情形的，人民法院应当准许；人民法院认为有必要的，可以依职权调查收集。",现行有效,司法解释,高法司法解释,中央,20230901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e934e068e3726340c6da9a8f3932f7b3?text=10,e934e068e3726340c6da9a8f3932f7b3_10,e934e068e3726340c6da9a8f3932f7b3,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.18575708,1
最高人民法院关于行政诉讼证据若干问题的规定,第三十八条,"当事人申请人民法院调取的证据，由申请调取证据的当事人在庭审中出示，并由当事人质证。 
　　人民法院依职权调取的证据，由法庭出示，并可就调取该证据的情况进行说明，听取当事人意见。",现行有效,司法解释,高法司法解释,中央,20021001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cec5dfff41c2a23b429b09bd95aa445e?text=38,cec5dfff41c2a23b429b09bd95aa445e_38,cec5dfff41c2a23b429b09bd95aa445e,[],1.184495328,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第五十七条,　辩护人认为在调查、侦查、审查起诉期间监察机关、公安机关、人民检察院收集的证明被告人无罪或者罪轻的证据材料未随案移送，申请人民法院调取的，应当以书面形式提出，并提供相关线索或者材料。人民法院接受申请后，应当向人民检察院调取。人民检察院移送相关证据材料后，人民法院应当及时通知辩护人。,现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=57,27f2a1c90daf9dce939acd155a8e1966_57,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.182993084,1
中华人民共和国民事诉讼法(2023修正),第二百八十四条,"　当事人申请人民法院调查收集的证据位于中华人民共和国领域外，人民法院可以依照证据所在国与中华人民共和国缔结或者共同参加的国际条约中规定的方式，或者通过外交途径调查收集。
在所在国法律不禁止的情况下，人民法院可以采用下列方式调查收集：
（一）对具有中华人民共和国国籍的当事人、证人，可以委托中华人民共和国驻当事人、证人所在国的使领馆代为取证；
（二）经双方当事人同意，通过即时通讯工具取证；
（三）以双方当事人同意的其他方式取证。",现行有效,法律,法律,中央,20240101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f1b65a4dca3d6472206978435e2ea215?text=284,f1b65a4dca3d6472206978435e2ea215_284,f1b65a4dca3d6472206978435e2ea215,"['企业法##纠纷解决', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '企业法', '上市公司法##民事责任', '上市公司法', '上市公司法##上市公司']",1.18272912,1
最高人民法院、最高人民检察院、公安部等印发《关于依法保障律师执业权利的规定》的通知,第二十条,　在民事诉讼、行政诉讼过程中，律师因客观原因无法自行收集证据的，可以依法向人民法院申请调取。经审查符合规定的，人民法院应当予以调取。,现行有效,司法解释,司法解释性质文件,中央,20150916,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/31411be6768008a5d10d02ae2770a043?text=20,31411be6768008a5d10d02ae2770a043_20,31411be6768008a5d10d02ae2770a043,[],1.182528516,1
最高人民法院关于印发《第二次全国涉外商事海事审判工作会议纪要》的通知,第四十四条,当事人在一审时申请人民法院调取证据未获准许，而在二审或者再审期间申请调取证据的，视下列情况分别处理：(1)人民法院经审查认为，不调取证据不会影响裁判结果的，对当事人的申请不予准许；(2)人民法院经审查认为，不调取证据可能导致案件的主要事实不清的，对当事人的申请应予准许。,现行有效,司法解释,司法解释性质文件,中央,20051226,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d864623c20d242c92ab62f9fccfe589d?text=44,d864623c20d242c92ab62f9fccfe589d_44,d864623c20d242c92ab62f9fccfe589d,[],1.175507712,1
