标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国民法典第一千一百九十一条,中华人民共和国民法典,中华人民共和国民法典第一千一百九十一条,第一千一百九十一条,"　用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。用人单位承担侵权责任后，可以向有故意或者重大过失的工作人员追偿。 
　　劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的责任。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百九十一条##　用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。用人单位承担侵权责任后，可以向有故意或者重大过失的工作人员追偿。 
　　劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的责任。",30.812967,1191,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1191,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1191
中华人民共和国民法典第一千二百四十八条,中华人民共和国民法典,中华人民共和国民法典第一千二百四十八条,第一千二百四十八条,　动物园的动物造成他人损害的，动物园应当承担侵权责任；但是，能够证明尽到管理职责的，不承担侵权责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千二百四十八条##　动物园的动物造成他人损害的，动物园应当承担侵权责任；但是，能够证明尽到管理职责的，不承担侵权责任。,30.478996,1248,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1248,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1248
中华人民共和国民法典第一千一百九十二条,中华人民共和国民法典,中华人民共和国民法典第一千一百九十二条,第一千一百九十二条,"　个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。 
　　提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百九十二条##　个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。 
　　提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。",30.363878,1192,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1192,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1192
中华人民共和国民法典第一千一百六十五条,中华人民共和国民法典,中华人民共和国民法典第一千一百六十五条,第一千一百六十五条,"　行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。 
　　依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百六十五条##　行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。 
　　依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。",30.33904,1165,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1165,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1165
中华人民共和国民法典第一千二百四十一条,中华人民共和国民法典,中华人民共和国民法典第一千二百四十一条,第一千二百四十一条,　遗失、抛弃高度危险物造成他人损害的，由所有人承担侵权责任。所有人将高度危险物交由他人管理的，由管理人承担侵权责任；所有人有过错的，与管理人承担连带责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千二百四十一条##　遗失、抛弃高度危险物造成他人损害的，由所有人承担侵权责任。所有人将高度危险物交由他人管理的，由管理人承担侵权责任；所有人有过错的，与管理人承担连带责任。,30.33904,1241,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1241,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1241
中华人民共和国民法典第一千一百九十九条,中华人民共和国民法典,中华人民共和国民法典第一千一百九十九条,第一千一百九十九条,　无民事行为能力人在幼儿园、学校或者其他教育机构学习、生活期间受到人身损害的，幼儿园、学校或者其他教育机构应当承担侵权责任；但是，能够证明尽到教育、管理职责的，不承担侵权责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千一百九十九条##　无民事行为能力人在幼儿园、学校或者其他教育机构学习、生活期间受到人身损害的，幼儿园、学校或者其他教育机构应当承担侵权责任；但是，能够证明尽到教育、管理职责的，不承担侵权责任。,30.128296,1199,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1199,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1199
中华人民共和国民法典第一千二百五十八条,中华人民共和国民法典,中华人民共和国民法典第一千二百五十八条,第一千二百五十八条,"　在公共场所或者道路上挖掘、修缮安装地下设施等造成他人损害，施工人不能证明已经设置明显标志和采取安全措施的，应当承担侵权责任。 
　　窨井等地下设施造成他人损害，管理人不能证明尽到管理职责的，应当承担侵权责任。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千二百五十八条##　在公共场所或者道路上挖掘、修缮安装地下设施等造成他人损害，施工人不能证明已经设置明显标志和采取安全措施的，应当承担侵权责任。 
　　窨井等地下设施造成他人损害，管理人不能证明尽到管理职责的，应当承担侵权责任。",30.128296,1258,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1258,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1258
最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一)第四条,最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一),最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一)第四条,第四条,无民事行为能力人、限制民事行为能力人造成他人损害，被侵权人请求监护人承担侵权责任，或者合并请求监护人和受托履行监护职责的人承担侵权责任的，人民法院应当将无民事行为能力人、限制民事行为能力人列为共同被告。,现行有效,司法解释,最高人民法院,2024-09-27,法释〔2024〕12号,2024-09-25,高法司法解释, - 《最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一)》第四条##无民事行为能力人、限制民事行为能力人造成他人损害，被侵权人请求监护人承担侵权责任，或者合并请求监护人和受托履行监护职责的人承担侵权责任的，人民法院应当将无民事行为能力人、限制民事行为能力人列为共同被告。,30.101439,4,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/95b811a4cd922f346d0e29d92b5d2aac?text=4,95b811a4cd922f346d0e29d92b5d2aac,95b811a4cd922f346d0e29d92b5d2aac_4
最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一)第九条,最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一),最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一)第九条,第九条,未成年子女造成他人损害的，依照民法典第一千零七十二条第二款的规定，未与该子女形成抚养教育关系的继父或者继母不承担监护人的侵权责任，由该子女的生父母依照本解释第八条的规定承担侵权责任。,现行有效,司法解释,最高人民法院,2024-09-27,法释〔2024〕12号,2024-09-25,高法司法解释, - 《最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一)》第九条##未成年子女造成他人损害的，依照民法典第一千零七十二条第二款的规定，未与该子女形成抚养教育关系的继父或者继母不承担监护人的侵权责任，由该子女的生父母依照本解释第八条的规定承担侵权责任。,30.101439,9,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/95b811a4cd922f346d0e29d92b5d2aac?text=9,95b811a4cd922f346d0e29d92b5d2aac,95b811a4cd922f346d0e29d92b5d2aac_9
中华人民共和国民法典第一千一百八十八条,中华人民共和国民法典,中华人民共和国民法典第一千一百八十八条,第一千一百八十八条,"　无民事行为能力人、限制民事行为能力人造成他人损害的，由监护人承担侵权责任。监护人尽到监护职责的，可以减轻其侵权责任。 
　　有财产的无民事行为能力人、限制民事行为能力人造成他人损害的，从本人财产中支付赔偿费用；不足部分，由监护人赔偿。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百八十八条##　无民事行为能力人、限制民事行为能力人造成他人损害的，由监护人承担侵权责任。监护人尽到监护职责的，可以减轻其侵权责任。 
　　有财产的无民事行为能力人、限制民事行为能力人造成他人损害的，从本人财产中支付赔偿费用；不足部分，由监护人赔偿。",29.791264,1188,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1188,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1188
