标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发文字号,发布日期,二级效力级别,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国民法典第一千一百六十五条,中华人民共和国民法典,中华人民共和国民法典第一千一百六十五条,第一千一百六十五条,"　行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。 
　　依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百六十五条##　行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。 
　　依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。",41.15381,1165,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1165,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1165
中华人民共和国民法典第一千一百九十条,中华人民共和国民法典,中华人民共和国民法典第一千一百九十条,第一千一百九十条,"　完全民事行为能力人对自己的行为暂时没有意识或者失去控制造成他人损害有过错的，应当承担侵权责任；没有过错的，根据行为人的经济状况对受害人适当补偿。 
　　完全民事行为能力人因醉酒、滥用麻醉药品或者精神药品对自己的行为暂时没有意识或者失去控制造成他人损害的，应当承担侵权责任。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百九十条##　完全民事行为能力人对自己的行为暂时没有意识或者失去控制造成他人损害有过错的，应当承担侵权责任；没有过错的，根据行为人的经济状况对受害人适当补偿。 
　　完全民事行为能力人因醉酒、滥用麻醉药品或者精神药品对自己的行为暂时没有意识或者失去控制造成他人损害的，应当承担侵权责任。",39.65149,1190,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1190,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1190
中华人民共和国民法典第一千二百四十一条,中华人民共和国民法典,中华人民共和国民法典第一千二百四十一条,第一千二百四十一条,　遗失、抛弃高度危险物造成他人损害的，由所有人承担侵权责任。所有人将高度危险物交由他人管理的，由管理人承担侵权责任；所有人有过错的，与管理人承担连带责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千二百四十一条##　遗失、抛弃高度危险物造成他人损害的，由所有人承担侵权责任。所有人将高度危险物交由他人管理的，由管理人承担侵权责任；所有人有过错的，与管理人承担连带责任。,39.123043,1241,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1241,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1241
中华人民共和国民法典第一千一百九十一条,中华人民共和国民法典,中华人民共和国民法典第一千一百九十一条,第一千一百九十一条,"　用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。用人单位承担侵权责任后，可以向有故意或者重大过失的工作人员追偿。 
　　劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的责任。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百九十一条##　用人单位的工作人员因执行工作任务造成他人损害的，由用人单位承担侵权责任。用人单位承担侵权责任后，可以向有故意或者重大过失的工作人员追偿。 
　　劳务派遣期间，被派遣的工作人员因执行工作任务造成他人损害的，由接受劳务派遣的用工单位承担侵权责任；劳务派遣单位有过错的，承担相应的责任。",39.072662,1191,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1191,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1191
中华人民共和国民法典第一千一百九十二条,中华人民共和国民法典,中华人民共和国民法典第一千一百九十二条,第一千一百九十二条,"　个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。 
　　提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。",现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律," - 《中华人民共和国民法典》第一千一百九十二条##　个人之间形成劳务关系，提供劳务一方因劳务造成他人损害的，由接受劳务一方承担侵权责任。接受劳务一方承担侵权责任后，可以向有故意或者重大过失的提供劳务一方追偿。提供劳务一方因劳务受到损害的，根据双方各自的过错承担相应的责任。 
　　提供劳务期间，因第三人的行为造成提供劳务一方损害的，提供劳务一方有权请求第三人承担侵权责任，也有权请求接受劳务一方给予补偿。接受劳务一方补偿后，可以向第三人追偿。",38.09407,1192,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1192,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1192
中华人民共和国民法典第一千二百五十五条,中华人民共和国民法典,中华人民共和国民法典第一千二百五十五条,第一千二百五十五条,　堆放物倒塌、滚落或者滑落造成他人损害，堆放人不能证明自己没有过错的，应当承担侵权责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千二百五十五条##　堆放物倒塌、滚落或者滑落造成他人损害，堆放人不能证明自己没有过错的，应当承担侵权责任。,37.3087,1255,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1255,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1255
中华人民共和国民法典第一千二百五十七条,中华人民共和国民法典,中华人民共和国民法典第一千二百五十七条,第一千二百五十七条,　因林木折断、倾倒或者果实坠落等造成他人损害，林木的所有人或者管理人不能证明自己没有过错的，应当承担侵权责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千二百五十七条##　因林木折断、倾倒或者果实坠落等造成他人损害，林木的所有人或者管理人不能证明自己没有过错的，应当承担侵权责任。,37.3087,1257,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1257,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1257
中华人民共和国民法典第一千一百六十六条,中华人民共和国民法典,中华人民共和国民法典第一千一百六十六条,第一千一百六十六条,　行为人造成他人民事权益损害，不论行为人有无过错，法律规定应当承担侵权责任的，依照其规定。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千一百六十六条##　行为人造成他人民事权益损害，不论行为人有无过错，法律规定应当承担侵权责任的，依照其规定。,37.3087,1166,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1166,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1166
中华人民共和国民法典第一千一百九十三条,中华人民共和国民法典,中华人民共和国民法典第一千一百九十三条,第一千一百九十三条,　承揽人在完成工作过程中造成第三人损害或者自己损害的，定作人不承担侵权责任。但是，定作人对定作、指示或者选任有过错的，应当承担相应的责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千一百九十三条##　承揽人在完成工作过程中造成第三人损害或者自己损害的，定作人不承担侵权责任。但是，定作人对定作、指示或者选任有过错的，应当承担相应的责任。,36.962692,1193,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1193,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1193
中华人民共和国民法典第一千一百八十九条,中华人民共和国民法典,中华人民共和国民法典第一千一百八十九条,第一千一百八十九条,　无民事行为能力人、限制民事行为能力人造成他人损害，监护人将监护职责委托给他人的，监护人应当承担侵权责任；受托人有过错的，承担相应的责任。,现行有效,法律,全国人民代表大会,2021-01-01,中华人民共和国主席令第45号,2020-05-28,法律, - 《中华人民共和国民法典》第一千一百八十九条##　无民事行为能力人、限制民事行为能力人造成他人损害，监护人将监护职责委托给他人的，监护人应当承担侵权责任；受托人有过错的，承担相应的责任。,36.962692,1189,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1189,55dceb7d83a1c90e3fe9c141b1118193,55dceb7d83a1c90e3fe9c141b1118193_1189
