法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国行政处罚法(2021修订),第四十七条,　行政机关应当依法以文字、音像等形式，对行政处罚的启动、调查取证、审核、决定、送达、执行等进行全过程记录，归档保存。,现行有效,法律,法律,中央,20210715,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0c15f68cf89e1339125e9f41d5d31c67?text=47,0c15f68cf89e1339125e9f41d5d31c67_47,0c15f68cf89e1339125e9f41d5d31c67,"['财税##财政法规', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.17479472,1
自然资源执法监督规定(2020修正),第二十条,"　县级以上自然资源主管部门实行行政执法全过程记录制度。根据情况可以采取下列记录方式，实现全过程留痕和可回溯管理： 
　　（一）将行政执法文书作为全过程记录的基本形式； 
　　（二）对现场检查、随机抽查、调查取证、听证、行政强制、送达等容易引发争议的行政执法过程，进行音像记录； 
　　（三）对直接涉及重大财产权益的现场执法活动和执法场所，进行音像记录； 
　　（四）对重大、复杂、疑难的行政执法案件，进行音像记录； 
　　（五）其他对当事人权利义务有重大影响的，进行音像记录。",现行有效,部门规章,部门规章,中央,20200320,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/61cee8fff262d0109baaedb4907c962f?text=20,61cee8fff262d0109baaedb4907c962f_20,61cee8fff262d0109baaedb4907c962f,[],1.0784331470000001,1
国务院办公厅关于全面推行行政执法公示制度执法全过程记录制度重大执法决定法制审核制度的指导意见,第三条,要完善执法案卷管理制度，加强对执法台账和法律文书的制作、使用、管理，按照有关法律法规和档案管理规定归档保存执法全过程记录资料，确保所有行政执法行为有据可查。对涉及国家秘密、商业秘密、个人隐私的记录资料，归档时要严格执行国家有关规定。积极探索成本低、效果好、易保存、防删改的信息化记录储存方式，通过技术手段对同一执法对象的文字记录、音像记录进行集中储存。建立健全基于互联网、电子认证、电子签章的行政执法全过程数据化记录工作机制，形成业务流程清晰、数据链条完整、数据安全有保障的数字化记录信息归档管理制度。　　（十）发挥记录作用。要充分发挥全过程记录信息对案卷评查、执法监督、评议考核、舆情应对、行政决策和健全社会信用体系等工作的积极作用，善于通过统计分析记录资料信息，发现行政执法薄弱环节，改进行政执法工作，依法公正维护执法人员和行政相对人的合法权益。建立健全记录信息调阅监督制度，做到可实时调阅，切实加强监督，确保行政执法文字记录、音像记录规范、合法、有效。,现行有效,行政法规,国务院规范性文件,中央,20181205,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d4a33b0734e951a2c2e43afb773c050c?text=3,d4a33b0734e951a2c2e43afb773c050c_3,d4a33b0734e951a2c2e43afb773c050c,"['财税##其他财经法规', '财税##其他财经法规##国务院', '财税']",1.05606897,1
重大行政决策程序暂行条例,第三十三条,　决策机关应当建立重大行政决策过程记录和材料归档制度，由有关单位将履行决策程序形成的记录、材料及时完整归档。,现行有效,行政法规,行政法规,中央,20190901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/16fd7711f3885c675294bb33b3441db4?text=33,16fd7711f3885c675294bb33b3441db4_33,16fd7711f3885c675294bb33b3441db4,"['财税##其他财经法规', '财税##其他财经法规##国务院', '财税']",1.0485068000000002,1
生态环境执法人员行为规范,第十八条,在承办行政处罚、行政强制、监督帮扶、挂牌督办、案件调查、信访处理等工作中，遇到任何单位或个人插手干预的，应当对相关事项全面、如实、及时记录和报告。,现行有效,部门规章,部门规范性文件,,20240103,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1e2c42e61c31e9937cf591530bc93c54?text=18,1e2c42e61c31e9937cf591530bc93c54_18,1e2c42e61c31e9937cf591530bc93c54,[],0.9900041030000001,1
国家安全机关行政执法程序规定,第六条,　国家安全机关开展行政执法，应当落实执法全过程记录制度，通过文字、音像等形式，对行政执法过程进行记录，做到执法全过程留痕和可回溯管理。,现行有效,部门规章,部门规章,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aae80c8d229d8830772e57d71b14c0c9?text=6,aae80c8d229d8830772e57d71b14c0c9_6,aae80c8d229d8830772e57d71b14c0c9,[],0.9888385100000001,1
交通运输行政执法程序规定(2021修正),第二十九条,　实施行政检查，应当制作检查记录，如实记录检查情况。对于行政检查过程中涉及到的证据材料，应当依法及时采集和保存。,现行有效,部门规章,部门规章,中央,20210715,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f2329dd9e3381d4a24cbf73fa207108b?text=29,f2329dd9e3381d4a24cbf73fa207108b_29,f2329dd9e3381d4a24cbf73fa207108b,[],0.9778468700000001,1
国家安全监管总局办公厅关于印发《安全生产监管监察部门音像电子文件归档管理规定》的通知,第五条,"　归档范围。 
（一）记录本单位的重大活动、重要会议、重要工程。 
（二）记录本单位组织或参与处置重大事件、抢险救援活动，包括自然灾害、事故、突发事件。 
（三）记录本单位法制建设、安全执法、隐患治理、行政许可、专项整治、督查督办、安全宣教等工作的过程及成果。 
（四）记录本单位劳动模范、先进人物及其典型活动。 
（五）本单位历届领导班子成员的证件照片。 
（六）记录上级领导和著名人物前来本单位检查、视察工作或参加与本单位有关的重大公务活动。 
（七）其他具有保存价值的音像类电子文件。",现行有效,部门规章,部门规范性文件,,20170101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f2cc8436adb188014f2c92edf3506e85?text=5,f2cc8436adb188014f2c92edf3506e85_5,f2cc8436adb188014f2c92edf3506e85,[],0.9691021450000001,1
国家市场监督管理总局关于印发《市场监管执法行为规范》的通知,第十八条,执法人员在办案过程中应当以文字、音像等形式，对行政处罚的启动、调查取证、审核、决定、送达、执行等进行全过程记录。,现行有效,部门规章,部门规范性文件,,20241018,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7c55e9eae17baf311414ec9b4e8a4763?text=18,7c55e9eae17baf311414ec9b4e8a4763_18,7c55e9eae17baf311414ec9b4e8a4763,[],0.9612483650000001,1
社会组织登记管理机关行政处罚程序规定(2021),第六条,　登记管理机关应当依法以文字、音像等形式，对行政处罚的启动、调查取证、审核、决定、送达、执行等进行全过程记录，归档保存。,现行有效,部门规章,部门规章,中央,20211015,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4f6141092daf67cb56bb59ae7190ffb3?text=6,4f6141092daf67cb56bb59ae7190ffb3_6,4f6141092daf67cb56bb59ae7190ffb3,[],0.9591029360000001,1
