法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
市场监管总局关于印发《市场监督管理行政执法电子数据取证暂行规定》的通知,第六条,"本规定所称的电子数据是指与案件相关，以数字化形式存储、处理、传输，能够证明案件事实的信息。
电子数据包括但不限于下列信息、电子文件：
（一）文档、图片、音视频等电子文件及其属性信息；
（二）网页、博客、论坛等网络平台发布的信息；
（三）用户注册信息、身份认证信息、数字签名等用户身份信息；
（四）交易记录、浏览记录、操作记录等用户行为信息；
（五）源代码、工具软件、运行脚本等行为工具信息；
（六）系统日志、应用程序日志、安全日志等系统运行信息；
（七）在各类网络应用服务中存储的与案件相关的信息文件等。",现行有效,部门规章,部门规范性文件,,20240407,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2f9784d8046be9d2b4e7abfc6b5b99ce?text=6,2f9784d8046be9d2b4e7abfc6b5b99ce_6,2f9784d8046be9d2b4e7abfc6b5b99ce,"['财税##其他财经法规', '财税', '财税##其他财经法规##市场监督管理']",0.927149454,1
最高人民法院关于印发《人民法院案件统计信息管理规定》的通知,第二条,本规定所称案件统计信息是指各级人民法院按照案件统计信息标准采集的案件信息、统计数据以及分析形成的报告等。,现行有效,司法解释,高法司法解释,中央,20150129,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/87450ac42438e49e4bc9387f97972593?text=2,87450ac42438e49e4bc9387f97972593_2,87450ac42438e49e4bc9387f97972593,[],0.782024928,1
国家市场监督管理总局、国家知识产权局关于印发《商标行政执法证据规定》的通知,第八条,"电子数据是指以数字化形式存储、处理、传输，能够证明案件事实的信息，包括但不限于下列信息、电子文件：
　　（一）文档、图片、录音资料、录像资料等电子文件及其属性信息；
　　（二）网页、博客、论坛等网络平台发布的信息；
　　（三）用户注册信息、身份认证信息、数字签名等用户身份信息；
　　（四）交易记录、浏览记录、操作记录等用户行为信息；
　　（五）系统日志、应用程序日志、安全日志等系统运行信息；
　　（六）源代码、工具软件、运行脚本等行为工具信息；
　　（七）在各类网络应用服务中存储的与案件相关的信息文件等。",现行有效,部门规章,部门规范性文件,,20250101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6b8b234145875bbb0bce044f224eaabc?text=8,6b8b234145875bbb0bce044f224eaabc_8,6b8b234145875bbb0bce044f224eaabc,[],0.76213478,1
国家安全机关办理刑事案件程序规定,第八十条,"　电子数据是案件发生过程中形成的，以数字化形式存储、处理、传输的，能够证明案件事实的数据。电子数据包括但不限于下列信息、电子文件：
（一）网页、博客、微博客、朋友圈、贴吧、网盘等网络平台发布的信息；
（二）手机短信、电子邮件、即时通信、通讯群组等网络应用服务的通信信息；
（三）用户注册信息、身份认证信息、电子交易记录、通信记录、登录日志等信息；
（四）文档、图片、音视频、数字证书、程序、计算机网络设备运行日志记录等电子文件。",现行有效,部门规章,部门规章,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7a34758c3ff3f074b15868cff85addcf?text=80,7a34758c3ff3f074b15868cff85addcf_80,7a34758c3ff3f074b15868cff85addcf,[],0.75210993,1
最高人民法院关于民事诉讼证据的若干规定(2019修正),第十四条,"　电子数据包括下列信息、电子文件： 
　　（一）网页、博客、微博客等网络平台发布的信息； 
　　（二）手机短信、电子邮件、即时通信、通讯群组等网络应用服务的通信信息； 
　　（三）用户注册信息、身份认证信息、电子交易记录、通信记录、登录日志等信息； 
　　（四）文档、图片、音频、视频、数字证书、计算机程序等电子文件； 
　　（五）其他以数字化形式存储、处理、传输的能够证明案件事实的信息。",现行有效,司法解释,高法司法解释,中央,20200501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/21d0c4b7c7833b78c7217600f2be8693?text=14,21d0c4b7c7833b78c7217600f2be8693_14,21d0c4b7c7833b78c7217600f2be8693,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.6184694759999999,1
最高人民法院关于印发《人民法院案件统计信息管理规定》的通知,第三条,案件统计信息标准由最高人民法院统一制定并发布，各级人民法院应当在审判执行工作和案件统计信息管理工作中严格执行。,现行有效,司法解释,高法司法解释,中央,20150129,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/87450ac42438e49e4bc9387f97972593?text=3,87450ac42438e49e4bc9387f97972593_3,87450ac42438e49e4bc9387f97972593,[],0.490286064,1
最高人民法院关于印发《人民法院案件统计信息管理规定》的通知,,"　　各省、自治区、直辖市高级人民法院，解放军军事法院，新疆维吾尔自治区高级人民法院生产建设兵团分院：
　　司法统计工作是人民法院的一项基础性、全局性、战略性工作。为贯彻落实全国法院第四次司法统计工作会议精神，树立“大数据、大格局、大服务”的司法统计理念，充分发挥司法统计作为人民法院发展“大数据”战略前沿部门的重要作用，加强人民法院案件统计信息管理，确保案件统计信息的准确、完整、规范、及时、安全，最高人民法院制定了《人民法院案件统计信息管理规定》（以下简称《规定》）。　　《规定》明确了人民法院案件统计信息与案件统计信息标准，案件统计信息采集、校验、流转与质量控制，案件统计信息分析、使用与发布以及管理职责等方面的具体内容。",现行有效,司法解释,高法司法解释,中央,20150129,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/87450ac42438e49e4bc9387f97972593,,87450ac42438e49e4bc9387f97972593,[],0.41359677599999994,3
最高人民法院印发《关于修改＜关于人民法院案件案号的若干规定＞的决定》的通知(2018),第二条,将第三条第一款修改为：“案号各基本要素的编排规格为：‘（’＋收案年度＋‘）’＋法院代字＋专门审判代字＋类型代字＋案件编号＋‘号’。”,现行有效,司法解释,高法司法解释,中央,20190101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/df24ce9e9a94300a7358da88d4232942?text=2,df24ce9e9a94300a7358da88d4232942_2,df24ce9e9a94300a7358da88d4232942,[],0.30752783999999994,1
公安机关办理刑事案件电子数据取证规则,第五条,　公安机关接受或者依法调取的其他国家机关在行政执法和查办案件过程中依法收集、提取的电子数据可以作为刑事案件的证据使用。,现行有效,部门规章,部门规范性文件,,20190201,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0d63ef85c49d0a7d6a0f3654d4044ca4?text=5,0d63ef85c49d0a7d6a0f3654d4044ca4_5,0d63ef85c49d0a7d6a0f3654d4044ca4,[],0.26959352200000003,1
公安部关于建立健全公安机关执法全流程记录机制的意见,第三条,对受立案、采取强制措施、案件处理、移送审查起诉等办案重点环节和取证重大瑕疵、超出办理期限、超期羁押等执法问题进行分类统计，为分析研判执法情况提供基础，为领导决策、改进执法、精准培训等工作提供准确参考。,现行有效,部门规章,部门规范性文件,,20180619,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/65a27ebecc7974b2c691618aeb10a893?text=3,65a27ebecc7974b2c691618aeb10a893_3,65a27ebecc7974b2c691618aeb10a893,[],0.26780877200000003,1
