法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
司法鉴定执业活动投诉处理办法(2019),第二十七条,"　对于被投诉人存在违法违规行为并被处罚、处理的，司法行政机关应当及时将投诉处理结果通报委托办案机关和相关司法鉴定协会，并向社会公开。 
司法行政机关应当将前款中的投诉处理结果记入被投诉人的司法鉴定执业诚信档案。",现行有效,部门规章,部门规章,中央,20190601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a6ff683d87736183d9e62f992fc5d514?text=27,a6ff683d87736183d9e62f992fc5d514_27,a6ff683d87736183d9e62f992fc5d514,[],0.9401064200000001,1
人民检察院刑事诉讼规则(2019修订),第三百三十四条,"　人民检察院对鉴定意见有疑问的，可以询问鉴定人或者有专门知识的人并制作笔录附卷，也可以指派有鉴定资格的检察技术人员或者聘请其他有鉴定资格的人进行补充鉴定或者重新鉴定。 
人民检察院对鉴定意见等技术性证据材料需要进行专门审查的，按照有关规定交检察技术人员或者其他有专门知识的人进行审查并出具审查意见。",现行有效,司法解释,高检司法解释,中央,20191230,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a6876dbc21b812d11f4dc6f150577273?text=334,a6876dbc21b812d11f4dc6f150577273_334,a6876dbc21b812d11f4dc6f150577273,[],0.9026335679999999,1
最高人民法院关于安徽腾辉国际城开发有限公司、安徽腾辉投资集团有限公司、王某水申请撤销仲裁裁决案件请示的复函,,人民法院认定该裁决违背社会公共利益的，应当裁定撤销”的规定，本案应审查：（1）仲裁是否严重违反法定程序；（2）裁决所依据的证据是否为伪造；（3）是否存在隐瞒了足以影响公正裁决的证据。　　关于仲裁是否违反法定程序问题。申请人主张鉴定机构的选定严重违反法定程序，仲裁庭在未经当事人协商也未进行公开摇号的情况下，排除当事人的权利，强行违法指定鉴定机构直接导致鉴定结果的不真实，应当撤销仲裁裁决。《最高人民法院关于适用〈中华人民共和国仲裁法〉若干问题的解释》第二十条规定：“仲裁法第五十八条规定的‘违反法定程序’，是指违反仲裁法规定的仲裁程序和当事人选择的仲裁规则可能影响案件正确裁决的情形。”仲裁庭有指定鉴定部门鉴定的权利，本案阜阳仲裁委指定江苏某工程咨询有限公司作为鉴定机构并无不妥。但并没有证据显示阜阳仲裁委将指定鉴定机构通知送达了江苏某工程咨询有限公司。根据录音资料显示，江苏某工程咨询有限公司对（2020）006号工程造价鉴定意见书的出具以及加盖公司公章不知情，并明确表示要撤回该鉴定意见书。　　申请人主张鉴定人未出庭作证接受质询明显违法。,现行有效,司法解释,司法解释性质文件,中央,20210331,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1893421b9e7a9af98f0ba8d59daffb9d,,1893421b9e7a9af98f0ba8d59daffb9d,[],0.7845484199999999,2
知识产权行政保护技术调查官管理办法,第三十二条,技术调查意见仅作为办案人员认定技术事实的参考，不对外公开，不接受双方当事人质证，在归档时置于案件卷宗副卷，不接受当事人及其代理人的查阅。法律另有规定除外。,现行有效,部门规章,部门规范性文件,,20230915,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/68c14111d08400aa94ee11a544eb19eb?text=32,68c14111d08400aa94ee11a544eb19eb_32,68c14111d08400aa94ee11a544eb19eb,[],0.742045315,1
律师办理买卖合同法律事务操作指引,第二百一十条,　审查鉴定意见应审查委托方式、鉴定机构资质、鉴定人员资质、鉴定意见的相关证据、内容的客观性、真实性等，单方委托鉴定机构出具的鉴定意见，应告知当事人，人民法院有权确定重新鉴定。,现行有效,行业/团体规范,律协规定,团体,0,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/48e7be725777141c1b4ceddbce18aea3?text=210,48e7be725777141c1b4ceddbce18aea3_210,48e7be725777141c1b4ceddbce18aea3,[],0.7308665,1
公安部关于印发《公安机关鉴定规则》和鉴定文书式样的通知,第五十八条,鉴定人在鉴定工作中玩忽职守、以权谋私、收受贿赂，或者故意损毁检材、泄露鉴定意见情节、后果严重的，或者故意作虚假鉴定、泄露国家秘密的，依据有关法律、法规进行处理；构成犯罪的，依法追究刑事责任。,现行有效,部门规章,部门规范性文件,,20170216,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8ef9d5984b56606ac52a05a252475b07?text=58,8ef9d5984b56606ac52a05a252475b07_58,8ef9d5984b56606ac52a05a252475b07,[],0.7085245200000001,1
司法鉴定程序通则(2016修订),第四十二条,　司法鉴定机构应当按照规定将司法鉴定意见书以及有关资料整理立卷、归档保管。,现行有效,部门规章,部门规章,中央,20160501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5ddfbaf979ae7210a929a59963e42226?text=42,5ddfbaf979ae7210a929a59963e42226_42,5ddfbaf979ae7210a929a59963e42226,[],0.69174974,1
司法部关于印发《司法鉴定机构内部管理规范》的通知,第十三条,"　司法鉴定机构应当建立完善外部信息管理制度。外部信息的使用应当根据程序进行核查、验证；因专业技术问题需要外聘专家的，应当依照有关规定执行。 
　　司法鉴定依据的外部信息、外聘专家意见及签名应当存入同一鉴定业务档案，存档备查。",现行有效,部门规章,部门规范性文件,,20140422,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d9a606d96840a9f93724e2671e57abb0?text=13,d9a606d96840a9f93724e2671e57abb0_13,d9a606d96840a9f93724e2671e57abb0,[],0.6641323370000001,1
司法鉴定程序通则(2016修订),第三十七条,　司法鉴定意见书应当由司法鉴定人签名。多人参加的鉴定，对鉴定意见有不同意见的，应当注明。,现行有效,部门规章,部门规章,中央,20160501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5ddfbaf979ae7210a929a59963e42226?text=37,5ddfbaf979ae7210a929a59963e42226_37,5ddfbaf979ae7210a929a59963e42226,[],0.56355926,1
司法部关于印发《国家级司法鉴定机构遴选办法》和《国家级司法鉴定机构评审标准》的通知,第十条,　国家级司法鉴定机构及所属司法鉴定人在近10年内，没有因主观故意出具虚假鉴定意见等违法违纪行为，受到法律追究或者纪律处分的情形。,现行有效,部门规章,部门规范性文件,,20091224,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b7c30bc6465a33efff044c9a34259d72?text=10,b7c30bc6465a33efff044c9a34259d72_10,b7c30bc6465a33efff044c9a34259d72,[],0.525929371,1
