法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中国科学院学科专家委员会工作条例,第五条,　学科专家委员会成员在任期间提出的建议或学术报告，由有关专业局汇总，向院领导报告，在任期届满时，由专业局对各位成员的工作提出评议意见，以作为是否继续聘任的依据之一。,现行有效,部门规章,部门规范性文件,,19890226,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/bda42128b1e46d24a2f97df2d21f563e?text=5,bda42128b1e46d24a2f97df2d21f563e_5,bda42128b1e46d24a2f97df2d21f563e,[],1.06060548,1
中国注册会计师审计准则第1421号——利用专家的工作(2010修订),第十五条,　注册会计师不应在无保留意见的审计报告中提及专家的工作，除非法律法规另有规定。如果法律法规要求提及专家的工作，注册会计师应当在审计报告中指明，这种提及并不减轻注册会计师对审计意见承担的责任。,现行有效,部门规章,部门规范性文件,,20120101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6a07ddff541c4ea9e2f8584668d1e36c?text=15,6a07ddff541c4ea9e2f8584668d1e36c_15,6a07ddff541c4ea9e2f8584668d1e36c,['证券行业法规'],1.0125547300000002,1
民用航空器事件技术调查规定(2022修正),第三十七条,专业小组应当向调查组组长提交专业小组调查报告，调查组组长应当组织审议专业小组调查报告。,现行有效,部门规章,部门规章,中央,20221201,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ec13d315c951ce5ef88d2a0c8895868c?text=37,ec13d315c951ce5ef88d2a0c8895868c_37,ec13d315c951ce5ef88d2a0c8895868c,[],0.9921127700000001,1
财政部关于印发《可持续信息鉴证业务准则第6101号——基本准则（试行）》的通知,第二百一十二条,如果在鉴证报告中提及鉴证者的专家的工作，鉴证报告中不得注明专家的信息（除非法律法规要求注明），也不得明示或暗示利用专家的工作将减轻鉴证者对鉴证意见的责任。,现行有效,部门规章,部门规范性文件,,20260109,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/bd6ce40560be29bce2350a83a436007c?text=212,bd6ce40560be29bce2350a83a436007c_212,bd6ce40560be29bce2350a83a436007c,[],0.95619843,1
进出口工业品风险管理办法(2018修正),第二十八条,　技术机构、专家小组应当提交客观、真实、准确的评估报告，对提供虚假报告或者篡改评估结果的机构或者个人，依法追究责任。,现行有效,部门规章,部门规章,中央,20180501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/dfc4b9733b0d4986190d154c25c736a0?text=28,dfc4b9733b0d4986190d154c25c736a0_28,dfc4b9733b0d4986190d154c25c736a0,[],0.94935027,1
运输机场安全管理专家及专家库管理办法(试行)(AP-140-CA-2019-01),第十八条,　任何单位和个人发现专家在工作中存在有失公平、收受贿赂、未主动履行回避义务等情况，可向机场司报告或投诉举报。机场司将就投诉举报组织调查核实。,现行有效,部门规章,部门规范性文件,,20190404,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c056a3513dc09d7a74f6109daca08970?text=18,c056a3513dc09d7a74f6109daca08970_18,c056a3513dc09d7a74f6109daca08970,[],0.9417012,1
农作物种子质量检验机构考核管理办法(2022修订),第二十五条,　考评专家组应当在考核结束后2个工作日内出具考核报告。考核报告经专家组成员半数以上通过并由专家组全体成员签字后生效。对考核报告有不同意见的，应当予以注明。,现行有效,部门规章,部门规章,中央,20220107,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/33e1c06917728759fbe37e919aac9d47?text=25,33e1c06917728759fbe37e919aac9d47_25,33e1c06917728759fbe37e919aac9d47,[],0.9312354700000001,1
教育部科技基础资源数据平台评估规则(试行),第十五条,　平台评估专家组评估意见和评估报告，是教育部进行决策并确定下一评估周期及是否继续对平台进行资助的重要依据。,现行有效,部门规章,部门规范性文件,,20060101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7f06fdc98ba30754176186247b0ac41d?text=15,7f06fdc98ba30754176186247b0ac41d_15,7f06fdc98ba30754176186247b0ac41d,[],0.8773124360000001,1
科技部关于印发《中央财政科技计划(专项、基金等)项目管理专业机构管理暂行规定》的通知,第二十七条,　专业机构按照国家科技报告制度相关要求，组织、督促项目承担单位按规定提交科技报告，并将其科技报告提交和共享情况作为后续支持的重要依据。,现行有效,部门规章,部门规范性文件,,20160307,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7d54a29e274a95eca785df468c83f83f?text=27,7d54a29e274a95eca785df468c83f83f_27,7d54a29e274a95eca785df468c83f83f,[],0.79992132,1
中华人民共和国农业农村部公告第242号—无规定动物疫病小区评估管理办法,第二十八条,评估专家组应 当在现场评审或整改审核结束后20个工作日内向风险评估委员会办公室提交评估报告，经风险评估委员会审核后报农业农村部。,现行有效,部门规章,部门规范性文件,,20191217,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7570c80427f34fdb2056bc275f838024?text=28,7570c80427f34fdb2056bc275f838024_28,7570c80427f34fdb2056bc275f838024,[],0.7329076700000001,1
