法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国数据安全法,第三十条,"　重要数据的处理者应当按照规定对其数据处理活动定期开展风险评估，并向有关主管部门报送风险评估报告。 
风险评估报告应当包括处理的重要数据的种类、数量，开展数据处理活动的情况，面临的数据安全风险及其应对措施等。",现行有效,法律,法律,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea3723b947e52ec5520715af35f6bb4b?text=30,ea3723b947e52ec5520715af35f6bb4b_30,ea3723b947e52ec5520715af35f6bb4b,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.17977994,1
数据出境安全评估办法,第十九条,本办法所称重要数据，是指一旦遭到篡改、破坏、泄露或者非法获取、非法利用等，可能危害国家安全、经济运行、社会稳定、公共健康和安全等的数据。,现行有效,部门规章,部门规章,中央,20220901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6795a5ff05348c895918473ffa90c2d3?text=19,6795a5ff05348c895918473ffa90c2d3_19,6795a5ff05348c895918473ffa90c2d3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.097717676,1
中国人民银行业务领域数据安全管理办法,第九条,"按照国家有关规定，将业务数据分为一般数据、重要数据、核心数据三级。重要数据是指特定领域、特定群体、特定区域或者达到一定精度和规模，一旦遭到篡改、破坏、泄露或者非法获取、非法利用，可能直接危害国家安全、经济运行、社会稳定、公共健康和安全的数据。核心数据是指对领域、群体、区域具有较高覆盖度或者达到较高精度、较大规模、一定深度，一旦被非法使用或者共享，可能直接影响政治安全的重要数据。
中国人民银行按照国家有关规定组织确定重要数据具体目录，数据处理者应当准确识别、申报本机构存储的全量业务数据是否属于重要数据、核心数据，并填报重要数据具体目录内容。
中国人民银行汇总形成重要数据具体目录，经国家数据安全工作协调机制审定后，确定重要数据的处理者并告知其对应的重要数据。
除单独说明的情形外，本办法所列重要数据的保护义务，均适用于核心数据。",现行有效,部门规章,部门规章,中央,20250630,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/99209b38bbf4f5db7183d53e1542ca18?text=9,99209b38bbf4f5db7183d53e1542ca18_9,99209b38bbf4f5db7183d53e1542ca18,"['财税##金融证券法规', '财税##金融证券法规##金融监管法规##人民银行法规', '财税', '财税##金融证券法规##金融监管法规']",1.09746439,1
网络数据安全管理条例,第三十二条,　重要数据的处理者因合并、分立、解散、破产等可能影响重要数据安全的，应当采取措施保障网络数据安全，并向省级以上有关主管部门报告重要数据处置方案、接收方的名称或者姓名和联系方式等；主管部门不明确的，应当向省级以上数据安全工作协调机制报告。,现行有效,行政法规,行政法规,中央,20250101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/059cb96f5f6222af3007ca879925d23e?text=32,059cb96f5f6222af3007ca879925d23e_32,059cb96f5f6222af3007ca879925d23e,[],1.082025846,1
工业和信息化部关于印发《工业和信息化领域数据安全管理办法(试行)》的通知,第十条,"危害程度符合下列条件之一的数据为重要数据： 
（一）对政治、国土、军事、经济、文化、社会、科技、电磁、网络、生态、资源、核安全等构成威胁，影响海外利益、生物、太空、极地、深海、人工智能等与国家安全相关的重点领域； 
（二）对工业和信息化领域发展、生产、运行和经济利益等造成严重影响； 
（三）造成重大数据安全事件或生产安全事故，对公共利益或者个人、组织合法权益造成严重影响，社会负面影响大； 
（四）引发的级联效应明显，影响范围涉及多个行业、区域或者行业内多个企业，或者影响持续时间长，对行业发展、技术进步和产业生态等造成严重影响； 
（五）经工业和信息化部评估确定的其他重要数据。",现行有效,部门规章,部门规范性文件,,20230101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9ce049ca3aad9ab18639f4293b348d51?text=10,9ce049ca3aad9ab18639f4293b348d51_10,9ce049ca3aad9ab18639f4293b348d51,[],1.079715725,1
中国人民银行业务领域数据安全管理办法,第四十二条,重要数据的处理者应当自行或者委托第三方评估机构，每年对业务数据开展一次风险评估，并于每年1月15日前向中国人民银行或者住所地中国人民银行省级分支机构报送上一年度风险评估报告。除法律、行政法规已明确应当评估的内容外，风险评估报告还应当包含与存储重要数据信息系统相关的人员培训与日常管理情况，与业务数据相关的岗位职责落实情况、网络安全等级保护测评和整改情况、保护措施执行情况、本年度风险监测和事件处置情况，以及中国人民银行要求的其他评估内容。,现行有效,部门规章,部门规章,中央,20250630,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/99209b38bbf4f5db7183d53e1542ca18?text=42,99209b38bbf4f5db7183d53e1542ca18_42,99209b38bbf4f5db7183d53e1542ca18,"['财税##金融证券法规', '财税##金融证券法规##金融监管法规##人民银行法规', '财税', '财税##金融证券法规##金融监管法规']",1.074287137,1
促进和规范数据跨境流动规定,第二条,数据处理者应当按照相关规定识别、申报重要数据。未被相关部门、地区告知或者公开发布为重要数据的，数据处理者不需要作为重要数据申报数据出境安全评估。,现行有效,部门规章,部门规章,中央,20240322,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/fc667f6b0c55619237ed6e6c252e7972?text=2,fc667f6b0c55619237ed6e6c252e7972_2,fc667f6b0c55619237ed6e6c252e7972,[],1.0587082,1
中国证券监督管理委员会关于发布《＜证券经营机构营业部信息系统技术管理规范(试行)＞技术指引》的通知,第七条,　七、〔２．１．３（６）〕中的其它重要数据至少包括：服务器系统参数配置，主要网络设备参数配置，通信设备参数配置，智能化电源、空调的参数配置，交易系统、通信软件及其它应用软件的参数配置等。,现行有效,部门规章,部门规范性文件,,19991103,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/095caafa74eb5299d7a27312e1f6360f?text=7,095caafa74eb5299d7a27312e1f6360f_7,095caafa74eb5299d7a27312e1f6360f,['证券行业法规'],1.041038735,1
国家能源局关于印发《能源行业数据安全管理办法(试行)》的通知,第十六条,能源行业重要数据的处理者在重要数据的收集、存储、使用、加工、传输、提供、公开、删除等环节，应综合运用加密、鉴权、认证、脱敏、校验、审计等技术手段进行安全保护。,尚未生效,部门规章,部门规范性文件,,20260701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1466f995d502e6c08513f3b877f67412?text=16,1466f995d502e6c08513f3b877f67412_16,1466f995d502e6c08513f3b877f67412,[],1.035701414,1
中华人民共和国测绘成果管理条例,第二十三条,"　重要地理信息数据包括： 
（一）国界、国家海岸线长度； 
（二）领土、领海、毗连区、专属经济区面积； 
（三）国家海岸滩涂面积、岛礁数量和面积； 
（四）国家版图的重要特征点，地势、地貌分区位置； 
（五）国务院测绘行政主管部门商国务院其他有关部门确定的其他重要自然和人文地理实体的位置、高程、深度、面积、长度等地理信息数据。",现行有效,行政法规,行政法规,中央,20060901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ec2786201eda97e0ba5409d123e6d74b?text=23,ec2786201eda97e0ba5409d123e6d74b_23,ec2786201eda97e0ba5409d123e6d74b,[],1.0293990960000001,1
