法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第二条,　本办法所称未成年人犯罪记录，是指国家专门机关对未成年犯罪人员情况的客观记载。应当封存的未成年人犯罪记录，包括侦查、起诉、审判及刑事执行过程中形成的有关未成年人犯罪或者涉嫌犯罪的全部案卷材料与电子档案信息。,现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=2,e9b50c0a338216687628992498caebbb_2,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.19728716,1
中华人民共和国预防未成年人犯罪法(2020修订),第五十九条,"　未成年人的犯罪记录依法被封存的，公安机关、人民检察院、人民法院和司法行政部门不得向任何单位或者个人提供，但司法机关因办案需要或者有关单位根据国家有关规定进行查询的除外。依法进行查询的单位和个人应当对相关记录信息予以保密。 
未成年人接受专门矫治教育、专门教育的记录，以及被行政处罚、采取刑事强制措施和不起诉的记录，适用前款规定。",现行有效,法律,法律,中央,20210601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4fca98afec7791e6d83b7229155540f5?text=59,4fca98afec7791e6d83b7229155540f5_59,4fca98afec7791e6d83b7229155540f5,"['未成年保护', '未成年保护##同学矛盾', '未成年保护##意外受伤', '未成年保护##校园霸凌', '未成年保护##学校边界', '未成年保护##师生关系']",1.18496652,1
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第四条,"　犯罪的时候不满十八周岁，被判处五年有期徒刑以下刑罚以及免予刑事处罚的未成年人犯罪记录，应当依法予以封存。 
　　对在年满十八周岁前后实施数个行为，构成一罪或者一并处理的数罪，主要犯罪行为是在年满十八岁周岁前实施的，被判处或者决定执行五年有期徒刑以下刑罚以及免予刑事处罚的未成年人犯罪记录，应当对全案依法予以封存。",现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=4,e9b50c0a338216687628992498caebbb_4,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.177701396,1
中央综治委预防青少年违法犯罪工作领导小组、最高人民法院、最高人民检察院等关于进一步建立和完善办理未成年人刑事案件配套工作体系的若干意见,第八条,对未成年犯的档案应严格保密，建立档案的有效管理制度；对违法和轻微犯罪的未成年人，有条件的地区可以试行行政处罚和轻罪纪录消灭制度。非有法定事由，不得公开未成年人的行政处罚记录和被刑事立案、采取刑事强制措施、不起诉或因轻微犯罪被判处刑罚的记录。,现行有效,司法解释,两高工作文件,,20100828,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d064f019229a56981e58c15d7048b896?text=8,d064f019229a56981e58c15d7048b896_8,d064f019229a56981e58c15d7048b896,['校园霸凌'],1.17258456,1
最高检发布“检察机关加强民生司法保障”典型案例,,但公安机关在落实未成年人犯罪记录封存制度中存在个别不到位问题。检察机关向公安机关提出检察建议，要求为余某某依法出具无犯罪记录证明，并对既往未成年人犯罪记录封存情况进行全面排查，规范封存、查询和证明出具流程。同时，区检察院认为本案问题可能具有一定的普遍性，遂向市院报告。同年7月5日，公安机关书面回复，已为余某某出具无犯罪记录证明；针对检察建议提出的问题，开展了全面摸排，未发现其它违规泄露问题。　　推动系统治理。西安市人民检察院联合同级公安机关、人民法院在全市范围内开展封存情况专项摸排，重点对2012年12月31日前办结的案件进行核查，监督公安、法院依法封存“应封未封”未成年人犯罪记录4件、撤销已公开未成年人犯罪案件法律文书4份，并根据此次摸排经验，构建未成年人犯罪记录封存大数据法律监督模型。为统一理念，规范未成年人犯罪记录封存流程，陕西省检察院组织开展公检法同堂培训，合力提升执法司法人员的犯罪记录封存意识与能力。检察机关还协同团委、民政等部门，对包括余某某在内的数名“应封未封”影响就业的未成年人开展就业技能培训，并联系市场监管等部门为其拓展就业渠道。目前，上述人员均已顺利就业。,现行有效,司法解释,指导案例,,20250220,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3002ef9a9fb53882c4f936c3fda34a29,,3002ef9a9fb53882c4f936c3fda34a29,['1'],1.16926332,2
最高人民检察院发布八起“检察机关加强民生司法保障”典型案例,,但公安机关在落实未成年人犯罪记录封存制度中存在个别不到位问题。检察机关向公安机关提出检察建议，要求为余某某依法出具无犯罪记录证明，并对既往未成年人犯罪记录封存情况进行全面排查，规范封存、查询和证明出具流程。同时，区检察院认为本案问题可能具有一定的普遍性，遂向市院报告。同年7月5日，公安机关书面回复，已为余某某出具无犯罪记录证明；针对检察建议提出的问题，开展了全面摸排，未发现其它违规泄露问题。　　推动系统治理。西安市人民检察院联合同级公安机关、人民法院在全市范围内开展封存情况专项摸排，重点对2012年12月31日前办结的案件进行核查，监督公安、法院依法封存“应封未封”未成年人犯罪记录4件、撤销已公开未成年人犯罪案件法律文书4份，并根据此次摸排经验，构建未成年人犯罪记录封存大数据法律监督模型。为统一理念，规范未成年人犯罪记录封存流程，陕西省检察院组织开展公检法同堂培训，合力提升执法司法人员的犯罪记录封存意识与能力。检察机关还协同团委、民政等部门，对包括余某某在内的数名“应封未封”影响就业的未成年人开展就业技能培训，并联系市场监管等部门为其拓展就业渠道。目前，上述人员均已顺利就业。,现行有效,司法解释,指导案例,,20250220,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a10f7b4058d7efbe5c232d89cd0c765f,,a10f7b4058d7efbe5c232d89cd0c765f,[],1.16926332,2
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第九条,"　未成年人犯罪记录封存应当贯彻及时、有效的原则。对于犯罪记录被封存的未成年人，在入伍、就业时免除犯罪记录的报告义务。 
　　被封存犯罪记录的未成年人因涉嫌再次犯罪接受司法机关调查时，应当主动、如实地供述其犯罪记录情况，不得回避、隐瞒。",现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=9,e9b50c0a338216687628992498caebbb_9,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.16346672,1
中华人民共和国监狱法,第一百一十五条,　监狱应当依照有关法律规定对符合封存条件的未成年犯的犯罪记录及相关案件信息予以封存，除司法机关为办案需要或者有关单位根据国家规定查询外，不得将未成年犯的犯罪记录及相关案件信息提供给任何单位或者个人。,尚未生效,法律,,,20261101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/15f0b483a6a3bb36141b1d86c8cc22e5?text=115,15f0b483a6a3bb36141b1d86c8cc22e5_115,15f0b483a6a3bb36141b1d86c8cc22e5,[],1.1619136319999999,1
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第十条,"　对于需要封存的未成年人犯罪记录，应当遵循《中华人民共和国个人信息保护法》不予公开，并建立专门的未成年人犯罪档案库，执行严格的保管制度。 
　　对于电子信息系统中需要封存的未成年人犯罪记录数据，应当加设封存标记，未经法定查询程序，不得进行信息查询、共享及复用。 
　　封存的未成年人犯罪记录数据不得向外部平台提供或对接。",现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=10,e9b50c0a338216687628992498caebbb_10,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.15637208,1
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第十一条,　人民法院依法对犯罪时不满十八周岁的被告人判处五年有期徒刑以下刑罚以及免予刑事处罚的，判决生效后，应当将刑事裁判文书、《犯罪记录封存通知书》及时送达被告人，并同时送达同级人民检察院、公安机关，同级人民检察院、公安机关在收到上述文书后应当在三日内统筹相关各级检察机关、公安机关将涉案未成年人的犯罪记录整体封存。,现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=11,e9b50c0a338216687628992498caebbb_11,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.155959556,1
