法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国个人信息保护法,第四条,"　个人信息是以电子或者其他方式记录的与已识别或者可识别的自然人有关的各种信息，不包括匿名化处理后的信息。 
个人信息的处理包括个人信息的收集、存储、使用、加工、传输、提供、公开、删除等。",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=4,b6539377aaaa0f3661e48fbbcf343dc4_4,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.19771484,1
中华人民共和国民法典,第一千零三十四条,"　自然人的个人信息受法律保护。 
　　个人信息是以电子或者其他方式记录的能够单独或者与其他信息结合识别特定自然人的各种信息，包括自然人的姓名、出生日期、身份证件号码、生物识别信息、住址、电话号码、电子邮箱、健康信息、行踪信息等。 
　　个人信息中的私密信息，适用有关隐私权的规定；没有规定的，适用有关个人信息保护的规定。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1034,55dceb7d83a1c90e3fe9c141b1118193_1034,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.1746012799999999,1
中华人民共和国民法典,第一百一十一条,　自然人的个人信息受法律保护。任何组织或者个人需要获取他人个人信息的，应当依法取得并确保信息安全，不得非法收集、使用、加工、传输他人个人信息，不得非法买卖、提供或者公开他人个人信息。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=111,55dceb7d83a1c90e3fe9c141b1118193_111,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.1190914879999998,1
电信和互联网用户个人信息保护规定,第四条,　本规定所称用户个人信息，是指电信业务经营者和互联网信息服务提供者在提供服务的过程中收集的用户姓名、出生日期、身份证件号码、住址、电话号码、账号和密码等能够单独或者与其他信息结合识别用户的信息以及用户使用服务的时间、地点等信息。,现行有效,部门规章,部门规章,中央,20130901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e27ca3763df430a85154107a89e45938?text=4,e27ca3763df430a85154107a89e45938_4,e27ca3763df430a85154107a89e45938,[],1.057046925,1
中华人民共和国个人信息保护法,第八条,　处理个人信息应当保证个人信息的质量，避免因个人信息不准确、不完整对个人权益造成不利影响。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=8,b6539377aaaa0f3661e48fbbcf343dc4_8,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.0421910479999998,1
中华人民共和国个人信息保护法,第二十八条,"　敏感个人信息是一旦泄露或者非法使用，容易导致自然人的人格尊严受到侵害或者人身、财产安全受到危害的个人信息，包括生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等信息，以及不满十四周岁未成年人的个人信息。 
只有在具有特定的目的和充分的必要性，并采取严格保护措施的情形下，个人信息处理者方可处理敏感个人信息。",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=28,b6539377aaaa0f3661e48fbbcf343dc4_28,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.041923112,1
中华人民共和国和津巴布韦共和国关于刑事司法协助的条约,第十五条,"个人信息保护
　　被请求方在执行请求过程中，应当维护与请求相关的个人的合法权益，根据本国法律保护个人信息。",现行有效,法律,,,20251028,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ecbf62578c239c4af5058c18c64da1f2?text=15,ecbf62578c239c4af5058c18c64da1f2_15,ecbf62578c239c4af5058c18c64da1f2,[],1.039359072,1
中华人民共和国个人信息保护法,第五条,　处理个人信息应当遵循合法、正当、必要和诚信原则，不得通过误导、欺诈、胁迫等方式处理个人信息。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=5,b6539377aaaa0f3661e48fbbcf343dc4_5,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.02917868,1
中华人民共和国个人信息保护法,第六条,"　处理个人信息应当具有明确、合理的目的，并应当与处理目的直接相关，采取对个人权益影响最小的方式。 
收集个人信息，应当限于实现处理目的的最小范围，不得过度收集个人信息。",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=6,b6539377aaaa0f3661e48fbbcf343dc4_6,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.99456036,1
律师办理员工信息保护法律服务业务操作指引,第六条,定义 员工个人信息（以下简称“个人信息”）是以电子或者其他方式记录的与已识别或者可识别的自然人有关的各种信息，不包括匿名化处理后的信息，包括员工的姓名、出生日期、身份证件号码、生物识别、宗教信仰、特定身份、医疗健康、金融账户、行踪轨迹等信息，以及不满14周岁员工的个人信息。,现行有效,行业/团体规范,律协规定,团体,20221001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/eaf0028d2e45835cd9a73774ea172df0?text=6,eaf0028d2e45835cd9a73774ea172df0_6,eaf0028d2e45835cd9a73774ea172df0,[],0.979354,1
