法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于适用《中华人民共和国行政诉讼法》的解释,第三十八条,"　对于案情比较复杂或者证据数量较多的案件，人民法院可以组织当事人在开庭前向对方出示或者交换证据，并将交换证据清单的情况记录在卷。 
当事人在庭前证据交换过程中没有争议并记录在卷的证据，经审判人员在庭审中说明后，可以作为认定案件事实的依据。",现行有效,司法解释,高法司法解释,中央,20180208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b740a7aa6bdcd94a6cb099deeac811e6?text=38,b740a7aa6bdcd94a6cb099deeac811e6_38,b740a7aa6bdcd94a6cb099deeac811e6,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.184071392,1
最高人民法院关于行政诉讼证据若干问题的规定,第三十五条,"　证据应当在法庭上出示，并经庭审质证。未经庭审质证的证据，不能作为定案的依据。 
　　当事人在庭前证据交换过程中没有争议并记录在卷的证据，经审判人员在庭审中说明后，可以作为认定案件事实的依据。",现行有效,司法解释,高法司法解释,中央,20021001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cec5dfff41c2a23b429b09bd95aa445e?text=35,cec5dfff41c2a23b429b09bd95aa445e_35,cec5dfff41c2a23b429b09bd95aa445e,[],1.168253088,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第一百二十九条,　开庭审理前，当事人及其辩护人、诉讼代理人申请人民法院排除非法证据的，人民法院应当在开庭前及时将申请书或者申请笔录及相关线索、材料的复制件送交人民检察院。,现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=129,27f2a1c90daf9dce939acd155a8e1966_129,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1561249999999998,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第二百七十二条,"　公诉人申请出示开庭前未移送或者提交人民法院的证据，辩护方提出异议的，审判长应当要求公诉人说明理由；理由成立并确有出示必要的，应当准许。 
辩护方提出需要对新的证据作辩护准备的，法庭可以宣布休庭，并确定准备辩护的时间。 
辩护方申请出示开庭前未提交的证据，参照适用前两款规定。",现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=272,27f2a1c90daf9dce939acd155a8e1966_272,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1467817519999999,1
人民检察院刑事诉讼规则(2019修订),第三百九十六条,　当事人、辩护人、诉讼代理人在庭前会议中提出证据系非法取得，人民法院认为可能存在以非法方法收集证据情形的，人民检察院应当对证据收集的合法性进行说明。需要调查核实的，在开庭审理前进行。,现行有效,司法解释,高检司法解释,中央,20191230,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a6876dbc21b812d11f4dc6f150577273?text=396,a6876dbc21b812d11f4dc6f150577273_396,a6876dbc21b812d11f4dc6f150577273,[],1.143300324,1
最高人民法院、最高人民检察院、公安部等印发《关于办理死刑案件审查判断证据若干问题的规定》和《关于办理刑事案件排除非法证据若干问题的规定》的通知,第六条,　被告人及其辩护人提出被告人审判前供述是非法取得的，法庭应当要求其提供涉嫌非法取证的人员、时间、地点、方式、内容等相关线索或者证据。,现行有效,司法解释,司法解释性质文件,中央,20100701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7ca6e656a7b2dbeb1825d98475dc6187?text=6,7ca6e656a7b2dbeb1825d98475dc6187_6,7ca6e656a7b2dbeb1825d98475dc6187,[],1.1367402839999998,1
最高人民法院、最高人民检察院、公安部等印发《关于办理刑事案件严格排除非法证据若干问题的规定》的通知,第二十四条,　被告人及其辩护人在开庭审理前申请排除非法证据，未提供相关线索或者材料，不符合法律规定的申请条件的，人民法院对申请不予受理。,现行有效,司法解释,司法解释性质文件,中央,20170627,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0e6081bb9cc71bfde04c0c8c6494eeff?text=24,0e6081bb9cc71bfde04c0c8c6494eeff_24,0e6081bb9cc71bfde04c0c8c6494eeff,[],1.13399364,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第二百二十九条,　庭前会议中，审判人员可以询问控辩双方对证据材料有无异议，对有异议的证据，应当在庭审时重点调查；无异议的，庭审时举证、质证可以简化。,现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=229,27f2a1c90daf9dce939acd155a8e1966_229,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.13126172,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第一百三十四条,　庭审期间，法庭决定对证据收集的合法性进行调查的，应当先行当庭调查。但为防止庭审过分迟延，也可以在法庭调查结束前调查。,现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=134,27f2a1c90daf9dce939acd155a8e1966_134,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1301137159999999,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第一百三十条,"　开庭审理前，人民法院可以召开庭前会议，就非法证据排除等问题了解情况，听取意见。 
在庭前会议中，人民检察院可以通过出示有关证据材料等方式，对证据收集的合法性加以说明。必要时，可以通知调查人员、侦查人员或者其他人员参加庭前会议，说明情况。",现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=130,27f2a1c90daf9dce939acd155a8e1966_130,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.12098636,1
