法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国民法典,第一千零三十二条,"　自然人享有隐私权。任何组织或者个人不得以刺探、侵扰、泄露、公开等方式侵害他人的隐私权。 
　　隐私是自然人的私人生活安宁和不愿为他人知晓的私密空间、私密活动、私密信息。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1032,55dceb7d83a1c90e3fe9c141b1118193_1032,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.18425444,1
最高人民法院发布人民法院贯彻实施民法典典型案例(第二批),,"故判决被告某通信公司某市分公司未经原告孙某燕的同意不得向其移动通信号码拨打营销电话，并赔偿原告孙某燕交通费用782元、精神损害抚慰金3000元。　　（四）民法典条文指引
　　第一百一十条 自然人享有生命权、身体权、健康权、姓名权、肖像权、名誉权、荣誉权、隐私权、婚姻自主权等权利。　　法人、非法人组织享有名称权、名誉权和荣誉权。　　第一千零三十二条 自然人享有隐私权。任何组织或者个人不得以刺探、侵扰、泄露、公开等方式侵害他人的隐私权。　　隐私是自然人的私人生活安宁和不愿为他人知晓的私密空间、私密活动、私密信息。　　第一千零三十三条 除法律另有规定或者权利人明确同意外，任何组织或者个人不得实施下列行为：
　　（一）以电话、短信、即时通讯工具、电子邮件、传单等方式侵扰他人的私人生活安宁；
　　（二）进入、拍摄、窥视他人的住宅、宾馆房间等私密空间；
　　（三）拍摄、窥视、窃听、公开他人的私密活动；
　　（四）拍摄、窥视他人身体的私密部位；
　　（五）处理他人的私密信息；
　　（六）以其他方式侵害他人的隐私权。　　十、林某诉张某撤销婚姻纠纷案
　　（一）典型意义",现行有效,司法解释,指导案例,,20230112,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/edbd718e87d2262bf7fef9e4de69d1b2,,edbd718e87d2262bf7fef9e4de69d1b2,[],0.885270528,2
中华人民共和国民法典,第一千零三十九条,　国家机关、承担行政职能的法定机构及其工作人员对于履行职责过程中知悉的自然人的隐私和个人信息，应当予以保密，不得泄露或者向他人非法提供。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1039,55dceb7d83a1c90e3fe9c141b1118193_1039,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.8666799599999999,1
中华人民共和国民法典,第一千零三十三条,"　除法律另有规定或者权利人明确同意外，任何组织或者个人不得实施下列行为： 
　　（一）以电话、短信、即时通讯工具、电子邮件、传单等方式侵扰他人的私人生活安宁； 
　　（二）进入、拍摄、窥视他人的住宅、宾馆房间等私密空间； 
　　（三）拍摄、窥视、窃听、公开他人的私密活动； 
　　（四）拍摄、窥视他人身体的私密部位； 
　　（五）处理他人的私密信息； 
　　（六）以其他方式侵害他人的隐私权。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1033,55dceb7d83a1c90e3fe9c141b1118193_1033,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.7150144799999999,1
中华人民共和国行政处罚法(2021修订),第五十条,　行政机关及其工作人员对实施行政处罚过程中知悉的国家秘密、商业秘密或者个人隐私，应当依法予以保密。,现行有效,法律,法律,中央,20210715,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0c15f68cf89e1339125e9f41d5d31c67?text=50,0c15f68cf89e1339125e9f41d5d31c67_50,0c15f68cf89e1339125e9f41d5d31c67,"['财税##财政法规', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.69563742,1
卫生健康行政处罚程序规定,第二十五条,　卫生健康行政机关及其工作人员对实施行政处罚过程中知悉的国家秘密、商业秘密或者个人隐私，应当依法予以保密。,现行有效,部门规章,部门规章,中央,20250601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c0a9cff2ae2fe7d4b606b333a9485e6e?text=25,c0a9cff2ae2fe7d4b606b333a9485e6e_25,c0a9cff2ae2fe7d4b606b333a9485e6e,[],0.58720508,1
中国人民银行、民政部关于印发《社会组织反恐怖融资管理办法》的通知,第十三条,社会组织及其工作人员应当依法保护国家秘密、商业秘密、个人隐私等信息。,现行有效,部门规章,部门规范性文件,,20250501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e5772789b39900f1c23a4eea2797e569?text=13,e5772789b39900f1c23a4eea2797e569_13,e5772789b39900f1c23a4eea2797e569,"['财税##金融证券法规', '财税##金融证券法规##金融监管法规##人民银行法规', '财税', '财税##金融证券法规##金融监管法规']",0.58667037,1
社会组织登记管理机关行政处罚程序规定(2021),第三十三条,　登记管理机关及其工作人员对实施行政处罚过程中知悉的国家秘密、商业秘密或者个人隐私，应当依法予以保密。,现行有效,部门规章,部门规章,中央,20211015,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4f6141092daf67cb56bb59ae7190ffb3?text=33,4f6141092daf67cb56bb59ae7190ffb3_33,4f6141092daf67cb56bb59ae7190ffb3,[],0.56969682,1
国防科工局关于印发国防科技工业安全保密“六条规定”的通知,第四条,禁止私自留存涉密计算机、涉密移动存储介质或涉密文件资料；,现行有效,部门规章,部门规范性文件,,20100226,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e5110beaf7945816c78ee541f7ca41c0?text=4,e5110beaf7945816c78ee541f7ca41c0_4,e5110beaf7945816c78ee541f7ca41c0,[],0.5179441300000001,1
工业和信息化部关于印发《保障中小企业款项支付投诉处理暂行办法》的通知,第十七条,　相关部门及其工作人员对于在受理、处理投诉过程中知悉的国家秘密、商业秘密、个人隐私和个人信息，应当予以保密，不得泄露或向他人非法提供。,现行有效,部门规章,部门规范性文件,,20211230,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8fbd67d63e3ddd3ec5f65d7f19225397?text=17,8fbd67d63e3ddd3ec5f65d7f19225397_17,8fbd67d63e3ddd3ec5f65d7f19225397,"['财税##其他财经法规##工信部', '财税##其他财经法规', '财税']",0.51530182,1
