法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
国家民委办公厅关于印发《国家民委政务公开实施办法》的通知,第七条,　公开重点改革任务、重要政策、重大工程项目的执行措施、实施步骤、责任分工、监督方式，听取公众意见建议。公开督查和审计发现问题及整改落实情况，公开不作为、慢作为、乱作为问责情况。,现行有效,部门规章,部门规范性文件,,20170619,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/62249f685174187f2412b8524260eb83?text=7,62249f685174187f2412b8524260eb83_7,62249f685174187f2412b8524260eb83,[],1.0244714700000002,1
高等学校信息公开办法,第十三条,　高等学校应当在学校网站开设信息公开意见箱，设置信息公开专栏、建立有效链接，及时更新信息，并通过信息公开意见箱听取对学校信息公开工作的意见和建议。,现行有效,部门规章,部门规章,中央,20100901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b5d0ecfebb6d05336c9b7125b66917b4?text=13,b5d0ecfebb6d05336c9b7125b66917b4_13,b5d0ecfebb6d05336c9b7125b66917b4,[],0.9894226760000001,1
工业通信业行业标准制定管理办法,第二十七条,　本办法第十条、第十四条第一款、第二十条、第二十五条第一款规定的向社会公开征求意见的期限，一般不少于30日。,现行有效,部门规章,部门规章,中央,20201001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ddb4c8892f0f596bdb546bc78769c6a4?text=27,ddb4c8892f0f596bdb546bc78769c6a4_27,ddb4c8892f0f596bdb546bc78769c6a4,[],0.972002086,1
中央和国家机关部门职责分工协调办法,第二十九条,　正式印发的职责分工意见可以向社会公开，但法律法规规定不宜公开的信息除外。,现行有效,党内法规,,,20110801,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9411491c77621d2dbffe7e67d0610e0b?text=29,9411491c77621d2dbffe7e67d0610e0b_29,9411491c77621d2dbffe7e67d0610e0b,[],0.9562273,1
最高人民法院技术咨询、技术审核工作管理规定,第十条,　咨询意见书仅供法官、合议庭或审判委员会参考，不作为定案的依据，不对外公开。,现行有效,司法解释,司法解释性质文件,中央,20070901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3273bdb7306ea254d5c9da4c76b3d8f7?text=10,3273bdb7306ea254d5c9da4c76b3d8f7_10,3273bdb7306ea254d5c9da4c76b3d8f7,[],0.949411728,1
国家食品药品监管总局公告2017年第36号――关于发布医疗器械技术审评专家咨询委员会管理办法的公告,第二十七条,　专家公开论证会是为解决重大技术争议问题以及重大、复杂科学与技术问题而组织召开的会议。,现行有效,部门规章,部门规范性文件,,20170321,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d4b48e5b9b6312fb90a2cd74fade71b4?text=27,d4b48e5b9b6312fb90a2cd74fade71b4_27,d4b48e5b9b6312fb90a2cd74fade71b4,[],0.917550524,1
最高人民法院技术咨询、技术审核工作管理规定,第二十三条,　审核意见书仅供法官、合议庭或审判委员会参考，不作为定案的依据，不对外公开。,现行有效,司法解释,司法解释性质文件,中央,20070901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3273bdb7306ea254d5c9da4c76b3d8f7?text=23,3273bdb7306ea254d5c9da4c76b3d8f7_23,3273bdb7306ea254d5c9da4c76b3d8f7,[],0.89492262,1
科学技术部关于征集“支撑能源转型的煤炭清洁高效利用”国家科技重大专项2025年科技攻关需求的通知,,　　请登录系统，在“公开公示-指南征求意见”菜单栏中查看相关材料。,现行有效,部门规章,部门规范性文件,,20250326,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/29d3d2016e7e89864bb32a4e91b2354f,,29d3d2016e7e89864bb32a4e91b2354f,[],0.8948068800000001,2
水利部关于印发《水利部政务公开暂行规定》的通知(2009修订),第十七条,"　水利部重大事项决策过程中应当采用下列一种或者几种方式公开征求意见： 
（一）组织有关方面的专家进行论证、咨询； 
（二）公示有关草案或征求意见稿，征集、听取管理和服务对象、相关单位以及社会公众的意见和建议； 
（三）依法举行听证会； 
（四）其他适当的方式。",现行有效,部门规章,部门规范性文件,,20091222,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cdba6f6137afbb3a9e563f3a05df0e20?text=17,cdba6f6137afbb3a9e563f3a05df0e20_17,cdba6f6137afbb3a9e563f3a05df0e20,[],0.8910313500000001,1
国家铁路局关于全国人大代表建议和全国政协委员提案办理结果公开的实施办法,第九条,"　建议和提案办理结果公开政治性、政策性强，社会影响大，承办部门要切实做好解读、回应和舆论引导工作。 
　　建议和提案办理复文涉及国家经济社会发展重要政策和重大改革举措的，在公开办理复文的同时，可配发解读材料，做好解疑释惑工作，便于公众理解。建议和提案办理复文公开后，应及时了解舆论反映，认真做好舆论引导，并积极采纳合理建议，切实回应公众关切，不断推动改进工作。",现行有效,部门规章,部门规范性文件,,20170601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8bf6ccce9023708a08050a84c06e716b?text=9,8bf6ccce9023708a08050a84c06e716b_9,8bf6ccce9023708a08050a84c06e716b,[],0.8753985240000001,1
