法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于审理政府信息公开行政案件适用法律若干问题的解释,第二条,"　公民、法人或者其他组织认为行政机关不依法履行主动公开政府信息职责，直接向人民法院提起诉讼的，应当告知其先向行政机关申请获取政府信息。
　　对行政机关的答复、逾期不予答复等行为不服的，可以依法申请行政复议或者提起行政诉讼。",现行有效,司法解释,高法司法解释,中央,20250601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/01d272c03a6bdf9ab49a4647890615ef?text=2,01d272c03a6bdf9ab49a4647890615ef_2,01d272c03a6bdf9ab49a4647890615ef,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.162838964,1
中华人民共和国行政复议法(2023修订),第七十九条,"　行政复议机关根据被申请行政复议的行政行为的公开情况，按照国家有关规定将行政复议决定书向社会公开。
县级以上地方各级人民政府办理以本级人民政府工作部门为被申请人的行政复议案件，应当将发生法律效力的行政复议决定书、意见书同时抄告被申请人的上一级主管部门。",现行有效,法律,法律,中央,20240101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/386c366929bb6e195b65b81945d71a72?text=79,386c366929bb6e195b65b81945d71a72_79,386c366929bb6e195b65b81945d71a72,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.1626274399999998,1
最高人民法院关于审理政府信息公开行政案件适用法律若干问题的解释,第一条,"　公民、法人或者其他组织认为下列涉政府信息公开行为侵犯其合法权益，依法提起行政诉讼的，人民法院应当受理：
　　（一）向行政机关申请获取政府信息，行政机关告知政府信息无法提供或者不予处理的；
　　（二）行政复议机关对政府信息公开条例第十四条、第十五条、第十六条规定的不予公开行为作出行政复议决定的；
　　（三）认为行政机关提供的政府信息不符合其申请内容的；
　　（四）认为行政机关主动公开或者依他人申请公开政府信息侵犯其商业秘密、个人隐私等合法权益的；
　　（五）认为行政机关在政府信息公开工作中的其他行为侵犯其合法权益的。",现行有效,司法解释,高法司法解释,中央,20250601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/01d272c03a6bdf9ab49a4647890615ef?text=1,01d272c03a6bdf9ab49a4647890615ef_1,01d272c03a6bdf9ab49a4647890615ef,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.14628284,1
中华人民共和国反间谍法(2023修订),第六十八条,当事人对行政处罚决定、行政强制措施决定、行政许可决定不服的，可以自收到决定书之日起六十日内，依法申请复议；对复议决定不服的，可以自收到复议决定书之日起十五日内，依法向人民法院提起诉讼。,现行有效,法律,法律,中央,20230701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9b79780862e6f2586dace85331e6f989?text=68,9b79780862e6f2586dace85331e6f989_68,9b79780862e6f2586dace85331e6f989,[],1.1144016,1
最高人民法院关于政府办公厅(室)能否作为政府信息公开行政争议的行政复议被申请人和行政诉讼被告问题的请示的答复,,"　　天津市高级人民法院： 
　　你院津高法〔2015〕207号《关于姚淑芬诉天津市河东区人民政府政府信息公开行政复议上诉一案的请示》收悉。经研究，并征求国务院法制办公室及国务院办公厅政府信息与政务公开办公室意见，答复如下： 
　　公民、法人或其他组织向政府办公厅（室）提出的信息公开申请，应当视为向本级人民政府提出。人民政府对公民、法人或者其他组织提出的申请，可以政府办公厅（室）的名义进行答复，也可由负责政府信息公开工作的部门加盖“某某人民政府办公厅（室）信息公开专用章”的形式答复。公民、法人或者其他组织对以政府办公厅（室）或负责政府信息公开工作部门作出的政府信息公开行政行为不服提起诉讼的，应当以本级人民政府作为被告。",现行有效,司法解释,司法解释性质文件,中央,20160318,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a1a93fb961796f5da1199d56221db063,,a1a93fb961796f5da1199d56221db063,[],1.09548384,2
最高人民法院发布5个涉企行政强制典型案例(第二批),,"行政强制法第17条第1款规定，行政强制措施由法律、法规规定的行政机关在法定职权范围内实施。行政强制措施权不得委托。行政机关应当严格依照法律规定行使职权，而不能为规避责任随意扩大相关内设机构或临时机构的职权范围，或者违反法律规定委托实施强制措施。本案中，人民法院明确认定，镇消防中心系镇政府的内设机构，不具有行政主体资格，其以自己名义责令停业整改及实施查封行为，没有法律规范依据，故确认其作出的通知书及查封行为无效。且即便镇政府自身，也缺乏消防管理领域针对企业财产的查封权乃至责令关闭、停业整改的处罚权。本案二审判决有利于监督行政执法部门依法保护各类经营主体产权和自主经营权，为其营造稳定的发展环境。另从后续了解情况看，某塑料厂的相关损失已另案依法获得赔偿，纠纷得以实质性解决。　　三、某传媒有限公司诉江苏省淮安市清江浦区综合行政执法局强制拆除设施及行政赔偿案
　　（一）基本案情
　　2018年6月20日，淮安市清江浦区综合行政执法局（以下简称区综合执法局）向某传媒有限公司（以下简称某传媒公司）颁发许可证，同意其设置楼顶广告牌，有效期自2018年6月20日至2022年6月19日。",现行有效,司法解释,指导案例,,20250818,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/67987bd774acdabe9b4fff566554dc4c,,67987bd774acdabe9b4fff566554dc4c,[],1.06394028,2
中华人民共和国行政许可法(2019修正),第七十六条,　行政机关违法实施行政许可，给当事人的合法权益造成损害的，应当依照国家赔偿法的规定给予赔偿。,现行有效,法律,法律,中央,20190423,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ed687f2624a94d06799f8eabbdf55846?text=76,ed687f2624a94d06799f8eabbdf55846_76,ed687f2624a94d06799f8eabbdf55846,"['建设工程法', '建设工程法##建筑施工', '财税##其他财经法规', '财税##其他财经法规##财政部', '财税']",1.0473380399999999,1
最高人民法院关于审理行政许可案件若干问题的规定,第二条,　公民、法人或者其他组织认为行政机关未公开行政许可决定或者未提供行政许可监督检查记录侵犯其合法权益，提起行政诉讼的，人民法院应当依法受理。,现行有效,司法解释,高法司法解释,中央,20100104,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/efc66be1ba5a4db3f06f57d2d436fcb8?text=2,efc66be1ba5a4db3f06f57d2d436fcb8_2,efc66be1ba5a4db3f06f57d2d436fcb8,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.0427256,1
最高人民检察院发布2021年度十大行政检察典型案例,,"　　（2022年1月24日）
　　目　录
　　1.崔某诉北京市公安局某分局政府信息公开监督案
　　2.张某诉辽宁省某县农合局履行报销医疗费用职责监督案
　　3.上海市某区检察院对交通道路标线设置不合理监督案
　　4.王某诉江苏省无锡市某区市场监管局行政登记监督案
　　5.福建省某县卫健局征收社会抚养费非诉执行监督系列案
　　6.某百货公司诉山东省某市人社局工伤认定监督案
　　7.毛某诉河南省某市公安局、市政府行政处罚及行政复议监督案
　　8.胡某诉湖南省某市某镇政府行政强制监督案
　　9.杨某诉广东省某市税务局涉税行政争议监督案
　　10.韦某、黎某诉陕西省某市某区建设局撤销备案登记监督案
　　1.崔某诉北京市公安局某分局政府信息公开监督案
　　【关键词】
　　行政裁判结果监督　抗诉　政府信息公开
　　【案例简介】
　　崔某与马某再婚后将户口迁入某胡同17号公房承租人马某处。2013年马某去世。2014年，马某长子及孙子将户口迁入某胡同17号。",现行有效,司法解释,指导案例,,20220124,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e5d2639b1925e6991a7009dba0259409,,e5d2639b1925e6991a7009dba0259409,[],1.037721564,2
中华人民共和国行政复议法(2023修订),第八条,　行政复议机关应当加强信息化建设，运用现代信息技术，方便公民、法人或者其他组织申请、参加行政复议，提高工作质量和效率。,现行有效,法律,法律,中央,20240101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/386c366929bb6e195b65b81945d71a72?text=8,386c366929bb6e195b65b81945d71a72_8,386c366929bb6e195b65b81945d71a72,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.033566072,1
中华人民共和国行政强制法,第八条,"　公民、法人或者其他组织对行政机关实施行政强制，享有陈述权、申辩权；有权依法申请行政复议或者提起行政诉讼；因行政机关违法实施行政强制受到损害的，有权依法要求赔偿。 
公民、法人或者其他组织因人民法院在强制执行中有违法行为或者扩大强制执行范围受到损害的，有权依法要求赔偿。",现行有效,法律,法律,中央,20120101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/857107fa940e65f4e51f6f25b4437bed?text=8,857107fa940e65f4e51f6f25b4437bed_8,857107fa940e65f4e51f6f25b4437bed,"['财税##税收法规##税收征收管理', '财税##税收法规', '财税']",1.02600684,1
最高人民法院关于行政机关不依法履行政府信息公开义务行为是否属于行政复议范围问题的答复,,"　　吉林省高级人民法院： 
　　你院《关于戚凤春、云庆强诉吉林省人民政府政府信息公开行政复议一案的请示》收悉。经研究，答复如下： 
　　行政机关针对政府信息公开申请作出不予公开答复或者逾期不予答复，属于《中华人民共和国政府信息公开条例》第三十三条第二款规定的“行政机关在政府信息公开工作中的具体行政行为”，公民、法人或者其他组织认为侵犯其合法权益的，可以依法申请行政复议。行政复议机关依照《中华人民共和国政府信息公开条例》第三十三条第一款不予受理，系适用法律错误，人民法院依法应予纠正。",现行有效,司法解释,司法解释性质文件,中央,20140626,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d790b68dbdef3094414b929af6b2eade,,d790b68dbdef3094414b929af6b2eade,[],1.0032237,2
中华人民共和国反有组织犯罪法,第七十六条,　有关单位和个人对依照本法作出的行政处罚和行政强制措施决定不服的，可以依法申请行政复议或者提起行政诉讼。,现行有效,法律,法律,中央,20220501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/bf04fa2c216b9e0d624456ab05afd38f?text=76,bf04fa2c216b9e0d624456ab05afd38f_76,bf04fa2c216b9e0d624456ab05afd38f,[],0.93133716,1
最高人民法院发布十五起行政机关负责人出庭应诉典型案例,,"本案中，荆门中院根据行政争议情况，认为需要行政机关负责人出庭应诉并实际通知，符合负责人出庭应诉制度的相关规定。行政机关领导干部是推进全面依法治国的“关键少数”，正职或主要负责人是“关键少数”中的“关键少数”，在带头尊法学法守法用法中，发挥着示范引领作用。本案中，京山市市长积极参与应诉工作，在庭审过程中合理发表意见，行政相对人基于对市长的信任，在实际领取补偿待遇前即撤回起诉，充分说明正职负责人出庭应诉对有效化解行政争议具有极为重要的作用。　　七、 沈某某诉浙江省宁波市奉化区综合行政执法局政府信息公开案
　　基本案情
　　2017年2月22日，沈某某向浙江省宁波市奉化区人民法院（以下简称奉化区法院）提起行政诉讼，请求撤销浙江省宁波市奉化区综合行政执法局（以下简称奉化区综合执法局）作出的政府信息公开答复，其诉讼目的是要求公开政府信息获取相应证据，以解决其房屋征收补偿的实质诉求。沈某某对政府信息公开工作及相关法律十分熟悉，因房屋征收补偿问题未解决，对行政机关具有较为强烈的不满情绪。",现行有效,司法解释,指导案例,,20210701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c36285fe32334964e29b49e140323bd4,,c36285fe32334964e29b49e140323bd4,[],0.921854352,2
中华人民共和国行政许可法(2019修正),第七条,　公民、法人或者其他组织对行政机关实施行政许可，享有陈述权、申辩权；有权依法申请行政复议或者提起行政诉讼；其合法权益因行政机关违法实施行政许可受到损害的，有权依法要求赔偿。,现行有效,法律,法律,中央,20190423,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ed687f2624a94d06799f8eabbdf55846?text=7,ed687f2624a94d06799f8eabbdf55846_7,ed687f2624a94d06799f8eabbdf55846,"['建设工程法', '建设工程法##建筑施工', '财税##其他财经法规', '财税##其他财经法规##财政部', '财税']",0.9084920400000001,1
中华人民共和国国务院组织法(2024修订),第十七条,　国务院健全行政监督制度，加强行政复议、备案审查、行政执法监督、政府督查等工作，坚持政务公开，自觉接受各方面监督，强化对行政权力运行的制约和监督。,现行有效,法律,法律,中央,20240311,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/44d2dfc669b7c81c2985600535d54c34?text=17,44d2dfc669b7c81c2985600535d54c34_17,44d2dfc669b7c81c2985600535d54c34,[],0.8980227599999999,1
最高人民法院发布关于审理行政赔偿案件若干问题的规定,第十条,　行政机关依据行政诉讼法第九十七条的规定申请人民法院强制执行其行政行为，因据以强制执行的行政行为违法而发生行政赔偿诉讼的，申请强制执行的行政机关为被告。,现行有效,司法解释,高法司法解释,中央,20220501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/45a7243976cd984b0d16396952df77b2?text=10,45a7243976cd984b0d16396952df77b2_10,45a7243976cd984b0d16396952df77b2,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.85287444,1
人民法院实质化解行政争议典型案例(第一批),,"苗某为核实商品房开发及销售过程中政府监管等行政行为的合法性，向某市税务局申请公开“涉案商品房开发及销售过程中应缴纳的契税、营业税、欠税情况”等信息，某市税务局在征求甲置业公司意见后作出答复，认为“申请事项涉及纳税人商业秘密，应不予公开”。2023年，苗某提起行政诉讼，要求确认某市税务局不履行政府信息公开职责的行为违法，人民法院判决驳回其诉讼请求。苗某不服该政府信息公开答复，又向某市人民政府申请行政复议，某市人民政府未作出答复。苗某不服上述不予答复行为，提起诉讼。　　【处理结果】
　　二审法院在案件审理过程中发现，本案虽为不履行行政复议法定职责之诉，但当事人的实际目的系为解决商品房交房、办证问题，且苗某只是具有同样利益诉求的70余户业主中的一户，若案件处理不当，后续可能引发大量诉讼。同时，二审法院还注意到，苗某在首次提起信息公开之诉时，涉案商品房尚不具备交付条件，而不履行行政复议法定职责案二审时，房屋已经可以交付，但开发商表示需要完成开具税务发票等事项后方可办证。",现行有效,司法解释,指导案例,,0,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c71ac05355138231cfe27049ee793b70,,c71ac05355138231cfe27049ee793b70,[],0.83428152,2
最高人民法院关于审理行政许可案件若干问题的规定,第十四条,　行政机关依据行政许可法第八条第二款规定变更或者撤回已经生效的行政许可，公民、法人或者其他组织仅主张行政补偿的，应当先向行政机关提出申请；行政机关在法定期限或者合理期限内不予答复或者对行政机关作出的补偿决定不服的，可以依法提起行政诉讼。,现行有效,司法解释,高法司法解释,中央,20100104,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/efc66be1ba5a4db3f06f57d2d436fcb8?text=14,efc66be1ba5a4db3f06f57d2d436fcb8_14,efc66be1ba5a4db3f06f57d2d436fcb8,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.76131606,1
最高人民法院发布5件涉企行政强制典型案例（第一批）,,为充分发挥典型案例的示范引领作用，以严格公正司法护航民营经济高质量发展，最高人民法院选取了10个涉企行政强制典型案例，将分两批发布，每批均包含2个行政强制措施、2个行政强制执行和1个非诉行政强制案例。　　以上案例具有以下四个方面特点：一是涉及行政强制种类多样，既包括查封设施、扣押财物等行政强制措施，也包括行政强制执行、申请人民法院强制执行等；二是原告企业所涉行业多元，包括了绿化、通讯、旅游、能源、药品、装饰、文化传播等与人民群众生产生活息息相关的行业；三是涉及行政管理领域广泛，涉诉行政机关既包括地方人民政府，也包括文化旅游、消防管理、市场监管、城乡建设、劳动保障、综合执法等职能部门；四是所反映的法律问题值得关注，涉及行政主体资格、法定职权、执法依据、执法程序、信赖利益保护等方面法律适用标准的探索和完善。相关案例的发布，集中体现了人民法院通过监督、纠正违法行政强制行为，依法保护市场主体财产权和其他合法权益的坚强决心，有利于强化规范指导，进一步防止同类行政违法情形的发生。本次发布第一批5个案例。　　涉企行政强制典型案例（第一批）,现行有效,司法解释,指导案例,,20250812,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2a0948790d96b702426a6b728557b810,,2a0948790d96b702426a6b728557b810,[],0.70971396,2
最高人民检察院发布2020年度十大行政检察典型案例,,"　　最高人民检察院发布2020年度十大行政检察典型案例
　　（2021年01月28日）
　　目　录
　　1.王某凤等45人与北京市某区某镇政府强制拆除和行政赔偿检察监督系列案
　　2.胡某与天津市国土资源和房屋管理局撤销不动产权证书行政抗诉案
　　3.魏某等19人与山西省某市市场监督管理局不履行法定职责行政抗诉案
　　4.某村五组与内蒙古巴彦淖尔市某区政府和冯某土地行政登记抗诉案
　　5.张某与黑龙江省某市人民政府行政复议调解检察监督案
　　6.上海市黄浦区检察院就王某某与区房管局房屋补偿安置纠纷制发检察建议案
　　7.姚某与福建省某县民政局撤销婚姻登记检察监督案
　　8.王某等54人与山东某镇政府征收补偿安置行政裁判执行检察监督案
　　9.湖北省武汉市某家具公司拖欠农民工工资行政非诉执行检察监督案
　　10.李某与陕西省商洛市某县公安局公安行政管理及行政赔偿检察监督案
　　1.王某凤等45人与北京市某区某镇政府强制拆除和行政赔偿检察监督系列案
　　【关键词】
　　强制拆除　行政赔偿　促成和解
　　【案例简介】",现行有效,司法解释,指导案例,,20210128,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8a8ab6d86c46ea1cf14f2dfc85ff02d6,,8a8ab6d86c46ea1cf14f2dfc85ff02d6,[],0.66854712,2
最高人民法院发布行政诉讼法修正施行十周年典型案例,,"　　五、审查规范性文件合法性促推行政机关修改“红头文件”，实现行政诉讼“审理一案、规范一片”——袁某某诉江西省于都县人民政府物价行政征收案
　　六、依法判决撤销明显不当的行政处罚决定，监督行政机关依法行使职权、维护当事人合法权益——秦某某诉重庆市綦江区公安局交通巡逻警察支队、重庆市綦江区公安局行政处罚及行政复议案
　　七、依法适用民营经济促进法规定作出裁判，切实保护民营经济组织合法权益——甲公司诉河南省南阳市人民政府返还征收补偿款案
　　一、依法判决撤销国家部委行政复议决定，有力监督行政机关依法行使职权——丙公司诉原中华人民共和国国土资源部行政复议案
　　（一）基本案情
　　2006年1月，原湖南省国土资源厅向郴州市甲公司颁发《采矿许可证》，矿山名称为“甲公司红旗岭矿”，有效期限为2006年1月至2010年1月；2010年，采矿权人经原湖南省国土资源厅批准转让和变更登记为乙公司。",现行有效,司法解释,指导案例,,20251017,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/eb74379b24660674cb7db6a9dd0d76fe,,eb74379b24660674cb7db6a9dd0d76fe,[],0.65757372,2
最高人民检察院发布“检察为民办实事”——行政检察与民同行系列典型案例(第十一批),,"本案中，街道办、区执法局强制拆除行为仅造成了单某财产损失，虽然给单某精神状态带来了不良影响，但没有证据证明致单某精神损害且达到后果严重，不符合精神损害赔偿的法定情形。行政机关已表达歉意，显示了化解矛盾纠纷的诚意，希望单某能够体谅和理解行政机关依法拆除违法建筑系职责所在，继续支持城市更新建设。　　经过检察官和听证员的释法说理，单某逐渐打开心结，自愿放弃要求恢复原状、精神损害赔偿和书面赔礼道歉的诉请。经协商，单某与行政机关达成具体赔偿方案。　　经过评议，听证员认为，复议决定及法院判决并无不当，行政机关应当就违法行为造成的财产损失予以赔偿，听证会中达成的赔偿协议合法合理，有效推动矛盾化解，避免信访风险隐患。　　听证效果。听证会后，单某签署书面承诺书，表示不再就此事进行信访和诉讼，并向检察机关撤回监督申请。检察机关持续跟进，行政机关及时足额支付了赔偿款。至此，单某耗时三年多的行政争议得到化解。　　【典型意义】
　　行政行为经法院确认违法后，行政机关应依法承担违法行政行为造成的直接财产损失。",现行有效,司法解释,指导案例,,20230428,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/602d88396e2d78c12ad8aca940cdae3d,,602d88396e2d78c12ad8aca940cdae3d,[],0.64142568,2
最高人民法院关于适用《中华人民共和国行政诉讼法》的解释,第一百五十二条,"　对发生法律效力的行政判决书、行政裁定书、行政赔偿判决书和行政调解书，负有义务的一方当事人拒绝履行的，对方当事人可以依法申请人民法院强制执行。 
人民法院判决行政机关履行行政赔偿、行政补偿或者其他行政给付义务，行政机关拒不履行的，对方当事人可以依法向法院申请强制执行。",现行有效,司法解释,高法司法解释,中央,20180208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b740a7aa6bdcd94a6cb099deeac811e6?text=152,b740a7aa6bdcd94a6cb099deeac811e6_152,b740a7aa6bdcd94a6cb099deeac811e6,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.595516272,1
中华人民共和国行政强制法,第十四条,　起草法律草案、法规草案，拟设定行政强制的，起草单位应当采取听证会、论证会等形式听取意见，并向制定机关说明设定该行政强制的必要性、可能产生的影响以及听取和采纳意见的情况。,现行有效,法律,法律,中央,20120101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/857107fa940e65f4e51f6f25b4437bed?text=14,857107fa940e65f4e51f6f25b4437bed_14,857107fa940e65f4e51f6f25b4437bed,"['财税##税收法规##税收征收管理', '财税##税收法规', '财税']",0.57800064,1
最高人民检察院关于印发最高人民检察院第三十批指导性案例的通知,,"检察机关办理行政强制拆除引起的行政赔偿诉讼监督案件，在查清案件事实、厘清各方责任的基础上，兼顾监督公权和保障私权双重目标，既要促使行政机关对其委托事务实施过程中发生的违法后果承担责任，又要将双方达成的赔偿协议限定在法定范围和幅度内，确保公平合法地解决行政赔偿争议。　　（二）检察机关在化解行政争议过程中应当充分发挥检察一体化优势，凝聚合力，促进疑难复杂行政争议的化解。检察机关对于久拖未结的疑难复杂行政争议，可以根据案件实际情况多级联动，上级检察机关通过交办、督办、参与调处等方式，发挥协调指导作用，争议所在地检察机关充分调查、走访，发挥熟悉当地情况、就近开展工作的优势，齐心协力做好行政争议实质性化解工作。　　【相关规定】
　　《中华人民共和国行政诉讼法》第十一条、第四十九条、第九十一条
　　《中华人民共和国国家赔偿法》第七条、第三十六条
　　《人民检察院行政诉讼监督规则（试行）》第十三条、第二十条
　　魏某等19人诉山西省某市发展和改革局不履行法定职责检察监督案
　　（检例第118号）　
　　【关键词】
　　行政争议实质性化解　履行法定职责　抗诉　公开听证　解决同类问题
　　【要旨】",现行有效,司法解释,指导案例,,20210817,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e15ad2e6b64af75dc450494b041cc370,,e15ad2e6b64af75dc450494b041cc370,[],0.52430676,2
