法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国公司法(2023修订),第九十六条,"　股份有限公司的注册资本为在公司登记机关登记的已发行股份的股本总额。在发起人认购的股份缴足前，不得向他人募集股份。
法律、行政法规以及国务院决定对股份有限公司注册资本最低限额另有规定的，从其规定。",现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=96,4b6623ef5d58443a55a8a693226fc7a8_96,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.1614062,1
全国人民代表大会常务委员会关于《中华人民共和国刑法》第一百五十八条、第一百五十九条的解释,,"　　全国人民代表大会常务委员会关于《中华人民共和国刑法》第一百五十八条、第一百五十九条的解释 
　　（2014年4月24日第十二届全国人民代表大会常务委员会第八次会议通过） 
　　全国人民代表大会常务委员会讨论了公司法修改后刑法第一百五十八条、第一百五十九条对实行注册资本实缴登记制、认缴登记制的公司的适用范围问题，解释如下： 
　　刑法第一百五十八条、第一百五十九条的规定，只适用于依法实行注册资本实缴登记制的公司。 
　　现予公告。",现行有效,法律,立法解释,中央,20140424,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d5f5ba0087a4f4fd8d3c9095eff5abde,,d5f5ba0087a4f4fd8d3c9095eff5abde,"['上市公司法##刑事责任', '上市公司法', '上市公司法##上市公司']",1.14027192,2
中华人民共和国公司法(2023修订),第三十九条,　虚报注册资本、提交虚假材料或者采取其他欺诈手段隐瞒重要事实取得公司设立登记的，公司登记机关应当依照法律、行政法规的规定予以撤销。,现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=39,4b6623ef5d58443a55a8a693226fc7a8_39,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.1308809,1
中华人民共和国公司法(2023修订),第四十七条,"　有限责任公司的注册资本为在公司登记机关登记的全体股东认缴的出资额。全体股东认缴的出资额由股东按照公司章程的规定自公司成立之日起五年内缴足。
法律、行政法规以及国务院决定对有限责任公司注册资本实缴、注册资本最低限额、股东出资期限另有规定的，从其规定。",现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=47,4b6623ef5d58443a55a8a693226fc7a8_47,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.12682976,1
中华人民共和国公司法(2023修订),第二百二十八条,"　有限责任公司增加注册资本时，股东认缴新增资本的出资，依照本法设立有限责任公司缴纳出资的有关规定执行。
股份有限公司为增加注册资本发行新股时，股东认购新股，依照本法设立股份有限公司缴纳股款的有关规定执行。",现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=228,4b6623ef5d58443a55a8a693226fc7a8_228,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.1265608999999999,1
最高法发布4个涉民营企业产权和民营企业家权益保护再审典型案例,,"2014年4月24日，第十二届全国人民代表大会常务委员会第八次会议通过了《关于〈中华人民共和国刑法〉第一百五十八条、第一百五十九条的解释》。本案原审生效判决作出时间在公司法修正及相关立法解释出台之后，故应适用修正后的公司法及相关立法解释。按照修正后的公司法及立法解释等相关规定，除法律、行政法规以及国务院决定对公司注册资本实缴另有规定的以外，将公司注册资本从实缴登记制改为认缴登记制。本案涉及的某房产公司不属于注册资本实缴制的公司范围，2014年3月1日以后，不应对原审被告人以虚报注册资本罪追究刑事责任。辽宁省高级人民法院于2022年12月13日作出再审判决，维持对谢某犯私分国有资产罪、行贿罪、职务侵占罪的定罪量刑；宣告谢某不构成虚报注册资本罪，赵某某、杨某某无罪。　　典型意义
　　经济犯罪往往先违反了经济管理相关法律法规的禁止性规定。在办理经济犯罪案件时，要注意相关法律法规的变化。虚报注册资本罪的成立以违反公司法有关注册资本缴纳规定为前提。修正后的公司法原则上将公司注册资本从实缴登记制改为认缴登记制。",现行有效,司法解释,指导案例,,20251105,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cb63aa044cfea1f752cf587198df07b3,,cb63aa044cfea1f752cf587198df07b3,[],1.10596824,2
最高人民检察院、公安部关于严格依法办理虚报注册资本和虚假出资抽逃出资刑事案件的通知,第二条,严格把握罪与非罪的界限。根据新修改的公司法和全国人大常委会立法解释，自2014年3月1日起，除依法实行注册资本实缴登记制的公司（参见《国务院关于印发注册资本登记制度改革方案的通知》（国发〔2014〕7号））以外，对申请公司登记的单位和个人不得以虚报注册资本罪追究刑事责任；对公司股东、发起人不得以虚假出资、抽逃出资罪追究刑事责任。对依法实行注册资本实缴登记制的公司涉嫌虚报注册资本和虚假出资、抽逃出资犯罪的，各级公安机关、检察机关依照刑法和《立案追诉标准（二）》的相关规定追究刑事责任时，应当认真研究行为性质和危害后果，确保执法办案的法律效果和社会效果。,现行有效,司法解释,两高工作文件,,20140520,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e243d2d0ce71840bacbf65218493d2e7?text=2,e243d2d0ce71840bacbf65218493d2e7_2,e243d2d0ce71840bacbf65218493d2e7,"['上市公司法##刑事责任', '上市公司法##上市公司', '上市公司法']",1.078306392,1
最高人民法院发布2020年全国法院十大商事案例,,"山东省平度市人民法院判令许勤勤向青岛铸鑫公司支付设备款及违约金共计355932.8元，通舜公司在90万元范围内承担连带清偿责任，周洁茹在90万元范围内承担连带清偿责任。一审宣判后，许勤勤、通舜公司、周洁茹以设备存在质量问题故许勤勤无需支付货款其违约金，通舜公司、周洁茹以股权转让之时出资并未到期等为由提起上诉，青岛中院驳回上诉，维持原判。　　专家点评
　　北京大学法学院教授、博士生导师
　　蒋大兴
　　资本认缴制是2013年 公司法 修正的重大改革，修订后的《 公司法 》取消了最低注册资本的限制，改实缴制为认缴制。但这一改革并不意味着股东从此对注册资本的认缴和履行可以随心所欲，甚至操弄公司，作为其空手套白狼的手段。公司资本制度之设计，在微观上事涉公司、股东、债权人等多方利益主体，在宏观上则涉及国家、地区的投资政策，事关公共利益目标。因此，如若将资本认缴制改革等同于股东完全逃脱其出资义务，规避法律对公司资本的限制，则不仅背离认缴制的初衷，动摇公司资本三原则的根本，也将致使社会上 皮包公司空壳公司泛滥，对经济交易秩序危害极大。",现行有效,司法解释,指导案例,,20210210,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b0ee8c72d18af91e2d4e01c077a69d0e,,b0ee8c72d18af91e2d4e01c077a69d0e,[],1.024987512,2
最高人民检察院、公安部关于严格依法办理虚报注册资本和虚假出资抽逃出资刑事案件的通知,,"　　最高人民检察院、公安部关于严格依法办理虚报注册资本和虚假出资抽逃出资刑事案件的通知
　　（公经〔2014〕247号）
　　各省、自治区、直辖市人民检察院，公安厅、局，新疆生产建设兵团人民检察院、公安局：
　　2013年12月28日，第十二届全国人民代表大会常务委员会第六次会议通过了关于修改《中华人民共和国公司法》的决定，自2014年3月1日起施行。2014年4月24日，第十二届全国人民代表大会常务委员会第八次会议通过了《全国人大常委会关于刑法第一百五十八条、第一百五十九条的解释》。为了正确执行新修改的公司法和全国人大常委会立法解释，现就严格依法办理虚报注册资本和虚假出资、抽逃出资刑事案件的有关要求通知如下：",现行有效,司法解释,两高工作文件,,20140520,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e243d2d0ce71840bacbf65218493d2e7,,e243d2d0ce71840bacbf65218493d2e7,"['上市公司法##刑事责任', '上市公司法##上市公司', '上市公司法']",1.02071136,3
中华人民共和国公司法(2023修订),第二百六十六条,"　本法自2024年7月1日起施行。
本法施行前已登记设立的公司，出资期限超过本法规定的期限的，除法律、行政法规或者国务院另有规定外，应当逐步调整至本法规定的期限以内；对于出资期限、出资额明显异常的，公司登记机关可以依法要求其及时调整。具体实施办法由国务院规定。",现行有效,法律,法律,中央,20240701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4b6623ef5d58443a55a8a693226fc7a8?text=266,4b6623ef5d58443a55a8a693226fc7a8_266,4b6623ef5d58443a55a8a693226fc7a8,"['企业法##内资企业', '财税##其他法律法规##其他法律', '财税##司法及单行法律专题法规##公司法', '财税##其他法律法规', '财税##司法及单行法律专题法规', '财税', '企业法', '证券行业法规', '上市公司法', '上市公司法##上市公司']",1.019666364,1
