法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
全国检察机关依法惩治盗抢犯罪典型案例,,　　【法律要旨】刑法第二百六十四条规定，盗窃公私财物，数额较大的，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者其他严重情节的，处三年以上十年以下有期徒刑，并处罚金，数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。　　检察机关办理此类案件，要注意把握盗窃罪与其他罪名，尤其是与诈骗罪的区别。盗窃罪与诈骗罪都是属于财物占有转移的犯罪，即盗窃行为与诈骗行为是财物占有关系发生转移的原因。主观方面，两罪都是行为人对他人财物的非法占有，二者并无区别，但在获得财物的行为特征上，二者有明显区别。盗窃罪行为人获得财物的方式，是一种积极主动的取得行为，无需介入处分人处分财物的因素，即可完成非法占有财物；而诈骗罪行为人虽然实施了虚构事实、隐瞒真相的行为，但处分人是否基于错误认识处分财物，对于行为人而言仅是一种或然性，行为人必须借助处分人处分财物才能完成非法占有财物。,现行有效,司法解释,指导案例,,20200515,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c3b938f01d1b43b8984fa20fbea8e178,,c3b938f01d1b43b8984fa20fbea8e178,[],1.175507712,2
最高人民法院关于审理未成年人刑事案件具体应用法律若干问题的解释,第十条,"　已满十四周岁不满十六周岁的人盗窃、诈骗、抢夺他人财物，为窝藏赃物、抗拒抓捕或者毁灭罪证，当场使用暴力，故意伤害致人重伤或者死亡，或者故意杀人的，应当分别以故意伤害罪或者故意杀人罪定罪处罚。 
　　已满十六周岁不满十八周岁的人犯盗窃、诈骗、抢夺罪，为窝藏赃物、抗拒抓捕或者毁灭罪证而当场使用暴力或者以暴力相威胁的，应当依照刑法第二百六十九条的规定定罪处罚；情节轻微的，可不以抢劫罪定罪处罚。",现行有效,司法解释,高法司法解释,中央,20060123,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0add81ec2d67c6f46193acbff12a7996?text=10,0add81ec2d67c6f46193acbff12a7996_10,0add81ec2d67c6f46193acbff12a7996,"['未成年保护', '未成年保护##校园霸凌']",1.16318904,1
中华人民共和国刑法(2023修正),第二百三十二条,　【故意杀人罪】故意杀人的，处死刑、无期徒刑或者十年以上有期徒刑；情节较轻的，处三年以上十年以下有期徒刑。,现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=232,aecabfbe6b0843642509a7f1ff865413_232,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",1.12170408,1
中华人民共和国刑法(2023修正),第二百三十四条之一,"　【组织出卖人体器官罪】组织他人出卖人体器官的，处五年以下有期徒刑，并处罚金；情节严重的，处五年以上有期徒刑，并处罚金或者没收财产。
【故意伤害罪】【故意杀人罪】未经本人同意摘取其器官，或者摘取不满十八周岁的人的器官，或者强迫、欺骗他人捐献器官的，依照本法第二百三十四条、第二百三十二条的规定定罪处罚。
【盗窃、侮辱、故意毁坏尸体、尸骨、骨灰罪】违背本人生前意愿摘取其尸体器官，或者本人生前未表示同意，违反国家规定，违背其近亲属意愿摘取其尸体器官的，依照本法第三百零二条的规定定罪处罚。",现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=234,aecabfbe6b0843642509a7f1ff865413_234.1,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",1.0230811199999998,1
最高人民法院关于对故意伤害、盗窃等严重破坏社会秩序的犯罪分子能否附加剥夺政治权利问题的批复,,"　　中华人民共和国最高人民法院公告 
　　《最高人民法院关于对故意伤害、盗窃等严重破坏社会秩序的犯罪分子能否附加剥夺政治权利问题的批复》已于１９９７年１２月２３日由最高人民法院审判委员会第９５２次会议通过，自１９９８年１月１３日公布起施行。 
　　一九九七年十二月三十一日 
　　关于对故意伤害、盗窃等严重破坏 
　　社会秩序的犯罪分子能否附加剥夺政治权利问题的批复 
　　（最高人民法院审判委员会第九百五十二次会议通过　法释〔一九九七〕十一号） 
　　福建省高级人民法院： 
　　你院《关于对故意伤害、盗窃（重大）等犯罪分子被判处有期徒刑的，能否附加剥夺政治权利的请示》收悉。经研究，答复如下： 
　　根据刑法第五十六条规定，对于故意杀人、强奸放火、爆炸、投毒、抢劫等严重破坏社会秩序的犯罪分子，可以附加剥夺政治权利。对故意伤害、盗窃等其他严重破坏社会秩序的犯罪，犯罪分子主观恶性较深、犯罪情节恶劣、罪行严重的，也可以依法附加剥夺政治权利。",现行有效,司法解释,高法司法解释,中央,19980113,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/0f8218975703c5ce0a520a7c02c00181,,0f8218975703c5ce0a520a7c02c00181,[],0.99406104,2
最高人民检察院发布2024年度十大法律监督案例,,途中，李某受张某某指使将二人欲杀害王某某一事告知马某某。四人进入大棚后，张某某首先持铁锹动手并直接实施杀害王某某的行为，李某帮助控制王某某，马某某见状离开大棚。张某某、李某共同致王某某死亡后，将尸体掩埋。三被告人骑电动自行车逃离现场，张某某将王某某手机微信账户中的钱转入自己微信后与李某平分，将王某某手机卡取出指使马某某砸毁，将手机交由李某扔弃。案发后，马某某首先交代并指引公安人员找到埋尸现场。　　邯郸市中级法院认为，被告人张某某、李某故意非法剥夺他人生命，其行为均已构成故意杀人罪。张某某、李某经预谋后将被害人王某某杀害并埋尸，手段特别残忍，情节特别恶劣，作案时已满十二周岁不满十四周岁，依照刑法第17条第三款的规定，应当负刑事责任。张某某提议杀人并纠集他人参与，提前进行犯罪准备，直接实施致被害人死亡的行为，系共同犯罪中罪责最为突出的主犯。李某积极参与预谋并实施杀人行为，事后与张某某平分赃款，在共同犯罪中亦系主犯，罪责小于张某某。马某某在去作案现场途中得知张某某、李某欲杀害王某某，并跟随前往。在目睹实施杀人时，即离开现场，后帮助毁灭被害人的手机卡，参与了张某某、李某杀害王某某的共同犯罪。,现行有效,司法解释,指导案例,,20250110,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/561c8772419ba60a59e5fadd883913a1,,561c8772419ba60a59e5fadd883913a1,[],0.99305952,2
最高人民法院关于发布第七批指导性案例的通知,,如果行为人获取财物时起决定性作用的手段是秘密窃取，诈骗行为只是为盗窃创造条件或作掩护，被害人也没有“自愿”交付财物的，就应当认定为盗窃；如果行为人获取财物时起决定性作用的手段是诈骗，被害人基于错误认识而“自愿”交付财物，盗窃行为只是辅助手段的，就应当认定为诈骗。在信息网络情形下，行为人利用信息网络，诱骗他人点击虚假链接而实际上通过预先植入的计算机程序窃取他人财物构成犯罪的，应当以盗窃罪定罪处罚；行为人虚构可供交易的商品或者服务，欺骗他人为支付货款点击付款链接而获取财物构成犯罪的，应当以诈骗罪定罪处罚。本案中，被告人臧进泉、郑必玲使用预设计算机程序并植入的方法，秘密窃取他人网上银行账户内巨额钱款，其行为均已构成盗窃罪。臧进泉、郑必玲和被告人刘涛以非法占有为目的，通过开设虚假的网络店铺和利用伪造的购物链接骗取他人数额较大的货款，其行为均已构成诈骗罪。对臧进泉、郑必玲所犯数罪，应依法并罚。,现行有效,司法解释,指导案例,,20140626,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/39cc1e5a441c8931c69ef17b68cb4bdb,,39cc1e5a441c8931c69ef17b68cb4bdb,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.9895239119999999,2
中华人民共和国刑法(2023修正),第二百六十六条,　【诈骗罪】诈骗公私财物，数额较大的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。本法另有规定的，依照规定。,现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=266,aecabfbe6b0843642509a7f1ff865413_266,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",0.975975036,1
中华人民共和国刑法(2023修正),第二百六十四条,　【盗窃罪】盗窃公私财物，数额较大的，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。,现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=264,aecabfbe6b0843642509a7f1ff865413_264,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",0.9515348399999999,1
中华人民共和国刑法修正案(八),第三十九条,将刑法第二百六十四条修改为：“盗窃公私财物，数额较大的，或者多次盗窃、入户盗窃、携带凶器盗窃、扒窃的，处三年以下有期徒刑、拘役或者管制，并处或者单处罚金；数额巨大或者有其他严重情节的，处三年以上十年以下有期徒刑，并处罚金；数额特别巨大或者有其他特别严重情节的，处十年以上有期徒刑或者无期徒刑，并处罚金或者没收财产。”,现行有效,法律,法律,中央,20110501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/686c1eb775dd9d6960b6c11b8907ef6b?text=39,686c1eb775dd9d6960b6c11b8907ef6b_39,686c1eb775dd9d6960b6c11b8907ef6b,[],0.926624676,1
