法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国刑法(2023修正),第二百三十三条,　【过失致人死亡罪】过失致人死亡的，处三年以上七年以下有期徒刑；情节较轻的，处三年以下有期徒刑。本法另有规定的，依照规定。,现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=233,aecabfbe6b0843642509a7f1ff865413_233,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",1.17080376,1
最高人民法院关于处理自首和立功具体应用法律若干问题的解释,,"　　中华人民共和国最高人民法院公告
　　《最高人民法院关于处理自首和立功具体应用法律若干问题的解释》已于１９９８年４月６日由最高人民法院审判委员会第９７２次会议通过，现予公布，自１９９８年５月９日起施行。
　　最高人民法院关于处理自首和立功具体应用法律若干问题的解释
　　（１９９８年４月６日最高人民法院审判委员会
　　第９７２次会议通过　法释〔１９９８〕８号）
　　为正确认定自首和立功，对具有自首或者立功表现的犯罪分子依法适用刑罚，现就具体应用法律的若干问题解释如下：",现行有效,司法解释,高法司法解释,中央,19980509,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b4ec6b0f79b5b66d600edd09b0de1c61,,b4ec6b0f79b5b66d600edd09b0de1c61,[],1.13472084,3
全国部分法院经济犯罪案件审判工作座谈会综述（2004）,第一条,与会代表对此形成两种不同的意见。一种意见认为，绑架过程中又当场劫取被害人随身携带财物的，同时触犯了绑架罪和抢劫罪两个罪名，属于异种数罪，应当数罪并罚。另一种意见认为，行为人在绑架过程中实施的暴力或暴力威胁行为，一方面被评价为绑架罪的犯罪构成要件，同时又在抢劫罪的认定中发生作用，如果数罪并罚，对同一行为有重复评价之嫌，因此，本着有利于被告的原则，应择一重罪定罪处罚。第三，驾驶机动车、非机动车夺取他人财物致人伤害或死亡的行为定性。对于在抢夺过程中过失造成被害人重伤、死亡，构成过失致人重伤罪、过失致人死亡罪等犯罪的，最高法院在相关抢夺罪的的司法解释中已经作出明确规定，即依照处罚较重的规定定罪处罚。但解释并未涉及抢夺过程中出于放任故意导致他人受伤或死亡情况的处理。对此，在讨论过程中，一种倾向性的意见认为，上述情况同时侵犯了他人的人身权利和财产权利，符合抢劫罪的双重客体标准，因此，只要有证据证明行为人主观上对伤亡后果是故意的，应以抢劫罪定罪处罚。不过也有人提出反对意见，认为上述情况不符合抢劫罪的基本特征，尽管其侵犯了两个不同的客体，但却并非并存于同一犯罪之中，而是分属于两个不同的罪名。,现行有效,司法解释,司法解释性质文件,中央,20041127,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/172a245a7fd0e91348808a779078c7c3?text=1,172a245a7fd0e91348808a779078c7c3_1,172a245a7fd0e91348808a779078c7c3,[],1.07396784,1
最高人民法院关于审理故意杀人、故意伤害案件正确适用死刑问题的指导意见,第五条,"、关于被告人有自首、立功情节的死刑适用
　　自首和立功是刑法明确规定的、司法实践中适用较多的两种法定从轻或减轻处罚情节。对于具备这两种情节之一的，一般都应依法从轻处罚。对于具有自首、立功情节，同时又有累犯、前科等法定、酌定从重处罚情节的，要综合分析从重因素和从轻因素哪方面更突出一些，依法体现宽严相济的基本刑事政策。　　对于被告人未自首，但被告人亲属协助抓获被告人，或者提供被告人犯罪的主要证据对定案起到重要作用等情况的，应作为酌定从宽情节，予以充分考虑。　　对于具有犯罪后果特别严重、犯罪动机特别卑劣或者被告人为规避法律而自首等情形的，对被告人是否从轻处罚，要从严掌握。　　对于罪该判处死刑的被告人具有立功表现的，是否从轻处罚，应当以该立功是否足以抵罪为标准。被告人确有重大立功表现的，一般应当考虑从轻处罚；被告人有一般立功表现，经综合考虑足以从轻的，也可以考虑对被告人从轻处罚；被告人亲属为使被告人得到从轻处罚，检举、揭发他人犯罪或者协助司法机关抓捕其他犯罪嫌疑人的，虽不能视为被告人立功，也可以作为酌定从宽情节考虑。",现行有效,司法解释,高法司法解释,中央,20090803,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c8503d29e22e9454ded0063c0a323aaa?text=5,c8503d29e22e9454ded0063c0a323aaa_5,c8503d29e22e9454ded0063c0a323aaa,[],1.04432016,1
最高人民法院关于处理自首和立功具体应用法律若干问题的解释,第三条,　根据刑法第六十七条第一款的规定，对于自首的犯罪分子，可以从轻或者减轻处罚；对于犯罪较轻的，可以免除处罚。具体确定从轻、减轻还是免除处罚，应当根据犯罪轻重，并考虑自首的具体情节。,现行有效,司法解释,高法司法解释,中央,19980509,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b4ec6b0f79b5b66d600edd09b0de1c61?text=3,b4ec6b0f79b5b66d600edd09b0de1c61_3,b4ec6b0f79b5b66d600edd09b0de1c61,[],0.98816448,1
最高人民检察院发布5起涉窨井盖犯罪典型案例,,4月7日，犯罪嫌疑人杨某、镇某辉涉嫌过失致人死亡罪被刑事拘留。　　4月14日，公安机关向咸安区人民检察院提请批准逮捕犯罪嫌疑人杨某、镇某辉。检察机关对本案进行羁押必要性审查后认为，杨某、镇某辉自愿认罪认罚，无串供、毁灭证据风险，系过失犯罪，社会危害性较小，且与被害方达成赔偿谅解协议，不需要逮捕羁押。4月21日，咸安区人民检察院对杨某、镇某辉作出不批准逮捕决定。同日，公安机关对杨某、镇某辉取保候审。　　5月27日，公安机关以犯罪嫌疑人杨某、镇某辉涉嫌过失致人死亡罪移送审查起诉。6月22日，咸安区人民检察院依法改变案件定性，以被告人杨某、镇某辉犯过失以危险方法危害公共安全罪提起公诉，并建议对杨某、镇某辉判处有期徒刑三年，缓刑三年。　　8月20日，咸安区人民法院作出一审判决，认定杨某、镇某辉犯过失以危险方法危害公共安全罪，分别判处有期徒刑三年，缓刑三年。该判决已生效。　　【典型意义】,现行有效,司法解释,指导案例,,20201228,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/71ab9180651a837ce03dd600cc1d042c,,71ab9180651a837ce03dd600cc1d042c,[],0.98317896,2
最高人民检察院公布5件检察机关办理涉窨井盖刑事犯罪典型案例,,"窨井盖系特殊物品，对这类物品的回收有特别规定，本案两名被告人明知所回收物品为盗窃所得而予以收购、销售，其行为触犯刑法第三百一十二条的规定，构成掩饰、隐瞒犯罪所得罪。　　三、姜某某过失致人死亡案
　　基本案情：2017年5月，河北省隆化县居民、被告人姜某某因要抽走下水道污水而打开其家门口外的窨井盖，未设警示标志且未找人看管即返回家中。后其邻居刘某发现自家孩子房某某（2周岁）不见了，经多方查找在姜某某打开的窨井内发现了房某某，被打捞上来后，房某某经抢救无效死亡，经鉴定系溺死。姜某某认罪悔罪，并积极赔偿，取得了被害人家属的谅解。2018年1月，姜某某犯过失致人死亡罪，被判处有期徒刑三年，缓刑四年。　　案件警示：擅自移动窨井盖，应当预见可能发生人员伤亡的后果，因疏忽大意而未能预见，造成他人重伤、死亡的，属于过失犯罪。本案中，姜某某主观上没有致人伤亡的故意，但其擅自移开家门口的井盖，应当预见可能产生危害后果而没有预见，造成儿童坠井溺死，其行为构成过失致人死亡罪，应当依照刑法第二百三十三条过失致人死亡罪处罚。　　四、周某某盗窃案",现行有效,司法解释,指导案例,,20200422,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/79953074c66b3bc593896949dc14d835,,79953074c66b3bc593896949dc14d835,[],0.97880808,2
最高人民法院关于发布第48批指导性案例的通知,,"《最高人民法院关于处理自首和立功若干问题的意见》（法发〔2010〕60号）第四条第一款规定：“犯罪分子通过贿买、暴力、胁迫等非法手段，或者被羁押后与律师、亲友会见过程中违反监管规定，获取他人犯罪线索并‘检举揭发’的，不能认定为有立功表现。”李某为获得从宽处理，支付报酬，指使被告人聂某环、梁某雨教唆被告人艾某实施犯罪并检举揭发，不构成立功。李某不仅提起犯意，还在聂某环、梁某雨等人“做局”教唆艾某危险驾驶过程中，与二人保持密切联系、遥控指挥，其亦构成危险驾驶罪共犯，且根据其犯罪情节应依法从严惩处。　　相关法条
　　《中华人民共和国刑法》第25条、第29条、第68条、第133条之一
　　《最高人民法院关于处理自首和立功若干问题的意见》（法发〔2010〕60号）第4条第1款",现行有效,司法解释,指导案例,,20260213,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/39851ce6d8999b0ebc014005e3cd7c9f,,39851ce6d8999b0ebc014005e3cd7c9f,[],0.95536086,2
最高人民法院发布三起人民法院贯彻宽严相济刑事政策典型案例,,"　　最高人民法院发布三起人民法院贯彻宽严相济刑事政策典型案例
　　（2013年2月）
　　1、被告人赵全喜等抢劫案
　　2、被告人杨俊祥故意杀人案
　　3、被告人钟韩越盗窃案
　　案例1：
　　被告人赵全喜等抢劫案
　　--抢劫致人死亡，后果和罪行极其严重，依法从严惩处
　　（一）基本案情
　　被告人钟韩越，女，汉族，1991年9月9日出生，无业。　　2010年6月中旬某日，被告人钟韩越到上海市新永安路18号－3光彩花边行找被害人陈粉红（钟韩越的姨母）时，在店内办公桌抽屉里发现陈粉红的农业银行借记卡1张，遂起意并窃得该卡。同月22日上午，钟韩越持该卡至上海市南京东路522号上海老凤祥银楼，通过猜配密码刷卡并在签购单上冒充陈粉红签名的方式，购得“千足金回购金条”3根，消费金额共计人民币128 512.5元。而后，钟韩越将金条予以销赃，得款用于归还其所欠他人之货款。同月27日，钟韩越被抓获归案。同月30日，钟韩越在其家属帮助下退赔了全部赃款。　　（二）裁判结果
　　本案由上海市黄浦区人民法院审理。最高人民法院对被告人钟韩越在法定刑以下判处刑罚进行复核。",现行有效,司法解释,指导案例,,0,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a935c84a382250a31b6331dd68455890,,a935c84a382250a31b6331dd68455890,[],0.90719688,2
中华人民共和国刑法(2023修正),第六十七条,"　【自首】犯罪以后自动投案，如实供述自己的罪行的，是自首。对于自首的犯罪分子，可以从轻或者减轻处罚。其中，犯罪较轻的，可以免除处罚。
被采取强制措施的犯罪嫌疑人、被告人和正在服刑的罪犯，如实供述司法机关还未掌握的本人其他罪行的，以自首论。
犯罪嫌疑人虽不具有前两款规定的自首情节，但是如实供述自己罪行的，可以从轻处罚；因其如实供述自己罪行，避免特别严重后果发生的，可以减轻处罚。",现行有效,法律,法律,中央,20240301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=67,aecabfbe6b0843642509a7f1ff865413_67,aecabfbe6b0843642509a7f1ff865413,"['财税##司法及单行法律专题法规##刑法与刑事诉讼法（经济）', '财税##其他法律法规##其他法律', '财税##外汇管理法规', '金融法##金融犯罪', '上市公司法##刑事责任', '财税##其他法律法规', '未成年保护##校园霸凌', '财税##司法及单行法律专题法规', '金融法', '企业法', '证券行业法规', '未成年保护', '财税##税收法规##税收征收管理', '未成年保护##家庭暴力', '企业法##刑事风险', '财税##税收法规', '财税', '上市公司法', '上市公司法##上市公司']",0.88276992,1
