法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国数据安全法,第三十一条,　关键信息基础设施的运营者在中华人民共和国境内运营中收集和产生的重要数据的出境安全管理，适用《中华人民共和国网络安全法》的规定；其他数据处理者在中华人民共和国境内运营中收集和产生的重要数据的出境安全管理办法，由国家网信部门会同国务院有关部门制定。,现行有效,法律,法律,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea3723b947e52ec5520715af35f6bb4b?text=31,ea3723b947e52ec5520715af35f6bb4b_31,ea3723b947e52ec5520715af35f6bb4b,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.1841327,1
中华人民共和国数据安全法,第二条,"　在中华人民共和国境内开展数据处理活动及其安全监管，适用本法。 
在中华人民共和国境外开展数据处理活动，损害中华人民共和国国家安全、公共利益或者公民、组织合法权益的，依法追究法律责任。",现行有效,法律,法律,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea3723b947e52ec5520715af35f6bb4b?text=2,ea3723b947e52ec5520715af35f6bb4b_2,ea3723b947e52ec5520715af35f6bb4b,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.10217636,1
中华人民共和国个人信息保护法,第三十八条,"　个人信息处理者因业务等需要，确需向中华人民共和国境外提供个人信息的，应当具备下列条件之一： 
（一）依照本法第四十条的规定通过国家网信部门组织的安全评估； 
（二）按照国家网信部门的规定经专业机构进行个人信息保护认证； 
（三）按照国家网信部门制定的标准合同与境外接收方订立合同，约定双方的权利和义务； 
（四）法律、行政法规或者国家网信部门规定的其他条件。 
中华人民共和国缔结或者参加的国际条约、协定对向中华人民共和国境外提供个人信息的条件等有规定的，可以按照其规定执行。 
个人信息处理者应当采取必要措施，保障境外接收方处理个人信息的活动达到本法规定的个人信息保护标准。",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=38,b6539377aaaa0f3661e48fbbcf343dc4_38,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.08837984,1
中华人民共和国个人信息保护法,第四十条,　关键信息基础设施运营者和处理个人信息达到国家网信部门规定数量的个人信息处理者，应当将在中华人民共和国境内收集和产生的个人信息存储在境内。确需向境外提供的，应当通过国家网信部门组织的安全评估；法律、行政法规和国家网信部门规定可以不进行安全评估的，从其规定。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=40,b6539377aaaa0f3661e48fbbcf343dc4_40,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.0851757199999998,1
中华人民共和国个人信息保护法,第三十六条,　国家机关处理的个人信息应当在中华人民共和国境内存储；确需向境外提供的，应当进行安全评估。安全评估可以要求有关部门提供支持与协助。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=36,b6539377aaaa0f3661e48fbbcf343dc4_36,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.06060668,1
中华人民共和国网络安全法(2025修正),第三十九条,　关键信息基础设施的运营者在中华人民共和国境内运营中收集和产生的个人信息和重要数据应当在境内存储。因业务需要，确需向境外提供的，应当按照国家网信部门会同国务院有关部门制定的办法进行安全评估；法律、行政法规另有规定的，依照其规定。,现行有效,法律,法律,中央,20260101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/dd2a44e36c701069a4ab746371a64813?text=39,dd2a44e36c701069a4ab746371a64813_39,dd2a44e36c701069a4ab746371a64813,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",1.02425628,1
中华人民共和国民法典,第一百二十七条,　法律对数据、网络虚拟财产的保护有规定的，依照其规定。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=127,55dceb7d83a1c90e3fe9c141b1118193_127,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.9698623919999999,1
中华人民共和国数据安全法,第十八条,"　国家促进数据安全检测评估、认证等服务的发展，支持数据安全检测评估、认证等专业机构依法开展服务活动。 
国家支持有关部门、行业组织、企业、教育和科研机构、有关专业机构等在数据安全风险评估、防范、处置等方面开展协作。",现行有效,法律,法律,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea3723b947e52ec5520715af35f6bb4b?text=18,ea3723b947e52ec5520715af35f6bb4b_18,ea3723b947e52ec5520715af35f6bb4b,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.93759678,1
中华人民共和国数据安全法,第二十五条,　国家对与维护国家安全和利益、履行国际义务相关的属于管制物项的数据依法实施出口管制。,现行有效,法律,法律,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea3723b947e52ec5520715af35f6bb4b?text=25,ea3723b947e52ec5520715af35f6bb4b_25,ea3723b947e52ec5520715af35f6bb4b,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.8511855119999999,1
中华人民共和国档案法(2020修订),第五十条,　违反本法规定，擅自运送、邮寄、携带或者通过互联网传输禁止出境的档案或者其复制件出境的，由海关或者有关部门予以没收、阻断传输，并对单位处一万元以上十万元以下的罚款，对个人处五百元以上五千元以下的罚款；并将没收、阻断传输的档案或者其复制件移交档案主管部门。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/781a59bd3e0819af23852895d442e632?text=50,781a59bd3e0819af23852895d442e632_50,781a59bd3e0819af23852895d442e632,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",0.8118157199999999,1
中华人民共和国数据安全法,第四十六条,　违反本法第三十一条规定，向境外提供重要数据的，由有关主管部门责令改正，给予警告，可以并处十万元以上一百万元以下罚款，对直接负责的主管人员和其他直接责任人员可以处一万元以上十万元以下罚款；情节严重的，处一百万元以上一千万元以下罚款，并可以责令暂停相关业务、停业整顿、吊销相关业务许可证或者吊销营业执照，对直接负责的主管人员和其他直接责任人员处十万元以上一百万元以下罚款。,现行有效,法律,法律,中央,20210901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea3723b947e52ec5520715af35f6bb4b?text=46,ea3723b947e52ec5520715af35f6bb4b_46,ea3723b947e52ec5520715af35f6bb4b,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.76484334,1
中华人民共和国个人信息保护法,第五十三条,　本法第三条第二款规定的中华人民共和国境外的个人信息处理者，应当在中华人民共和国境内设立专门机构或者指定代表，负责处理个人信息保护相关事务，并将有关机构的名称或者代表的姓名、联系方式等报送履行个人信息保护职责的部门。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=53,b6539377aaaa0f3661e48fbbcf343dc4_53,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.7553196,1
