法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国个人信息保护法,第二十三条,　个人信息处理者向其他个人信息处理者提供其处理的个人信息的，应当向个人告知接收方的名称或者姓名、联系方式、处理目的、处理方式和个人信息的种类，并取得个人的单独同意。接收方应当在上述处理目的、处理方式和个人信息的种类等范围内处理个人信息。接收方变更原先的处理目的、处理方式的，应当依照本法规定重新取得个人同意。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=23,b6539377aaaa0f3661e48fbbcf343dc4_23,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.9572573999999999,1
最高人民检察院关于印发最高人民检察院第三十五批指导性案例的通知,,"　　2021年4月16日，最高人民检察院向国家互联网信息办公室通报该案有关情况，提出开展短视频行业侵犯儿童个人信息权益问题专项治理，压实网络运营者未成年人保护责任，促进互联网企业对算法等相关技术规则改进提升，推动行业源头治理，建立健全风险防范长效机制，督促企业依法经营等工作建议，强化对网络空间侵犯未成年人权益行为的监管整治。12月31日，国家网信办、工信部、公安部、市场监管总局联合发布《互联网信息服务算法推荐管理规定》，对应用算法推荐技术提供互联网信息服务的治理和相关监督管理工作作出了进一步规范。　　【指导意义】
　　（一）统筹运用四大检察职能，充分发挥未成年人检察工作优势，为未成年人提供全面综合司法保护。未成年人保护案件中一个侵害行为往往涉及多个法律关系，检察机关应当在办案履职中强化综合司法保护意识，尤其是在办理刑事案件的过程中，要同步审查未成年人其他权益是否遭受损害，推进未成年人刑事案件办理与涉未成年人民事、行政、公益诉讼案件办理相互融合，在线索发现、调查取证、综合治理等方面统筹推动，充分发挥法律监督的能动性、及时性和有效性，以四大检察业务融合发展加大未成年人全面综合司法保护力度。",现行有效,司法解释,指导案例,,20220302,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/35093768b037d489377f0eaa63fca4a4,,35093768b037d489377f0eaa63fca4a4,[],0.886629084,2
中华人民共和国个人信息保护法,第三十条,　个人信息处理者处理敏感个人信息的，除本法第十七条第一款规定的事项外，还应当向个人告知处理敏感个人信息的必要性以及对个人权益的影响；依照本法规定可以不向个人告知的除外。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=30,b6539377aaaa0f3661e48fbbcf343dc4_30,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.8861765399999999,1
中华人民共和国个人信息保护法,第三十五条,　国家机关为履行法定职责处理个人信息，应当依照本法规定履行告知义务；有本法第十八条第一款规定的情形，或者告知将妨碍国家机关履行法定职责的除外。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=35,b6539377aaaa0f3661e48fbbcf343dc4_35,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.8227606080000001,1
最高人民法院发布5个网络消费民事典型案例,,"隐私政策中载明需要收集电话号码等个人信息。若用户在未实际阅读的情况下点击手机屏幕其他位置，该提示内容即消失并自动勾选“已阅读并同意隐私政策”选项，且勾选后没有撤回同意的途径。若用户点击拒绝，则该APP自动退出，不向用户提供任何服务。马某认为，该APP强迫或者变相强迫自己接受隐私政策，收集手机号等属于过度收集个人信息，构成对自己个人信息权益的侵害，故诉至法院，请求判令某公司停止侵害、赔礼道歉并赔偿维权合理开支等。　　【裁判结果】
　　审理法院认为，网络服务提供者应基于个人同意处理个人信息，其预先拟定的有关个人信息收集和使用的协议应使个人充分知情，并自愿、明确作出同意。该APP的基本功能为词汇查询，用户的手机号码并非使用词汇查询功能所必需的信息，故某公司存在过度收集用户信息的行为。该APP自动为用户勾选同意隐私政策，未依法保障用户在充分知情的情况下自主作出同意；其在用户拒绝同意隐私政策的情况下直接退出，不提供查词服务，属于拒绝提供基本服务；其未向用户提供便捷的撤回同意的方式。某公司的上述行为违反《中华人民共和国个人信息保护法》第十五条、第十六条规定，构成对马某个人信息权益的侵害。",现行有效,司法解释,指导案例,,20250616,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5f23e9a4fa76868d3e8832a0a6caf5a8,,5f23e9a4fa76868d3e8832a0a6caf5a8,[],0.614700432,2
中华人民共和国个人信息保护法,第三十九条,　个人信息处理者向中华人民共和国境外提供个人信息的，应当向个人告知境外接收方的名称或者姓名、联系方式、处理目的、处理方式、个人信息的种类以及个人向境外接收方行使本法规定权利的方式和程序等事项，并取得个人的单独同意。,现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=39,b6539377aaaa0f3661e48fbbcf343dc4_39,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.6032843999999999,1
中华人民共和国个人信息保护法,第十七条,"　个人信息处理者在处理个人信息前，应当以显著方式、清晰易懂的语言真实、准确、完整地向个人告知下列事项： 
（一）个人信息处理者的名称或者姓名和联系方式； 
（二）个人信息的处理目的、处理方式，处理的个人信息种类、保存期限； 
（三）个人行使本法规定权利的方式和程序； 
（四）法律、行政法规规定应当告知的其他事项。 
前款规定事项发生变更的，应当将变更部分告知个人。 
个人信息处理者通过制定个人信息处理规则的方式告知第一款规定事项的，处理规则应当公开，并且便于查阅和保存。",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=17,b6539377aaaa0f3661e48fbbcf343dc4_17,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.575550624,1
中华人民共和国个人信息保护法,,"　　中华人民共和国主席令 
　　（第九十一号） 
　　《中华人民共和国个人信息保护法》已由中华人民共和国第十三届全国人民代表大会常务委员会第三十次会议于2021年8月20日通过，现予公布，自2021年11月1日起施行。 
　　中华人民共和国主席　习近平 
　　2021年8月20日 
　　中华人民共和国个人信息保护法 
　　（2021年8月20日第十三届全国人民代表大会常务委员会第三十次会议通过）",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4,,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.524378904,3
中华人民共和国个人信息保护法,第六十二条,"　国家网信部门统筹协调有关部门依据本法推进下列个人信息保护工作： 
（一）制定个人信息保护具体规则、标准； 
（二）针对小型个人信息处理者、处理敏感个人信息以及人脸识别、人工智能等新技术、新应用，制定专门的个人信息保护规则、标准； 
（三）支持研究开发和推广应用安全、方便的电子身份认证技术，推进网络身份认证公共服务建设； 
（四）推进个人信息保护社会化服务体系建设，支持有关机构开展个人信息保护评估、认证服务； 
（五）完善个人信息保护投诉、举报工作机制。",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=62,b6539377aaaa0f3661e48fbbcf343dc4_62,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.491135784,1
中华人民共和国个人信息保护法,第十四条,"　基于个人同意处理个人信息的，该同意应当由个人在充分知情的前提下自愿、明确作出。法律、行政法规规定处理个人信息应当取得个人单独同意或者书面同意的，从其规定。 
个人信息的处理目的、处理方式和处理的个人信息种类发生变更的，应当重新取得个人同意。",现行有效,法律,法律,中央,20211101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b6539377aaaa0f3661e48fbbcf343dc4?text=14,b6539377aaaa0f3661e48fbbcf343dc4_14,b6539377aaaa0f3661e48fbbcf343dc4,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '证券行业法规']",0.44045208,1
