法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一),第十五条,"与用人单位形成劳动关系的工作人员、执行用人单位工作任务的其他人员，因执行工作任务造成他人损害，被侵权人依照民法典第一千一百九十一条第一款的规定，请求用人单位承担侵权责任的，人民法院应予支持。
　　个体工商户的从业人员因执行工作任务造成他人损害的，适用民法典第一千一百九十一条第一款的规定认定民事责任。",现行有效,司法解释,高法司法解释,中央,20240927,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/95b811a4cd922f346d0e29d92b5d2aac?text=15,95b811a4cd922f346d0e29d92b5d2aac_15,95b811a4cd922f346d0e29d92b5d2aac,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.15678068,1
中华人民共和国民法典,第一千一百六十五条,"　行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。 
　　依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。",现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1165,55dceb7d83a1c90e3fe9c141b1118193_1165,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.127763528,1
最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一),,"　　《最高人民法院关于适用〈中华人民共和国民法典〉侵权责任编的解释（一）》已于2023年12月18日由最高人民法院审判委员会第1909次会议通过，现予公布，自2024年9月27日起施行。
　　最高人民法院
　　2024年9月25日
　　法释〔2024〕12号
　　最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释（一）
　　（2023年12月18日最高人民法院审判委员会第1909次会议通过，自2024年9月27日起施行）
　　为正确审理侵权责任纠纷案件，根据《中华人民共和国民法典》、《中华人民共和国民事诉讼法》等法律规定，结合审判实践，制定本解释。",现行有效,司法解释,高法司法解释,中央,20240927,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/95b811a4cd922f346d0e29d92b5d2aac,,95b811a4cd922f346d0e29d92b5d2aac,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.111724352,3
最高人民法院关于适用《中华人民共和国民法典》侵权责任编的解释(一),第十条,"无民事行为能力人、限制民事行为能力人造成他人损害，被侵权人合并请求监护人和受托履行监护职责的人承担侵权责任的，依照民法典第一千一百八十九条的规定，监护人承担侵权人应承担的全部责任；受托人在过错范围内与监护人共同承担责任，但责任主体实际支付的赔偿费用总和不应超出被侵权人应受偿的损失数额。
　　监护人承担责任后向受托人追偿的，人民法院可以参照民法典第九百二十九条的规定处理。
　　仅有一般过失的无偿受托人承担责任后向监护人追偿的，人民法院应予支持。",现行有效,司法解释,高法司法解释,中央,20240927,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/95b811a4cd922f346d0e29d92b5d2aac?text=10,95b811a4cd922f346d0e29d92b5d2aac_10,95b811a4cd922f346d0e29d92b5d2aac,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.09751556,1
最高人民法院发布人民法院贯彻实施民法典典型案例(第一批),,"其未取得种子生产经营许可证生产经营种子，可以认定为侵权行为情节严重。因此，审理法院依法适用惩罚性赔偿，按照基数的二倍确定惩罚性赔偿数额，全额支持权利人诉请。　　（四）民法典条文指引
　　第一千一百八十五条　 故意侵害他人知识产权，情节严重的，被侵权人有权请求相应的惩罚性赔偿。　　十三、庾某娴诉黄某辉高空抛物损害责任纠纷案
　　（一）典型意义
　　本案是人民法院首次适用民法典第一千二百五十四条判决高空抛物者承担赔偿责任，切实维护人民群众“头顶上的安全”的典型案例。民法典侵权责任编明确禁止从建筑物中抛掷物品，进一步完善了高空抛物的治理规则。本案依法判决高空抛物者承担赔偿责任，有利于通过公正裁判树立行为规则，进一步强化高空抛物、坠物行为预防和惩治工作，也有利于更好地保障居民合法权益，切实增强人民群众的幸福感、安全感。　　（二）基本案情
　　2019年5月26日，庾某娴在位于广州杨箕的自家小区花园散步，经过黄某辉楼下时，黄某辉家小孩在房屋阳台从35楼抛下一瓶矿泉水，水瓶掉落到庾某娴身旁，导致其惊吓、摔倒，随后被送往医院救治。",现行有效,司法解释,指导案例,,20220225,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/590acf8c311463fa0013212c573a836d,,590acf8c311463fa0013212c573a836d,[],1.064410764,2
中华人民共和国民法典,第一千一百六十六条,　行为人造成他人民事权益损害，不论行为人有无过错，法律规定应当承担侵权责任的，依照其规定。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1166,55dceb7d83a1c90e3fe9c141b1118193_1166,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.047077676,1
最高人民法院关于审理生态环境侵权责任纠纷案件适用法律若干问题的解释,第五条,两个以上侵权人分别污染环境、破坏生态造成同一损害，每一个侵权人的行为都足以造成全部损害，被侵权人根据民法典第一千一百七十一条的规定请求侵权人承担连带责任的，人民法院应予支持。,现行有效,司法解释,高法司法解释,中央,20230901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ab5b937349ccc5ebe0579c5d69505604?text=5,ab5b937349ccc5ebe0579c5d69505604_5,ab5b937349ccc5ebe0579c5d69505604,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.04537568,1
最高人民检察院关于印发最高人民检察院第四十批指导性案例的通知,,虽然案涉污染环境、破坏生态的侵权行为发生在《民法典》施行前，但是侵权人未采取有效措施修复生态环境，生态环境持续性受损，严重损害社会公共利益，为更有利于保护生态环境，维护社会秩序和公共利益，根据《最高人民法院关于适用〈中华人民共和国民法典〉时间效力的若干规定》第二条规定，“民法典实施前的法律事实引起的民事纠纷案件，当时的法律、司法解释有规定，适用当时的法律、司法解释的规定，但是适用民法典的规定更有利于保护民事主体合法权益，更有利于维护社会和经济秩序，更有利于弘扬社会主义核心价值观的除外”。A公司生产部经理吴某甲系经法定代表人授权处理废液，公司也两次为其报销了产生的相关费用，吴某甲污染环境的行为应认定为职务行为，A公司应承担污染环境的侵权责任。因公司工作人员违法故意污染环境造成严重后果，为更加有力、有效地保护社会公共利益，根据《民法典》第一千二百三十二条之规定，A公司除应承担环境污染损失和赔礼道歉的侵权责任外，还应承担惩罚性赔偿金。,现行有效,司法解释,指导案例,,20220919,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3e186ed1de83c835e0418e9784dfb207,,3e186ed1de83c835e0418e9784dfb207,[],1.013136792,2
最高人民法院公布10起残疾人权益保障典型案例,,"　　（七）赔礼道歉；
　　（八）消除影响、恢复名誉。　　以上承担侵权责任的方式，可以单独适用，也可以合并适用。　　第十六条侵害他人造成人身损害的，应当赔偿医疗费、护理费、交通费等为治疗和康复支出的合理费用，以及因误工减少的收入。造成残疾的，还应当赔偿残疾生活辅助具费和残疾赔偿金。造成死亡的，还应当赔偿丧葬费和死亡赔偿金。",现行有效,司法解释,指导案例,,20160514,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cda4cec83c654444891c252219afc00c,,cda4cec83c654444891c252219afc00c,[],1.01236518,2
最高法发布民法典颁布五周年第三批典型案例（“严格公正司法，服务和保障经济社会高质量发展”专题）,,"本案中，人民法院依照民法典相关规定，在认定构成侵害技术秘密的基础上，在依法适用惩罚性赔偿的同时，还对停止侵害民事责任的具体承担方式、非金钱给付义务迟延履行金的计付标准等进行积极探索，推动了知识产权审判理念更新和裁判规则创新，充分彰显了严格保护知识产权的鲜明态度和制裁不正当竞争的坚定立场，有利于营造诚信经营、公平竞争、激励创新的法治化营商环境。　　（四）民法典条文指引
　　第一百七十九条 承担民事责任的方式主要有：
　　（一）停止侵害；
　　（二）排除妨碍；
　　（三）消除危险；
　　（四）返还财产；
　　（五）恢复原状；
　　（六）修理、重作、更换；
　　（七）继续履行；
　　（八）赔偿损失；
　　（九）支付违约金；
　　（十）消除影响、恢复名誉；
　　（十一）赔礼道歉。　　法律规定惩罚性赔偿的，依照其规定。　　本条规定的承担民事责任的方式，可以单独适用，也可以合并适用。　　第一千一百六十八条 二人以上共同实施侵权行为，造成他人损害的，应当承担连带责任。　　四、依法保护声音权益，促推人工智能“向善”发展——殷某诉北京某智能科技公司等人格权侵权案
　　（一）基本案情",现行有效,司法解释,指导案例,,20250527,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/bbd053bacc36fbf90833e876f79a565a,,bbd053bacc36fbf90833e876f79a565a,[],1.01019072,2
