法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国民法典,第一千二百四十四条,　承担高度危险责任，法律规定赔偿限额的，依照其规定，但是行为人有故意或者重大过失的除外。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1244,55dceb7d83a1c90e3fe9c141b1118193_1244,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.1566177199999998,1
中华人民共和国民法典,第一千二百三十六条,　从事高度危险作业造成他人损害的，应当承担侵权责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1236,55dceb7d83a1c90e3fe9c141b1118193_1236,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.1452716,1
中华人民共和国民法典,第一千二百四十一条,　遗失、抛弃高度危险物造成他人损害的，由所有人承担侵权责任。所有人将高度危险物交由他人管理的，由管理人承担侵权责任；所有人有过错的，与管理人承担连带责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1241,55dceb7d83a1c90e3fe9c141b1118193_1241,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.14266388,1
最高人民法院关于印发修改后的《民事案件案由规定》的通知(2020),第三十一条,"　　（8）放射性污染责任纠纷
　　378.生态破坏责任纠纷
　　379.高度危险责任纠纷
　　（1）民用核设施、核材料损害责任纠纷
　　（2）民用航空器损害责任纠纷
　　（3）占有、使用高度危险物损害责任纠纷
　　（4）高度危险活动损害责任纠纷
　　（5）遗失、抛弃高度危险物损害责任纠纷
　　（6）非法占有高度危险物损害责任纠纷
　　380.饲养动物损害责任纠纷
　　381.建筑物和物件损害责任纠纷
　　（1）物件脱落、坠落损害责任纠纷
　　（2）建筑物、构筑物倒塌、塌陷损害责任纠纷
　　（3）高空抛物、坠物损害责任纠纷
　　（4）堆放物倒塌、滚落、滑落损害责任纠纷
　　（5）公共道路妨碍通行损害责任纠纷
　　（6）林木折断、倾倒、果实坠落损害责任纠纷
　　（7）地面施工、地下设施损害责任纠纷
　　382.触电人身损害责任纠纷
　　383.义务帮工人受害责任纠纷
　　384.见义勇为人受害责任纠纷
　　385.公证损害责任纠纷
　　386.防卫过当损害责任纠纷
　　387.紧急避险损害责任纠纷
　　388.驻香港、澳门特别行政区军人执行职务侵权责任纠纷
　　389.铁路运输损害责任纠纷",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d3f03dc8f09aa7df4c8fb4f41890666e?text=31,d3f03dc8f09aa7df4c8fb4f41890666e_31,d3f03dc8f09aa7df4c8fb4f41890666e,[],1.0697202479999999,1
中华人民共和国民法典,第一千二百四十二条,　非法占有高度危险物造成他人损害的，由非法占有人承担侵权责任。所有人、管理人不能证明对防止非法占有尽到高度注意义务的，与非法占有人承担连带责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1242,55dceb7d83a1c90e3fe9c141b1118193_1242,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",1.0601247599999999,1
中华人民共和国民法典,第一千二百四十五条,　饲养的动物造成他人损害的，动物饲养人或者管理人应当承担侵权责任；但是，能够证明损害是因被侵权人故意或者重大过失造成的，可以不承担或者减轻责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1245,55dceb7d83a1c90e3fe9c141b1118193_1245,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.982310196,1
最高人民法院发布六起饲养动物损害责任典型案例,,　　在案例三中，张某乙饲养的黑色大型犬追逐张某甲的两轮电瓶车导致张某甲受惊吓摔倒受伤，法院认为饲养动物的危险性并不仅限于身体上的直接接触导致伤害，给他人造成惊吓也属于危险情形，对于宠物“无接触式伤害”类型案件的裁判具有指引作用。　　“‘很萌很可爱’的犬只，也是潜在的‘移动危险源’，必须文明养犬、依规养犬。”陈宜芳指出。　　未按照规定饲养、管束犬只，饲养人、管理人需依法承担法律责任，包括以金钱赔偿为主要形态的民事责任，没收犬只行政责任等。其中，就民事责任方面，杜军表示，可从“饲养了禁止饲养犬只”“饲养的虽然不是禁止饲养的犬只，但违反其他管理规定”“饲养的不是禁止饲养犬只，也没有违反管理规定”三种情况界定损害类型、确定赔偿责任。“养犬一定程度上也是‘养责任’。”杜军说。　　在案例一中，刘某某饲养当地禁止饲养的大型犬，致人损害，受害人徐某某虽有逗犬行为，但人民法院正确适用民法典第一千二百四十七条的规定，认定禁止饲养的烈性犬等危险动物造成他人损害，无论受害人有无过错，饲养人均应承担全部责任，由此宣示不得饲养禁养犬种的理念。,现行有效,司法解释,指导案例,,20240205,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/154d7f7990c55cba4427804e9a8ff261,,154d7f7990c55cba4427804e9a8ff261,[],0.94727532,2
中华人民共和国民法典,第一千二百三十九条,　占有或者使用易燃、易爆、剧毒、高放射性、强腐蚀性、高致病性等高度危险物造成他人损害的，占有人或者使用人应当承担侵权责任；但是，能够证明损害是因受害人故意或者不可抗力造成的，不承担责任。被侵权人对损害的发生有重大过失的，可以减轻占有人或者使用人的责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1239,55dceb7d83a1c90e3fe9c141b1118193_1239,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.9249719999999999,1
中华人民共和国民法典,第一千二百四十三条,　未经许可进入高度危险活动区域或者高度危险物存放区域受到损害，管理人能够证明已经采取足够安全措施并尽到充分警示义务的，可以减轻或者不承担责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1243,55dceb7d83a1c90e3fe9c141b1118193_1243,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.919552368,1
中华人民共和国民法典,第一千二百四十七条,　禁止饲养的烈性犬等危险动物造成他人损害的，动物饲养人或者管理人应当承担侵权责任。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=1247,55dceb7d83a1c90e3fe9c141b1118193_1247,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.9028519199999999,1
