法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),第四条,"　人民法院作出的裁判文书有下列情形之一的，不在互联网公布： 
　　（一）涉及国家秘密的； 
　　（二）未成年人犯罪的； 
　　（三）以调解方式结案或者确认人民调解协议效力的，但为保护国家利益、社会公共利益、他人合法权益确有必要公开的除外； 
　　（四）离婚诉讼或者涉及未成年子女抚养、监护的； 
　　（五）人民法院认为不宜在互联网公布的其他情形。",现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd?text=4,1f909cf6fbbc8c8155113f187203d3cd_4,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.19802954,1
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),第十二条,　办案法官认为裁判文书具有本规定第四条第五项不宜在互联网公布情形的，应当提出书面意见及理由，由部门负责人审查后报主管副院长审定。,现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd?text=12,1f909cf6fbbc8c8155113f187203d3cd_12,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1939276399999998,1
最高人民法院印发《关于司法公开的六项规定》和《关于人民法院接受新闻媒体舆论监督的若干规定》的通知,,"人民法院可以根据法制宣传、法学研究、案例指导、统一裁判标准的需要，集中编印、刊登各类裁判文书。除涉及国家秘密、未成年人犯罪、个人隐私以及其他不适宜公开的案件和调解结案的案件外，人民法院的裁判文书可以在互联网上公开发布。当事人对于在互联网上公开裁判文书提出异议并有正当理由的，人民法院可以决定不在互联网上发布。为保护裁判文书所涉及到的公民、法人和其他组织的正当权利，可以对拟公开发布的裁判文书中的相关信息进行必要的技术处理。人民法院应当注意收集社会各界对裁判文书的意见和建议，作为改进工作的参考。　　六、审务公开
　　人民法院的审判管理工作以及与审判工作有关的其他管理活动应当向社会公开。各级人民法院应当逐步建立和完善互联网站和其他信息公开平台。探索建立各类案件运转流程的网络查询系统，方便当事人及时查询案件进展情况。通过便捷、有效的方式及时向社会公开关于法院工作的方针政策、各种规范性文件和审判指导意见以及非涉密司法统计数据及分析报告，公开重大案件的审判情况、重要研究成果、活动部署等。",现行有效,司法解释,司法解释性质文件,中央,20091208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ea71bd2455523fc5cc2028421f636a71,,ea71bd2455523fc5cc2028421f636a71,[],1.191999648,3
最高人民法院裁判文书公布管理办法,第四条,"不宜公布的几种情况： 
　　１、裁判文中中涉及国家政治生活，公布后可能产生不良影响的； 
　　２、案件涉及国家秘密、商业秘密，未成年人犯罪和个人隐私情况的； 
　　３、裁判文书比较集中反映死刑数字的； 
　　４、裁判文书中过多涉及其他人和事，因可能会给他人造成精神压力或给法院工作带来不利影响而无必要公布的； 
　　５、裁判文书中的理由部分说理不透彻，不足以印证裁判主义的； 
　　６、裁判文书文字表达存在缺陷、错误的； 
　　７、其他不宜公布的裁判文书。",现行有效,司法解释,司法解释性质文件,中央,20000615,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8572d2512b12b5a1f3e7e178728ca15e?text=4,8572d2512b12b5a1f3e7e178728ca15e_4,8572d2512b12b5a1f3e7e178728ca15e,[],1.1914543199999998,1
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),第六条,　不在互联网公布的裁判文书，应当公布案号、审理法院、裁判日期及不公开理由，但公布上述信息可能泄露国家秘密的除外。,现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd?text=6,1f909cf6fbbc8c8155113f187203d3cd_6,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.187315436,1
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),第七条,　发生法律效力的裁判文书，应当在裁判文书生效之日起七个工作日内在互联网公布。依法提起抗诉或者上诉的一审判决书、裁定书，应当在二审裁判生效后七个工作日内在互联网公布。,现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd?text=7,1f909cf6fbbc8c8155113f187203d3cd_7,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.183823916,1
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),,"　　最高人民法院公告
　　《最高人民法院关于人民法院在互联网公布裁判文书的规定》已于2016年7月25日由最高人民法院审判委员会第1689次会议通过，现予公布，自2016年10月1日起施行。
　　最高人民法院
　　2016年8月29日
　　最高人民法院关于人民法院在互联网公布裁判文书的规定
　　（2016年7月25日最高人民法院审判委员会第1689次会议通过，
　　自2016年10月1日起施行 法释〔2016〕19号）
　　为贯彻落实审判公开原则，规范人民法院在互联网公布裁判文书工作，促进司法公正，提升司法公信力，根据《中华人民共和国刑事诉讼法》《中华人民共和国民事诉讼法》《中华人民共和国行政诉讼法》等相关规定，结合人民法院工作实际，制定本规定。",现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd,,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.17970212,3
最高人民法院关于人民法院通过互联网公开审判流程信息的规定,第十二条,　涉及国家秘密，以及法律、司法解释规定应当保密或者限制获取的审判流程信息，不得通过互联网向当事人及其法定代理人、诉讼代理人、辩护人公开。,现行有效,司法解释,高法司法解释,中央,20180901,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/3603d1eaa0afd57d04ec620f7bfc330e?text=12,3603d1eaa0afd57d04ec620f7bfc330e_12,3603d1eaa0afd57d04ec620f7bfc330e,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1767413599999998,1
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),第三条,"　人民法院作出的下列裁判文书应当在互联网公布： 
　　（一）刑事、民事、行政判决书； 
　　（二）刑事、民事、行政、执行裁定书； 
　　（三）支付令； 
　　（四）刑事、民事、行政、执行驳回申诉通知书； 
　　（五）国家赔偿决定书； 
　　（六）强制医疗决定书或者驳回强制医疗申请的决定书； 
　　（七）刑罚执行与变更决定书； 
　　（八）对妨害诉讼行为、执行行为作出的拘留、罚款决定书，提前解除拘留决定书，因对不服拘留、罚款等制裁决定申请复议而作出的复议决定书； 
　　（九）行政调解书、民事公益诉讼调解书； 
　　（十）其他有中止、终结诉讼程序作用或者对当事人实体权益有影响、对当事人程序权益有重大影响的裁判文书。",现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd?text=3,1f909cf6fbbc8c8155113f187203d3cd_3,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1754137999999998,1
中华人民共和国行政诉讼法(2017修正),第六十五条,　人民法院应当公开发生法律效力的判决书、裁定书，供公众查阅，但涉及国家秘密、商业秘密和个人隐私的内容除外。,现行有效,法律,法律,中央,20170701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2f8d68f2222d839c0d9972edcda1ac53?text=65,2f8d68f2222d839c0d9972edcda1ac53_65,2f8d68f2222d839c0d9972edcda1ac53,"['财税##其他法律法规##其他法律', '财税##其他财经法规', '财税##其他财经法规##财政部', '财税##其他法律法规', '财税']",1.172215968,1
