法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第二百六十条,　鉴定人、有专门知识的人、调查人员、侦查人员或者其他人员出庭的，参照适用前两条规定。,现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=260,27f2a1c90daf9dce939acd155a8e1966_260,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1895867599999999,1
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),第一百二十二条,"　当事人可以依照民事诉讼法第八十二条的规定，在举证期限届满前申请一至二名具有专门知识的人出庭，代表当事人对鉴定意见进行质证，或者对案件事实所涉及的专业问题提出意见。 
具有专门知识的人在法庭上就专业问题提出的意见，视为当事人的陈述。 
人民法院准许当事人申请的，相关费用由提出申请的当事人负担。",现行有效,司法解释,高法司法解释,中央,20220410,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=122,a8be8255398ec3a38327e8f07ecd18a0_122,a8be8255398ec3a38327e8f07ecd18a0,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规##民法典与民事诉讼法', '财税##司法及单行法律专题法规', '财税']",1.18400982,1
最高人民法院关于审理环境民事公益诉讼案件适用法律若干问题的解释(2020修正),第十五条,"　当事人申请通知有专门知识的人出庭，就鉴定人作出的鉴定意见或者就因果关系、生态环境修复方式、生态环境修复费用以及生态环境受到损害至修复完成期间服务功能丧失导致的损失等专门性问题提出意见的，人民法院可以准许。 
　　前款规定的专家意见经质证，可以作为认定事实的根据。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/63ff5fc8f680a57011197cbd69f62e02?text=15,63ff5fc8f680a57011197cbd69f62e02_15,63ff5fc8f680a57011197cbd69f62e02,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.18325316,1
最高人民法院关于民事诉讼证据的若干规定(2019修正),第八十三条,"　当事人依照民事诉讼法第七十九条和《最高人民法院关于适用〈中华人民共和国民事诉讼法〉的解释》第一百二十二条的规定，申请有专门知识的人出庭的，申请书中应当载明有专门知识的人的基本情况和申请的目的。 
　　人民法院准许当事人申请的，应当通知双方当事人。",现行有效,司法解释,高法司法解释,中央,20200501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/21d0c4b7c7833b78c7217600f2be8693?text=83,21d0c4b7c7833b78c7217600f2be8693_83,21d0c4b7c7833b78c7217600f2be8693,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.17820866,1
最高人民法院关于民事诉讼证据的若干规定(2019修正),第七十九条,"　鉴定人依照民事诉讼法第七十八条的规定出庭作证的，人民法院应当在开庭审理三日前将出庭的时间、地点及要求通知鉴定人。 
　　委托机构鉴定的，应当由从事鉴定的人员代表机构出庭。",现行有效,司法解释,高法司法解释,中央,20200501,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/21d0c4b7c7833b78c7217600f2be8693?text=79,21d0c4b7c7833b78c7217600f2be8693_79,21d0c4b7c7833b78c7217600f2be8693,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.17162684,1
中华人民共和国刑事诉讼法(2018修正),第一百九十七条,"法庭审理过程中，当事人和辩护人、诉讼代理人有权申请通知新的证人到庭，调取新的物证，申请重新鉴定或者勘验。 
公诉人、当事人和辩护人、诉讼代理人可以申请法庭通知有专门知识的人出庭，就鉴定人作出的鉴定意见提出意见。 
法庭对于上述申请，应当作出是否同意的决定。 
第二款规定的有专门知识的人出庭，适用鉴定人的有关规定。",现行有效,法律,法律,中央,20181026,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5187759def3ba263633f6ba6c37a91a3?text=197,5187759def3ba263633f6ba6c37a91a3_197,5187759def3ba263633f6ba6c37a91a3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.16938008,1
中华人民共和国民事诉讼法(2023修正),第八十二条,　当事人可以申请人民法院通知有专门知识的人出庭，就鉴定人作出的鉴定意见或者专业问题提出意见。,现行有效,法律,法律,中央,20240101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f1b65a4dca3d6472206978435e2ea215?text=82,f1b65a4dca3d6472206978435e2ea215_82,f1b65a4dca3d6472206978435e2ea215,"['企业法##纠纷解决', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '企业法', '上市公司法##民事责任', '上市公司法', '上市公司法##上市公司']",1.1683134,1
中华人民共和国民事诉讼法(2023修正),第八十一条,　当事人对鉴定意见有异议或者人民法院认为鉴定人有必要出庭的，鉴定人应当出庭作证。经人民法院通知，鉴定人拒不出庭作证的，鉴定意见不得作为认定事实的根据；支付鉴定费用的当事人可以要求返还鉴定费用。,现行有效,法律,法律,中央,20240101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f1b65a4dca3d6472206978435e2ea215?text=81,f1b65a4dca3d6472206978435e2ea215_81,f1b65a4dca3d6472206978435e2ea215,"['企业法##纠纷解决', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '企业法', '上市公司法##民事责任', '上市公司法', '上市公司法##上市公司']",1.1670231599999998,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第二百五十条,"　公诉人、当事人及其辩护人、诉讼代理人申请法庭通知有专门知识的人出庭，就鉴定意见提出意见的，应当说明理由。法庭认为有必要的，应当通知有专门知识的人出庭。 
申请有专门知识的人出庭，不得超过二人。有多种类鉴定意见的，可以相应增加人数。",现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=250,27f2a1c90daf9dce939acd155a8e1966_250,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.163947968,1
最高人民法院关于行政诉讼证据若干问题的规定,第四十七条,"　当事人要求鉴定人出庭接受询问的，鉴定人应当出庭。鉴定人因正当事由不能出庭的，经法庭准许，可以不出庭，由当事人对其书面鉴定结论进行质证。 
　　鉴定人不能出庭的正当事由，参照本规定第四十一条的规定。 
　　对于出庭接受询问的鉴定人，法庭应当核实其身份、与当事人及案件的关系，并告知鉴定人如实说明鉴定情况的法律义务和故意作虚假说明的法律责任。",现行有效,司法解释,高法司法解释,中央,20021001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/cec5dfff41c2a23b429b09bd95aa445e?text=47,cec5dfff41c2a23b429b09bd95aa445e_47,cec5dfff41c2a23b429b09bd95aa445e,[],1.1607442799999999,1
