法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院印发《关于案例指导工作的规定》的通知,第七条,　最高人民法院发布的指导性案例，各级人民法院审判类似案例时应当参照。,现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa?text=7,73fc7c953ed1d0ecc0e74aea95a6e8fa_7,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.19429376,1
最高人民法院印发《关于案例指导工作的规定》的通知,,"　　最高人民法院印发《关于案例指导工作的规定》的通知
　　（法发〔2010〕51号）
　　各省、自治区、直辖市高级人民法院，解放军军事法院，新疆维吾尔自治区高级人民法院生产建设兵团分院：
　　《最高人民法院关于案例指导工作的规定》已于2010年11月15日由最高人民法院审判委员会第1501次会议讨论通过，现印发给你们，请认真贯彻执行。
　　2010年11月26日
　　最高人民法院关于案例指导工作的规定
　　为总结审判经验，统一法律适用，提高审判质量，维护司法公正，根据《中华人民共和国人民法院组织法》等法律规定，就开展案例指导工作，制定本规定。",现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa,,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.1921228879999999,3
最高人民法院关于发布第一批指导性案例的通知,,"　　各级人民法院对于上述指导性案例，要组织广大法官认真学习研究，深刻领会和正确把握指导性案例的精神实质和指导意义；要增强运用指导性案例的自觉性，以先进的司法理念、公平的裁判尺度、科学的裁判方法，严格参照指导性案例审理好类似案件，进一步提高办案质量和效率，确保案件裁判法律效果和社会效果的有机统一，保障社会和谐稳定；要高度重视案例指导工作，精心编选、积极推荐、及时报送指导性案例，不断提高选报案例质量，推进案例指导工作扎实开展；要充分发挥舆论引导作用，宣传案例指导制度的意义和成效，营造社会各界理解、关心和支持人民法院审判工作的良好氛围。　　今后，各高级人民法院可以通过发布参考性案例等形式，对辖区内各级人民法院和专门法院的审判业务工作进行指导，但不得使用“指导性案例”或者“指导案例”的称谓，以避免与指导性案例相混淆。对于实施案例指导工作中遇到的问题和改进案例指导工作的建议，请及时层报最高人民法院。　　附：上海中原物业顾问有限公司诉陶德华居间合同纠纷案等四个指导性案例
　　二〇一一年十二月二十日
　　指导案例1号
　　上海中原物业顾问有限公司诉陶德华居间合同纠纷案",现行有效,司法解释,指导案例,,20111220,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/8164f5e58e2992d65abd82e28ab8ebdf,,8164f5e58e2992d65abd82e28ab8ebdf,[],1.1865064799999998,2
最高人民法院印发《＜关于案例指导工作的规定＞实施细则》的通知,第十三条,　最高人民法院建立指导性案例纸质档案与电子信息库，为指导性案例的参照适用、查询、检索和编纂提供保障。,现行有效,司法解释,司法解释性质文件,中央,20150513,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/05f687ba14914f8546b20adb45155196?text=13,05f687ba14914f8546b20adb45155196_13,05f687ba14914f8546b20adb45155196,[],1.1793879,1
最高人民法院印发《关于案例指导工作的规定》的通知,第二条,"　本规定所称指导性案例，是指裁判已经发生法律效力，并符合以下条件的案例： 
　　（一）社会广泛关注的； 
　　（二）法律规定比较原则的； 
　　（三）具有典型性的； 
　　（四）疑难复杂或者新类型的； 
　　（五）其他具有指导作用的案例。",现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa?text=2,73fc7c953ed1d0ecc0e74aea95a6e8fa_2,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.178826648,1
最高人民法院印发《关于案例指导工作的规定》的通知,第六条,"　案例指导工作办公室对于被推荐的案例，应当及时提出审查意见。符合本规定第二条规定的，应当报请院长或者主管副院长提交最高人民法院审判委员会讨论决定。 
　　最高人民法院审判委员会讨论决定的指导性案例，统一在《最高人民法院公报》、最高人民法院网站、《人民法院报》上以公告的形式发布。",现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa?text=6,73fc7c953ed1d0ecc0e74aea95a6e8fa_6,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.1774867519999999,1
最高人民法院印发《关于案例指导工作的规定》的通知,第一条,　对全国法院审判、执行工作具有指导作用的指导性案例，由最高人民法院确定并统一发布。,现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa?text=1,73fc7c953ed1d0ecc0e74aea95a6e8fa_1,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.17744348,1
最高人民法院印发《关于案例指导工作的规定》的通知,第四条,"　最高人民法院各审判业务单位对本院和地方各级人民法院已经发生法律效力的裁判，认为符合本规定第二条规定的，可以向案例指导工作办公室推荐。 
　　各高级人民法院、解放军军事法院对本院和本辖区内人民法院已经发生法律效力的裁判，认为符合本规定第二条规定的，经本院审判委员会讨论决定，可以向最高人民法院案例指导工作办公室推荐。 
　　中级人民法院、基层人民法院对本院已经发生法律效力的裁判，认为符合本规定第二条规定的，经本院审判委员会讨论决定，层报高级人民法院，建议向最高人民法院案例指导工作办公室推荐。",现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa?text=4,73fc7c953ed1d0ecc0e74aea95a6e8fa_4,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.177051164,1
最高人民法院印发《关于案例指导工作的规定》的通知,第三条,　最高人民法院设立案例指导工作办公室，负责指导性案例的遴选、审查和报审工作。,现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa?text=3,73fc7c953ed1d0ecc0e74aea95a6e8fa_3,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.17620076,1
最高人民法院印发《关于案例指导工作的规定》的通知,第九条,　本规定施行前，最高人民法院已经发布的对全国法院审判、执行工作具有指导意义的案例，根据本规定清理、编纂后，作为指导性案例公布。,现行有效,司法解释,司法解释性质文件,中央,20101126,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/73fc7c953ed1d0ecc0e74aea95a6e8fa?text=9,73fc7c953ed1d0ecc0e74aea95a6e8fa_9,73fc7c953ed1d0ecc0e74aea95a6e8fa,[],1.17610956,1
