法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国律师法(2017修正),第三十八条,"　律师应当保守在执业活动中知悉的国家秘密、商业秘密，不得泄露当事人的隐私。 
律师对在执业活动中知悉的委托人和其他人不愿泄露的有关情况和信息，应当予以保密。但是，委托人或者其他人准备或者正在实施危害国家安全、公共安全以及严重危害他人人身安全的犯罪事实和信息除外。",现行有效,法律,法律,中央,20180101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/7c554b7bb321c995cc40359407959051?text=38,7c554b7bb321c995cc40359407959051_38,7c554b7bb321c995cc40359407959051,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.197861312,1
中华人民共和国香港特别行政区维护国家安全法,第六十三条,"　办理本法规定的危害国家安全犯罪案件的有关执法、司法机关及其人员或者办理其他危害国家安全犯罪案件的香港特别行政区执法、司法机关及其人员，应当对办案过程中知悉的国家秘密、商业秘密和个人隐私予以保密。 
担任辩护人或者诉讼代理人的律师应当保守在执业活动中知悉的国家秘密、商业秘密和个人隐私。 
配合办案的有关机构、组织和个人应当对案件有关情况予以保密。",现行有效,法律,法律,中央,20200630,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/784a3f2f4cc4b378e4fe2441b93bbecc?text=63,784a3f2f4cc4b378e4fe2441b93bbecc_63,784a3f2f4cc4b378e4fe2441b93bbecc,[],1.1960107199999999,1
中华人民共和国法律援助法,第二十一条,　法律援助机构、法律援助人员对提供法律援助过程中知悉的国家秘密、商业秘密和个人隐私应当予以保密。,现行有效,法律,法律,中央,20220101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4326a0e7ce8fcf539bf806974f014213?text=21,4326a0e7ce8fcf539bf806974f014213_21,4326a0e7ce8fcf539bf806974f014213,"['未成年保护', '未成年保护##校园霸凌']",1.1929342079999998,1
最高人民法院、最高人民检察院、公安部等关于印发《法律援助值班律师工作办法》的通知,第二十九条,　值班律师提供法律帮助时，应当遵守相关法律法规、执业纪律和职业道德，依法保守国家秘密、商业秘密和个人隐私，不得向他人泄露工作中掌握的案件情况，不得向受援人收取财物或者谋取不正当利益。,现行有效,司法解释,司法解释性质文件,中央,20200820,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a783537fb4d340eba9f9a3842d8afc23?text=29,a783537fb4d340eba9f9a3842d8afc23_29,a783537fb4d340eba9f9a3842d8afc23,[],1.181843088,1
中华人民共和国刑事诉讼法(2018修正),第四十八条,辩护律师对在执业活动中知悉的委托人的有关情况和信息，有权予以保密。但是，辩护律师在执业活动中知悉委托人或者其他人，准备或者正在实施危害国家安全、公共安全以及严重危害他人人身安全的犯罪的，应当及时告知司法机关。,现行有效,法律,法律,中央,20181026,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5187759def3ba263633f6ba6c37a91a3?text=48,5187759def3ba263633f6ba6c37a91a3_48,5187759def3ba263633f6ba6c37a91a3,"['财税##其他法律法规##其他法律', '财税##其他法律法规', '财税']",1.1757408,1
最高人民检察院关于印发《最高人民检察院关于案例指导工作的规定》的通知(2019修订),第四条,　发布指导性案例，应当注意保守国家秘密和商业秘密，保护涉案人员隐私。,现行有效,司法解释,司法解释性质文件,中央,20190404,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c11844d2b2c64944e1f4d1c546d1e962?text=4,c11844d2b2c64944e1f4d1c546d1e962_4,c11844d2b2c64944e1f4d1c546d1e962,[],1.175177484,1
中华人民共和国反垄断法(2022修正),第四十九条,反垄断执法机构及其工作人员对执法过程中知悉的商业秘密、个人隐私和个人信息，依法负有保密义务。 ,现行有效,法律,法律,中央,20220801,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9502ff5221c494e8014306b39811a3fe?text=49,9502ff5221c494e8014306b39811a3fe_49,9502ff5221c494e8014306b39811a3fe,"['财税##其他法律法规##其他法律', '企业法##市场竞争规范', '财税##其他法律法规', '财税', '企业法']",1.17242718,1
最高人民法院关于诉讼代理人查阅民事案件材料的规定(2020修正),第八条,　查阅案件材料中涉及国家秘密、商业秘密和个人隐私的，诉讼代理人应当保密。,现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/12d45cd1ec3bdf0c2a08fc83917df6fc?text=8,12d45cd1ec3bdf0c2a08fc83917df6fc_8,12d45cd1ec3bdf0c2a08fc83917df6fc,[],1.165289208,1
最高人民检察院关于印发《最高人民检察院关于保护公民举报权利的规定》的通知,第四条,　对违反上述第三条保密规定的责任人员，要根据情节和后果给予严肃处理，构成犯罪的，依法追究刑事责任。,现行有效,司法解释,司法解释性质文件,中央,19910513,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/29db15ac4b4efd866ea64d49da345e37?text=4,29db15ac4b4efd866ea64d49da345e37_4,29db15ac4b4efd866ea64d49da345e37,[],1.14727614,1
中华人民共和国行政诉讼法(2017修正),第三十二条,"　代理诉讼的律师，有权按照规定查阅、复制本案有关材料，有权向有关组织和公民调查，收集与本案有关的证据。对涉及国家秘密、商业秘密和个人隐私的材料，应当依照法律规定保密。 
当事人和其他诉讼代理人有权按照规定查阅、复制本案庭审材料，但涉及国家秘密、商业秘密和个人隐私的内容除外。",现行有效,法律,法律,中央,20170701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2f8d68f2222d839c0d9972edcda1ac53?text=32,2f8d68f2222d839c0d9972edcda1ac53_32,2f8d68f2222d839c0d9972edcda1ac53,"['财税##其他法律法规##其他法律', '财税##其他财经法规', '财税##其他财经法规##财政部', '财税##其他法律法规', '财税']",1.1253396,1
