法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第十条,"　对于需要封存的未成年人犯罪记录，应当遵循《中华人民共和国个人信息保护法》不予公开，并建立专门的未成年人犯罪档案库，执行严格的保管制度。 
　　对于电子信息系统中需要封存的未成年人犯罪记录数据，应当加设封存标记，未经法定查询程序，不得进行信息查询、共享及复用。 
　　封存的未成年人犯罪记录数据不得向外部平台提供或对接。",现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=10,e9b50c0a338216687628992498caebbb_10,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.196133,1
中华人民共和国预防未成年人犯罪法(2020修订),第五十九条,"　未成年人的犯罪记录依法被封存的，公安机关、人民检察院、人民法院和司法行政部门不得向任何单位或者个人提供，但司法机关因办案需要或者有关单位根据国家有关规定进行查询的除外。依法进行查询的单位和个人应当对相关记录信息予以保密。 
未成年人接受专门矫治教育、专门教育的记录，以及被行政处罚、采取刑事强制措施和不起诉的记录，适用前款规定。",现行有效,法律,法律,中央,20210601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4fca98afec7791e6d83b7229155540f5?text=59,4fca98afec7791e6d83b7229155540f5_59,4fca98afec7791e6d83b7229155540f5,"['未成年保护', '未成年保护##同学矛盾', '未成年保护##意外受伤', '未成年保护##校园霸凌', '未成年保护##学校边界', '未成年保护##师生关系']",1.19335992,1
最高人民法院办公厅关于印发《人民法院审理涉未成年人民事案件工作指引》的通知,第二十八条,"审理涉未成年人民事案件，应当注重保护未成年人的隐私权和个人信息。需委托其他人员参加调解、调查、心理疏导等工作的，应当告知相关人员遵守相关要求。
因办案需要使用被封存的未成年人犯罪记录信息的，应当在相关卷宗封面标明“含犯罪记录封存信息”，并对相关信息采取必要保密措施。
除法律规定情形外，不得向外界披露含有涉案未成年人的姓名、身份证号码、影像、住所、就读学校以及其他可能识别出其身份的信息。
在送达、调查取证过程中，应当注意方式方法，避免扩大案件信息知悉范围，防止在当事人住所地、学校等地对涉案未成年人造成不良影响。发布案例、制作法治宣传资料时，应当对相关信息进行必要的技术处理。",现行有效,司法解释,司法解释性质文件,中央,20260131,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5bfd76e7b4d6e00c725622521c8f70c5?text=28,5bfd76e7b4d6e00c725622521c8f70c5_28,5bfd76e7b4d6e00c725622521c8f70c5,[],1.191999648,1
最高人民检察院关于印发《未成年人刑事检察工作指引(试行)》的通知,第八十五条,　【封存效力】未成年人犯罪记录封存后，没有法定事由、未经法定程序不得解封。 除司法机关为办案需要或者有关单位根据国家规定进行查询的以外，人民检察院不得向任何单位和个人提供封存的犯罪记录，并不得提供未成年人有犯罪记录的证明。 前款所称国家规定，是指全国人民代表大会及其常务委员会制定的法律和决定，国务院制定的行政法规、规定的行政措施、发布的决定和命令。,现行有效,司法解释,两高工作文件,,20170302,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aabb83e96ec277d16b4210b241786c88?text=85,aabb83e96ec277d16b4210b241786c88_85,aabb83e96ec277d16b4210b241786c88,['校园霸凌'],1.19193732,1
最高人民法院关于适用《中华人民共和国刑事诉讼法》的解释(2021),第五百八十一条,"　犯罪时不满十八周岁，被判处五年有期徒刑以下刑罚以及免予刑事处罚的未成年人的犯罪记录，应当封存。 
司法机关或者有关单位向人民法院申请查询封存的犯罪记录的，应当提供查询的理由和依据。对查询申请，人民法院应当及时作出是否同意的决定。",现行有效,司法解释,高法司法解释,中央,20210301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/27f2a1c90daf9dce939acd155a8e1966?text=581,27f2a1c90daf9dce939acd155a8e1966_581,27f2a1c90daf9dce939acd155a8e1966,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.18946508,1
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第九条,"　未成年人犯罪记录封存应当贯彻及时、有效的原则。对于犯罪记录被封存的未成年人，在入伍、就业时免除犯罪记录的报告义务。 
　　被封存犯罪记录的未成年人因涉嫌再次犯罪接受司法机关调查时，应当主动、如实地供述其犯罪记录情况，不得回避、隐瞒。",现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=9,e9b50c0a338216687628992498caebbb_9,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.1890067279999998,1
最高人民检察院关于印发《人民检察院办理未成年人刑事案件的规定》的通知(2013修订),第六十五条,"　对被封存犯罪记录的未成年人，符合下列条件之一的，应当对其犯罪记录解除封存： 
(一)实施新的犯罪，且新罪与封存记录之罪数罪并罚后被决定执行五年有期徒刑以上刑罚的； 
(二)发现漏罪，且漏罪与封存记录之罪数罪并罚后被决定执行五年有期徒刑以上刑罚的。",现行有效,司法解释,司法解释性质文件,中央,20131227,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ee83a149ab65f9ca56ad551f0ca09857?text=65,ee83a149ab65f9ca56ad551f0ca09857_65,ee83a149ab65f9ca56ad551f0ca09857,"['未成年保护', '未成年保护##校园霸凌']",1.1889641999999998,1
最高人民检察院关于印发《未成年人刑事检察工作指引(试行)》的通知,第八十三条,　【具体操作】人民检察院应当将拟封存的有关未成年人个人信息、涉嫌犯罪或者犯罪的全部案卷、材料，均装订成册，加盖“封存”字样印章后，交由档案部门统一加密保存，执行严格的保管制度，不予公开，并应在相关电子信息系统中加设封存模块，实行专门的管理及查询制度。未经法定查询程序，不得对封存的犯罪记录及相关电子信息进行查询。 有条件的地方可以建立专门的未成年人犯罪档案库或者管理区，封存相关档案。,现行有效,司法解释,两高工作文件,,20170302,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aabb83e96ec277d16b4210b241786c88?text=83,aabb83e96ec277d16b4210b241786c88_83,aabb83e96ec277d16b4210b241786c88,['校园霸凌'],1.188259368,1
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,第四条,"　犯罪的时候不满十八周岁，被判处五年有期徒刑以下刑罚以及免予刑事处罚的未成年人犯罪记录，应当依法予以封存。 
　　对在年满十八周岁前后实施数个行为，构成一罪或者一并处理的数罪，主要犯罪行为是在年满十八岁周岁前实施的，被判处或者决定执行五年有期徒刑以下刑罚以及免予刑事处罚的未成年人犯罪记录，应当对全案依法予以封存。",现行有效,司法解释,司法解释性质文件,中央,20220530,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e9b50c0a338216687628992498caebbb?text=4,e9b50c0a338216687628992498caebbb_4,e9b50c0a338216687628992498caebbb,"['未成年保护', '未成年保护##校园霸凌']",1.186967688,1
人民检察院刑事诉讼规则(2019修订),第四百八十六条,　人民检察院对未成年犯罪嫌疑人作出不起诉决定后，应当对相关记录予以封存。除司法机关为办案需要进行查询外，不得向任何单位和个人提供。封存的具体程序参照本规则第四百八十三条至第四百八十五条的规定。,现行有效,司法解释,高检司法解释,中央,20191230,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a6876dbc21b812d11f4dc6f150577273?text=486,a6876dbc21b812d11f4dc6f150577273_486,a6876dbc21b812d11f4dc6f150577273,[],1.18619028,1
