法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
最高人民法院关于适用《中华人民共和国民事诉讼法》的解释(2022修正),第一百四十六条,"　人民法院审理民事案件，调解过程不公开，但当事人同意公开的除外。 
调解协议内容不公开，但为保护国家利益、社会公共利益、他人合法权益，人民法院认为确有必要公开的除外。 
主持调解以及参与调解的人员，对调解过程以及调解过程中获悉的国家秘密、商业秘密、个人隐私和其他不宜公开的信息，应当保守秘密，但为保护国家利益、社会公共利益、他人合法权益的除外。",现行有效,司法解释,高法司法解释,中央,20220410,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/a8be8255398ec3a38327e8f07ecd18a0?text=146,a8be8255398ec3a38327e8f07ecd18a0_146,a8be8255398ec3a38327e8f07ecd18a0,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规##民法典与民事诉讼法', '财税##司法及单行法律专题法规', '财税']",1.19754864,1
最高人民法院关于适用《中华人民共和国行政诉讼法》的解释,第八十六条,"　人民法院审理行政案件，调解过程不公开，但当事人同意公开的除外。 
经人民法院准许，第三人可以参加调解。人民法院认为有必要的，可以通知第三人参加调解。 
调解协议内容不公开，但为保护国家利益、社会公共利益、他人合法权益，人民法院认为确有必要公开的除外。 
当事人一方或者双方不愿调解、调解未达成协议的，人民法院应当及时判决。 
当事人自行和解或者调解达成协议后，请求人民法院按照和解协议或者调解协议的内容制作判决书的，人民法院不予准许。",现行有效,司法解释,高法司法解释,中央,20180208,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b740a7aa6bdcd94a6cb099deeac811e6?text=86,b740a7aa6bdcd94a6cb099deeac811e6_86,b740a7aa6bdcd94a6cb099deeac811e6,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.189300632,1
最高人民法院关于人民法院民事调解工作若干问题的规定(2020修正),第五条,"　当事人申请不公开进行调解的，人民法院应当准许。 
　　调解时当事人各方应当同时在场，根据需要也可以对当事人分别作调解工作。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/40de39c28f8f29339496ce4de1761c2d?text=5,40de39c28f8f29339496ce4de1761c2d_5,40de39c28f8f29339496ce4de1761c2d,[],1.182528516,1
最高人民法院办公厅关于印发《最高人民法院国际商事法庭程序规则(试行)》的通知,第二十一条,　专家委员主持调解不公开进行。调解应当记录调解情况，当事人和调解员应当签署。,现行有效,司法解释,司法解释性质文件,中央,20181205,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/5e89062ee48dd048c1dad711115ad3ac?text=21,5e89062ee48dd048c1dad711115ad3ac_21,5e89062ee48dd048c1dad711115ad3ac,[],1.17340944,1
中华人民共和国仲裁法(2025修订),第五十二条,　仲裁不公开进行。当事人协议公开的，可以公开进行，但涉及国家秘密、他人的商业秘密或者个人隐私的除外。,现行有效,法律,法律,中央,20260301,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/321d2994439dd60547f8d95b3cc8cf65?text=52,321d2994439dd60547f8d95b3cc8cf65_52,321d2994439dd60547f8d95b3cc8cf65,"['企业法##纠纷解决', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '企业法']",1.160296872,1
最高人民法院关于审理环境民事公益诉讼案件适用法律若干问题的解释(2020修正),第二十五条,"　环境民事公益诉讼当事人达成调解协议或者自行达成和解协议后，人民法院应当将协议内容公告，公告期间不少于三十日。 
　　公告期满后，人民法院审查认为调解协议或者和解协议的内容不损害社会公共利益的，应当出具调解书。当事人以达成和解协议为由申请撤诉的，不予准许。 
　　调解书应当写明诉讼请求、案件的基本事实和协议内容，并应当公开。",现行有效,司法解释,高法司法解释,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/63ff5fc8f680a57011197cbd69f62e02?text=25,63ff5fc8f680a57011197cbd69f62e02_25,63ff5fc8f680a57011197cbd69f62e02,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.155959556,1
最高人民法院关于人民法院特邀调解的规定,第二条,"　特邀调解应当遵循以下原则： 
　　（一）当事人平等自愿； 
　　（二）尊重当事人诉讼权利； 
　　（三）不违反法律、法规的禁止性规定； 
　　（四）不损害国家利益、社会公共利益和他人合法权益； 
　　（五）调解过程和调解协议内容不公开，但是法律另有规定的除外。",现行有效,司法解释,高法司法解释,中央,20160701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/598996d359e81cffd4d194ba10aac2f4?text=2,598996d359e81cffd4d194ba10aac2f4_2,598996d359e81cffd4d194ba10aac2f4,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.1332588799999999,1
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),第四条,"　人民法院作出的裁判文书有下列情形之一的，不在互联网公布： 
　　（一）涉及国家秘密的； 
　　（二）未成年人犯罪的； 
　　（三）以调解方式结案或者确认人民调解协议效力的，但为保护国家利益、社会公共利益、他人合法权益确有必要公开的除外； 
　　（四）离婚诉讼或者涉及未成年子女抚养、监护的； 
　　（五）人民法院认为不宜在互联网公布的其他情形。",现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd?text=4,1f909cf6fbbc8c8155113f187203d3cd_4,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.12506576,1
最高人民法院关于审判人员在诉讼活动中执行回避制度若干问题的规定,第六条,　人民法院依法调解案件，应当告知当事人及其法定代理人有申请回避的权利，以及主持调解工作的审判人员及其他参与调解工作的人员的姓名、职务等相关信息。,现行有效,司法解释,高法司法解释,中央,20110613,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/4e407e287f0668fe70f71f314035ffc5?text=6,4e407e287f0668fe70f71f314035ffc5_6,4e407e287f0668fe70f71f314035ffc5,[],1.1170038,1
人民法院在线诉讼规则,第八条,　人民法院、特邀调解组织、特邀调解员可以通过诉讼平台、人民法院调解平台等开展在线调解活动。在线调解应当按照法律和司法解释相关规定进行，依法保护国家秘密、商业秘密、个人隐私和其他不宜公开的信息。,现行有效,司法解释,高法司法解释,中央,20210801,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6726ae25a1c9521f2d853c5881341f69?text=8,6726ae25a1c9521f2d853c5881341f69_8,6726ae25a1c9521f2d853c5881341f69,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",1.112361072,1
