法规名称,法条号,内容,时效性,一级效力级别,二级效力级别,地域(含市),实施日期,失效日期,地域,详情链接,法条ID,法规ID,标签,相似度评分,类型
中华人民共和国立法法(2023修正),第六十二条,"签署公布法律的主席令载明该法律的制定机关、通过和施行日期。 
法律签署公布后，法律文本以及法律草案的说明、审议结果报告等，应当及时在全国人民代表大会常务委员会公报和中国人大网以及在全国范围内发行的报纸上刊载。 
在常务委员会公报上刊登的法律文本为标准文本。",现行有效,法律,法律,中央,20230315,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9819ad4a87b3936e5af9e2610e6c33e5?text=62,9819ad4a87b3936e5af9e2610e6c33e5_62,9819ad4a87b3936e5af9e2610e6c33e5,[],0.9617640479999999,1
台湾地区-船员法,第九十三条,"　　本法自公布日施行。
　　本法****九十八年六月十二日修正之条文，自九十八年十一月二十三日施行。",现行有效,法律,法律,中央,0,99999999,,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c3423a4c6f64506573e548e8425ab4ca?text=93,c3423a4c6f64506573e548e8425ab4ca_93,c3423a4c6f64506573e548e8425ab4ca,[],0.800577168,1
中华人民共和国民法典,第一百三十九条,　以公告方式作出的意思表示，公告发布时生效。,现行有效,法律,法律,中央,20210101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/55dceb7d83a1c90e3fe9c141b1118193?text=139,55dceb7d83a1c90e3fe9c141b1118193_139,55dceb7d83a1c90e3fe9c141b1118193,"['企业法##内资企业', '建设工程法##综合', '财税##其他法律法规##其他法律', '财税##其他法律法规', '未成年保护##意外受伤', '未成年保护##校园霸凌', '企业法', '未成年保护', '建设工程法', '未成年保护##同学矛盾', '未成年保护##家庭暴力', '企业法##对外业务活动规范', '财税']",0.762266916,1
中华人民共和国监察法(2024修正),第七十八条,　本法自公布之日起施行。《中华人民共和国行政监察法》同时废止。,现行有效,法律,法律,中央,20250601,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/bde9def70b9647551cde765a4d71848e?text=78,bde9def70b9647551cde765a4d71848e_78,bde9def70b9647551cde765a4d71848e,[],0.6679325639999999,1
中华人民共和国立法法(2023修正),第四十条,列入常务委员会会议议程的法律案，应当在常务委员会会议后将法律草案及其起草、修改的说明等向社会公布，征求意见，但是经委员长会议决定不公布的除外。向社会公布征求意见的时间一般不少于三十日。征求意见的情况应当向社会通报。,现行有效,法律,法律,中央,20230315,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9819ad4a87b3936e5af9e2610e6c33e5?text=40,9819ad4a87b3936e5af9e2610e6c33e5_40,9819ad4a87b3936e5af9e2610e6c33e5,[],0.513736584,1
中华人民共和国立法法(2023修正),,"　　【本法变迁史】 
　　中华人民共和国立法法[20000315] 
　　全国人民代表大会关于修改《中华人民共和国立法法》的决定(2015)[20150315] 
　　中华人民共和国立法法(2015修正)[20150315] 
　　全国人民代表大会关于修改《中华人民共和国立法法》的决定(2023)[20230313] 
　　中华人民共和国立法法(2023修正)[20230313] 
　　（2000年3月15日第九届全国人民代表大会第三次会议通过　根据2015年3月15日第十二届全国人民代表大会第三次会议《关于修改〈中华人民共和国立法法〉的决定》第一次修正　根据2023年3月13日第十四届全国人民代表大会第一次会议《关于修改〈中华人民共和国立法法〉的决定》第二次修正）",现行有效,法律,法律,中央,20230315,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9819ad4a87b3936e5af9e2610e6c33e5,,9819ad4a87b3936e5af9e2610e6c33e5,[],0.47479134,3
中华人民共和国立法法(2023修正),第八十八条,"省、自治区、直辖市的人民代表大会制定的地方性法规由大会主席团发布公告予以公布。 
省、自治区、直辖市的人民代表大会常务委员会制定的地方性法规由常务委员会发布公告予以公布。 
设区的市、自治州的人民代表大会及其常务委员会制定的地方性法规报经批准后，由设区的市、自治州的人民代表大会常务委员会发布公告予以公布。 
自治条例和单行条例报经批准后，分别由自治区、自治州、自治县的人民代表大会常务委员会发布公告予以公布。",现行有效,法律,法律,中央,20230315,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/9819ad4a87b3936e5af9e2610e6c33e5?text=88,9819ad4a87b3936e5af9e2610e6c33e5_88,9819ad4a87b3936e5af9e2610e6c33e5,[],0.455598984,1
中华人民共和国各级人民代表大会常务委员会监督法(2024修正),第三十八条,　行政法规、监察法规、地方性法规、自治条例和单行条例、规章等的备案、审查和撤销，依照《中华人民共和国立法法》和全国人民代表大会常务委员会的有关决定办理。,现行有效,法律,法律,中央,20241108,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/95678a7ada00696b77eb0ad4a032102f?text=38,95678a7ada00696b77eb0ad4a032102f_38,95678a7ada00696b77eb0ad4a032102f,[],0.380784564,1
中华人民共和国国籍法,第十七条,　本法公布前，已经取得中国国籍的或已经丧失中国国籍的，继续有效。,现行有效,法律,法律,中央,19800910,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1b1544a8d359e22d9e29c18488e822be?text=17,1b1544a8d359e22d9e29c18488e822be_17,1b1544a8d359e22d9e29c18488e822be,[],0.349418844,1
中华人民共和国民事诉讼法(2023修正),第三百零六条,　本法自公布之日起施行，《中华人民共和国民事诉讼法（试行）》同时废止。,现行有效,法律,法律,中央,20240101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/f1b65a4dca3d6472206978435e2ea215?text=306,f1b65a4dca3d6472206978435e2ea215_306,f1b65a4dca3d6472206978435e2ea215,"['企业法##纠纷解决', '财税##其他法律法规##其他法律', '财税##其他法律法规', '财税', '企业法', '上市公司法##民事责任', '上市公司法', '上市公司法##上市公司']",0.324576264,1
中华人民共和国全国人民代表大会常务委员会议事规则(2022修正),第四十九条,常务委员会通过的法律，由中华人民共和国主席签署主席令予以公布。 常务委员会通过的其他决议、决定，由常务委员会公布。 常务委员会通过的法律解释，关于全国人民代表大会代表选举、补选、辞职、罢免等事项，由常务委员会发布公告予以公布。,现行有效,法律,法律,中央,20220625,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b85d3e0c630b4cf03d702a289b2153d9?text=49,b85d3e0c630b4cf03d702a289b2153d9_49,b85d3e0c630b4cf03d702a289b2153d9,[],0.31654679999999996,1
中华人民共和国香港特别行政区基本法,第七十六条,　香港特别行政区立法会通过的法案，须经行政长官签署、公布，方能生效。,现行有效,法律,法律,中央,19970701,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/b938d9996bc26227d5988cb275596124?text=76,b938d9996bc26227d5988cb275596124_76,b938d9996bc26227d5988cb275596124,[],0.28935819599999996,1
中华人民共和国全国人民代表大会议事规则(2021修正),第六十四条,　全国人民代表大会通过的法律，由中华人民共和国主席签署主席令予以公布。,现行有效,法律,法律,中央,20210312,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d073f195e624e58cef758c88c756c8ee?text=64,d073f195e624e58cef758c88c756c8ee_64,d073f195e624e58cef758c88c756c8ee,[],0.281077716,1
中华人民共和国全国人民代表大会议事规则(2021修正),第二十七条,"　向全国人民代表大会提出的法律案，在全国人民代表大会闭会期间，可以先向全国人民代表大会常务委员会提出，经全国人民代表大会常务委员会会议依照有关程序审议后，决定提请全国人民代表大会审议。 
全国人民代表大会常务委员会对准备提请全国人民代表大会审议的法律案，应当将法律草案向社会公布，广泛征求意见，但是经委员长会议决定不公布的除外。向社会公布征求意见的时间一般不少于三十日。",现行有效,法律,法律,中央,20210312,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d073f195e624e58cef758c88c756c8ee?text=27,d073f195e624e58cef758c88c756c8ee_27,d073f195e624e58cef758c88c756c8ee,[],0.25782731999999997,1
中华人民共和国人民警察法(2012修正),第五十二条,　本法自公布之日起施行。1957年6月25日公布的《中华人民共和国人民警察条例》同时废止。,现行有效,法律,法律,中央,20130101,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/ec01ce69619d7f146cbe929a9b3d8371?text=52,ec01ce69619d7f146cbe929a9b3d8371_52,ec01ce69619d7f146cbe929a9b3d8371,[],0.200336232,1
最高人民法院关于人民法院在互联网公布裁判文书的规定(2016修订),第七条,　发生法律效力的裁判文书，应当在裁判文书生效之日起七个工作日内在互联网公布。依法提起抗诉或者上诉的一审判决书、裁定书，应当在二审裁判生效后七个工作日内在互联网公布。,现行有效,司法解释,高法司法解释,中央,20161001,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/1f909cf6fbbc8c8155113f187203d3cd?text=7,1f909cf6fbbc8c8155113f187203d3cd_7,1f909cf6fbbc8c8155113f187203d3cd,"['财税##司法及单行法律专题法规##法院', '财税##司法及单行法律专题法规', '财税']",0.17067828,1
中华人民共和国全国人民代表大会议事规则(2021修正),第六十五条,　全国人民代表大会通过的法律、决议、决定，发布的公告，以及法律草案的说明、审议结果报告等，应当及时在全国人民代表大会常务委员会公报和中国人大网上刊载。,现行有效,法律,法律,中央,20210312,99999999,中央,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/d073f195e624e58cef758c88c756c8ee?text=65,d073f195e624e58cef758c88c756c8ee_65,d073f195e624e58cef758c88c756c8ee,[],0.137956032,1
